	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000030204	0.0	0.018912385827618543	0.0	0.0	0.0	0.0	0.0	0.1841238491849732	0.0	0.02291340802079203	0.0	0.0	0.015574197360925135	0.0	0.0	0.20988121123407916	0.02230422384153455	0.030236278657983773	0.06254616503522678	0.11333926347732466	0.0	0.19652508281600176
ENSMUSG00000104588	0.0	0.027997338965549082	0.0	0.0	0.028598898520605154	0.0	-0.023196160698932464	-0.10119178233979978	0.0	0.024500274187093607	0.0	0.0	0.0	0.0	0.0	-0.15828101979603032	0.0	-0.06265535831703394	-0.036505690307684566	-0.06928984910622811	0.0	-0.0345546482889093
ENSMUSG00000039033	0.0	0.010795953825693788	0.0	0.01601297666761748	0.0	0.0	0.0	0.26749004253846953	0.0	0.011960850321962573	0.0	0.0	0.014600797986246165	0.0	0.0	0.2898522737594768	0.009142344178314055	0.047616767563808816	0.0	0.38928598786967483	0.0	0.3542589889615152
ENSMUSG00000031754	0.0	0.0	0.0	0.026568281355427978	0.0	0.0	0.02303594623054414	0.2971014226169074	0.0	0.015360722954500305	0.0	0.0	0.01663428046799321	0.0	0.0	0.2897756971459239	0.0	0.05753929860312824	0.050269340725824535	0.33239725963	0.0	0.39113205721209165
ENSMUSG00000050846	0.021389943621002813	0.0	0.0	0.018938525831659524	0.0	0.0	0.016663791640981487	0.2040691271463891	0.0	0.0	0.0	0.0	0.014635483941782823	0.0	0.0	0.2546300582603326	0.0	0.050728109752164276	0.052832352936191214	0.23043391901547486	0.0	0.3600404321619623
ENSMUSG00000046947	0.01747999795038949	0.0	0.0	0.016144520552141627	0.0	0.0	0.0	0.21041400963784565	0.0	0.013996164834154223	0.0	0.0	0.0	0.0	0.0	0.31037628983103893	0.021006089545587022	0.03959375524318348	0.041667924470976496	0.12273050337465699	0.0	0.2646776145278759
ENSMUSG00000052133	0.020938273919307505	0.0	0.0	0.029458897297475427	0.0	0.0	0.01670362099179723	0.19262014712089995	0.0	0.0	0.0	0.0	0.015458584043608253	0.0	0.0	0.20724834601787978	0.0	0.0545104976254639	0.03929070126539923	0.2240921277744982	0.0	0.1726637671137948
ENSMUSG00000109674	0.0	0.03284634327419364	0.0	0.0	0.0	0.0	0.0	0.11574609674450861	0.0	0.019849989765352363	0.0	0.0	0.01812603697343166	0.014514109632207006	0.0	0.0	0.0	0.019943234275844393	0.19271465404735608	0.23519776724050004	0.03284528387836649	0.11188965457237939
ENSMUSG00000051768	0.019024176049207364	0.027968706420917092	0.0	0.024949731004466284	0.0	0.0	0.022654889663683158	0.09008585391986004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11913342196154106	0.0	0.04460533587049573	0.054429687071814295	0.1655409945293269	0.0	0.19416129163079326
ENSMUSG00000044071	0.0	0.008012477740936302	0.0	0.010141523454591786	0.0	0.0	0.0	0.08595964116164412	-0.02648916831234197	0.011395619908000629	0.0	0.0	0.0	0.0	0.0	0.07270663528569801	0.0	0.026470943207503757	-0.06348618645964813	-0.03993946580242283	0.0	0.014855475077559858
ENSMUSG00000036282	0.0	0.0	0.0	0.0	0.0	0.0	0.016830122053084127	0.273300784793929	0.0	0.01853314317672675	0.0	0.0	0.0	0.0	0.020137110511676663	0.3618420122171368	0.011085401015958007	0.0214042617939227	0.015260343172367435	0.34802508160907303	0.0	0.43171101170694465
ENSMUSG00000031965	0.0	0.0	0.0	0.00797494956503697	0.0	0.0	0.0	0.13812894558856076	0.0	0.01879870599613564	0.0	0.0	0.009253961379753805	0.010296413110985182	0.0	0.13235225433806946	0.0	0.026225330357064657	-0.06429367037454423	0.043253050899185165	0.0	0.06825351802694771
ENSMUSG00000021413	0.0	0.010664299644186359	0.0	0.029856983533580825	0.0	0.0	0.0226461278954748	0.2809375724031574	0.0	0.0	0.0	0.0	0.016672947533900057	0.0	0.0	0.2845622615714381	0.0	0.07000053603448952	0.020326049440014902	0.32183732857404285	0.0	0.4262879782837321
ENSMUSG00000103334	0.0	-0.01961499098554594	0.0	0.0	0.0	0.0	0.0	-0.07980683410767679	-0.009908553842831718	0.021322121552456896	0.0	0.0170057340253722	0.0	0.0	0.0	-0.11808973454679442	0.0	0.032516810578933915	-0.0609566517359524	-0.06170426003005067	0.0	-0.014632541238953342
ENSMUSG00000041559	0.02597283319050458	0.0	0.0	0.022424321049093858	0.0	0.0	0.016340505416948557	-0.07859240587618777	0.0	0.019219932732286588	0.0	0.0	0.0	0.019699991427491025	0.0	0.049921787061277624	0.0	0.01842380154200478	0.0	-0.06426179373489724	0.0	-0.03814450154617592
ENSMUSG00000097655	0.0	0.0	0.0	0.0	0.0	0.0	0.015888087856358465	0.04094209338386611	0.0	0.018333819799331526	0.0	0.023008078742476516	0.0	0.015577620791968795	0.0	-0.0817603829525114	0.0	0.01942475504902033	-0.06100987634967983	0.07909338418597744	0.0	0.059987451088891953
ENSMUSG00000040489	0.0	0.0	0.0	0.02640916170316556	0.0	0.0	0.013743223122847965	0.1716786152694368	0.0	0.009944556471970456	0.0	0.0	0.010565420425895002	0.0	0.0	0.32582259349809295	0.010999096464585977	0.03601143856172343	0.0	0.22398685280824907	0.0	0.24849425317382665
ENSMUSG00000104538	0.0	0.0	0.014670251379254807	0.011895306565852233	0.0	0.0	0.0	0.0	0.0	0.020411311175669612	0.0	0.0	0.006765690868274648	0.018685693253443374	0.0	0.0	0.030345598187865287	0.02011776303405036	-0.04806196669164134	0.10342529037517496	0.0	0.048630242847452335
ENSMUSG00000032177	0.019725048186101247	0.018916010999875138	0.0	0.0	0.0	0.0	0.03280243580303716	0.2005183428027252	0.0	0.0	0.0	0.0	0.021102673789568607	0.0	0.0	0.10479192047608307	0.0	0.013531262012531298	0.027055089311090377	0.2816965018451484	0.0	0.26774776165493397
ENSMUSG00000047454	0.0	-0.11921030902479411	0.0	-0.12282640807108651	0.0	0.0	0.0	-0.2681721710775189	0.0	-0.2031232070627308	0.0	-0.06872891312673701	0.0	-0.15075474400166988	0.0	-0.2549178348182977	0.0	-0.21534598971415178	0.0	-0.4343587958670581	0.0	-0.634683713077241
ENSMUSG00000045928	0.0	0.0	0.0	0.01690906314118329	0.0	0.0	-0.016276595179556718	-0.08910315284168835	0.0	0.040173772405451405	0.0	0.0	0.0	0.0	0.0	-0.05153983909143006	0.019005560755819023	-0.01192584122208592	-0.07589755385430218	0.0	-0.01036122246445706	-0.07881544096727067
ENSMUSG00000031403	0.0	0.0	0.0	0.0	0.0	0.0	0.024330678180789125	0.2650768837694917	0.0	0.0	0.0	0.0	0.022872414012684698	0.0	0.0	0.25412449610479415	0.02704163199337326	0.034741153428624286	0.09018094650773277	0.40503561583771736	0.012501609988157192	0.30277951551133875
ENSMUSG00000109293	0.022615971479955053	0.0	0.0	0.0	0.0	0.0	0.0	-0.09508281574769142	0.0	0.04212234725893593	0.0	0.0	0.0	0.023442699779790483	0.0	-0.032640538350497655	0.01803668478343773	0.04061494173649313	0.03380464425526399	-0.14242433862016637	0.0	-0.04869986259927481
ENSMUSG00000027358	0.0	0.0	0.0	0.0074280963980140995	0.007275621971836541	0.0	0.02682595135179949	0.12508430065116743	0.0	0.007120252376374592	0.0	0.0	0.0	0.0	0.0	0.11916077120080891	0.0	0.02537530605044343	-0.03956804217664342	-0.05857764599846086	0.0	0.0898390565738355
