	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000020042	0.04137765645942797	0.0	0.03875651003572822	0.0	0.0	0.0	0.09064691802732192	0.06055211355361138	0.0	0.0	0.03202033114453939	0.0	0.049541488639439316	0.0	0.0	0.0	0.055042585211997785	0.0	0.24927117804296495	0.0	0.045812440670370005	0.14714314163879488
ENSMUSG00000079442	-0.04303347591810166	-0.04272993650956834	0.0	0.0	0.0	0.0	-0.1798083509336059	-0.07184600641398547	0.0	0.0	0.0	0.0	-0.03804087013846291	0.0	-0.0959916393762959	0.0	-0.1376593982347055	0.0	-0.34158430074128593	0.0	-0.08354101185942342	-0.32025197054478677
ENSMUSG00000078671	0.012656048673781808	0.0	0.0	0.0	0.0	0.0	0.09646703694018299	0.08694028711202165	0.0060825947553946325	0.0	0.0	0.0	0.05455940331942244	0.0	0.013606528258788947	0.0	0.009959353472517083	0.0	0.656453950566637	0.0	0.08151298151335806	0.2071940516339275
ENSMUSG00000079269	-0.22906594795402088	0.0	0.0	0.0	-0.16882331759097294	0.0	-0.35474829558282983	0.0	0.0	0.0	-0.20781985934365882	0.0	-0.22984949944457747	0.0	-0.14403236352337778	0.0	-0.39730658861221346	0.0	-0.5728211962751131	0.0	-0.4417821182654399	-0.39734266419977854
ENSMUSG00000038010	0.0	0.0	0.012635962217045438	0.0	0.0	0.0	0.1047533325084535	0.11633968551066448	0.0	0.0	0.01998600659903815	0.0	0.04959790181133791	0.0	0.031249243801983042	0.0	0.029940544671424422	0.0	0.28602682188327866	0.0	0.05118385823995622	0.21958783318144198
ENSMUSG00000022558	0.039166692478598115	0.0	0.0	0.0	0.0	0.0	0.06931605172459065	0.08166499668991585	0.0	0.0	0.03356012590050461	0.0	0.06848820303356125	0.0	0.04649466414488605	0.0	0.04932632243299492	0.0	0.13641624030809488	0.0	0.0432020574142625	0.17066065523267016
ENSMUSG00000107204	0.04407298544324263	0.0	0.02221393410334505	0.0	0.0	0.0	0.0	0.02237385964650551	0.03284889919543477	0.0	0.0	0.0	0.04712764842851932	0.0	0.03779743997009286	0.0	0.08201051146367219	0.0	0.0701973338033102	0.054049304541478	0.05717187081906835	0.0
ENSMUSG00000030180	0.0	0.017235233586890275	0.015118178541046126	0.0	0.0	0.0	0.10402427514103518	0.18796131105442868	0.0	0.0	0.027690287485880184	0.0	0.083477660647489	0.0	0.0	0.0	0.0	0.0	0.2135138450966147	-0.12885947367062756	0.04739011849837609	0.36227166472311545
ENSMUSG00000027709	0.04047998547484653	0.0	0.02375367830523767	0.0	0.0	0.0	0.08145144440529964	0.08482532336674636	0.0	0.0	0.028212795941205397	0.0	0.04771286920403554	0.0	0.0	0.0	0.04360290571564902	0.0	0.0887446556866303	0.0	0.03069745082804485	0.21670494336309562
ENSMUSG00000027524	0.019534490689565753	0.0	0.03857809501364647	0.0	0.0	0.0	0.0	-0.032471563316512055	0.022130996201399206	0.0	0.020820987092819366	0.0	0.0	0.0	0.019082559138443714	0.0	0.0491105084978733	0.0	-0.16148554644571322	-0.02582781530290279	0.0	-0.019423086981810403
ENSMUSG00000101925	0.03217507398444888	0.00696322584299619	0.02054910890213059	0.0	0.008227696006451788	0.0	0.0	0.0	0.0	0.0	0.015216312962138568	0.0	0.0246296863335171	0.010361202635751549	0.0	0.0	0.06452333378856849	0.0	0.0	0.0	0.010623622051992476	0.02772815867319429
ENSMUSG00000095658	-0.06805185546125124	0.0	-0.04134288703046339	0.0	0.0	0.0	-0.12649482018773534	0.0	-0.058843474440965625	0.0	-0.022246844493809093	0.0	0.0	-0.04300375836199821	-0.060765246528644956	0.0	-0.04899468857050807	0.0	-0.21744279657927382	0.0	0.0	-0.08005177109451482
ENSMUSG00000031489	0.0	0.03541618085548007	0.0	0.0	0.0	0.0	0.40053474954273405	0.0	0.03147121391027574	0.0	0.0	0.0	0.08726953424310362	0.023459349370606786	0.11143478290617986	0.08550930213825908	0.0	0.0	0.5741620901119437	0.0642913402781607	0.2983288290176414	0.0
ENSMUSG00000043487	0.0	0.0	0.013657829766735711	0.0	0.0	0.0	0.0	0.0	0.011037417684931319	0.0	0.014400754023094691	-0.03805198420976799	0.012940478165433842	0.0	0.0	0.050583115774174126	0.050249798010177836	0.0	-0.04705631735032973	0.0	0.013693935968871428	0.0709903449405232
ENSMUSG00000020063	0.02130546130649036	0.0	0.027583058536634536	0.0	0.0	0.0	0.13232255434749451	0.0	0.0	0.0	0.0	0.0	0.04697225230643496	0.0	0.02995448363237052	0.0	0.03044506351089446	0.0	0.3522849713216375	0.02536602045048509	0.10756798587848908	0.05647904489444903
ENSMUSG00000048677	0.05405044528178434	0.0	0.042544978849138486	0.0	0.050214555857976656	0.0	0.040818998972679536	0.0	0.03197171926032294	0.0	0.0	0.0	0.03377266038958111	0.0	0.04165153955942251	0.06773223443390869	0.08160043483470474	0.0	0.0	0.0	0.0	0.08983558756563415
ENSMUSG00000035504	0.05273862461914878	0.0	0.027514430227063125	0.0	0.0	0.0	0.12229081634907914	0.04261630535880929	0.0	0.0	0.03901969964520709	0.0	0.0537568268381885	0.0	0.0	0.0	0.05348071184574442	0.0	0.35828860876073565	0.0	0.06893368395553208	0.17877390980096086
ENSMUSG00000049657	0.03735668990483321	0.0	0.0	0.0	0.0	0.0	0.12166507951187355	0.12441175056776373	0.0	0.0	0.023235164034485112	0.0	0.04764218726849127	0.0	0.03775400592237191	0.0	0.03371398224940796	0.0	0.14863539393509798	0.0	0.05977685674248396	0.24011518811721821
ENSMUSG00000063882	0.04081799602173194	0.0	0.0	0.016842720331944117	0.0	0.0	0.15938525540428927	0.16474921388947839	0.0	0.0	0.032986517407155254	0.0	0.0	0.0	0.027026078224778337	0.0	0.01990074763475873	0.0	0.3377753257188321	0.0	0.05742052069592474	0.3237004418145312
ENSMUSG00000120713	0.02237013964834798	0.0	0.019563419487108137	0.0	0.012142536415845423	0.0	0.17134137415800882	0.0	0.0	0.0	0.0	0.0	0.016521208060411623	0.0	0.02264127913348961	0.016135017548723016	0.04173550426584762	0.0	-0.07908443422775152	-0.053941269597138276	0.0	0.0
ENSMUSG00000033278	0.012980938436925266	0.0	0.0	0.0	0.011859132890113547	0.0	0.0	0.0	0.0	0.0	0.012155609684789084	0.0	0.011202303427929662	0.0	0.0	0.047073574152621936	0.021748936259264866	0.0	-0.2030633055829892	-0.036346076544142944	0.012092023259038171	0.021571975550126462
ENSMUSG00000066150	0.030562551239012786	0.0	0.0	0.0	0.0	0.0	0.08127741147379537	0.15575041436639628	0.0	0.0	0.026253635716513415	0.0	0.06324715052742079	0.0	0.027287563499347536	0.0	0.02158979512932735	0.0	0.35175723337874465	0.0	0.048237071251116814	0.2768445521879387
ENSMUSG00000038949	0.03541347258963931	0.0	0.0	0.0	0.0	0.0	0.07732862095718418	0.1297639045212479	0.0	0.0	0.029536548556292445	0.0	0.0617491594539607	0.0	0.02933099947653884	0.024851214928379828	0.037392522139972434	0.0	0.0	0.0	0.03126434775354276	0.2752245536503508
ENSMUSG00000067813	0.0	0.0	0.0	-0.012852798160543827	0.0	0.0	-0.04166004995425662	-0.01910808394119231	0.0	0.0	0.01715259811224691	0.0	0.01860280857392401	0.0	0.0	0.0	0.01678796574898019	0.0	-0.12064557475347745	-0.04345801827955372	0.02375268597560593	-0.010654912283920986
ENSMUSG00000026806	0.021803509403391704	0.0	0.017849500038029098	0.0	0.0	0.0	0.0	0.18209184425584063	0.0	0.0	0.025766090628456553	0.0	0.02415288266837296	0.0	0.02537023091046093	0.03651060835606267	0.032034673484614966	0.0	0.059636832295870135	0.0	0.0	0.3170322700972357
ENSMUSG00000037525	0.030806698733619898	0.0	0.0	0.0	0.0	0.0	0.18807221429673243	0.07774095833737933	0.014605446470128403	0.0	0.0	0.0	0.0886897020723586	0.0	0.019800639818346198	0.0	0.0	0.0	1.04572231547765	-0.16941414996081192	0.3041019484772202	0.28043694125080826
ENSMUSG00000101133	0.018220029014174147	0.0	0.03459784326351868	0.0	0.0	0.0	0.10944638800468467	0.0	0.019132548240298718	0.0	0.0	0.0	0.02325360671861592	0.014513667067934	0.024154772789460904	0.0	0.052963677071430675	0.0	0.033198500457297726	0.0	0.0338123126177073	0.0
ENSMUSG00000092092	0.0	0.0	-0.015584485280293159	0.0	0.0	0.0	-0.0752234209213671	0.0	-0.02583322834433561	0.0	0.0	0.0	0.0	-0.02890933326857172	-0.02048865912670745	0.0	-0.015428084610696837	0.0	-0.11319813758247131	-0.04418777267907376	-0.016423291999293564	-0.0717601356812002
ENSMUSG00000058952	0.030006960569665238	0.02620766770580177	0.03377148910615018	0.0	0.028304002175011896	0.0	0.0	0.0	0.0	0.0	0.026856633255746706	0.0	0.02449375252009861	0.0	0.0	0.0	0.052386865742560636	0.0	0.02849934755250504	0.04410935772093622	0.03181788402222652	0.0
ENSMUSG00000056076	0.0	0.0	0.0	0.01792407366481432	0.0	0.0	0.20083052894847095	0.19467623274978582	0.0	0.0	0.01726564089715292	0.0	0.03922394984049436	0.0	0.023067223264679304	0.0	0.011992476861259371	0.0	0.3021278980260979	0.0	0.05105651567902259	0.40534513823528684
ENSMUSG00000017830	0.05715910940799631	0.0	0.0	0.0	0.0	0.0	0.09546832661515263	0.0	0.046604953594375026	0.0	0.0	0.020225539337748843	0.05232288813172622	0.0	0.032504898824198325	0.0	0.05197592457795425	0.0	0.311447409018118	0.032681260189634936	0.08644792666826732	0.0
ENSMUSG00000093573	0.02261348756159471	0.022012827716730247	0.03747624882059892	0.0	0.022252533388606176	0.0	0.0	0.0	0.0	0.0	0.014468655607244807	0.0	0.0	0.01777685295430247	0.03767592196862336	0.0	0.04538530863316729	0.0	0.0	0.01681772553662699	0.02514727044748191	0.0
ENSMUSG00000113092	0.0	0.0	0.0	0.0	0.012554620541614367	0.0	-0.027205379641881192	-0.013621209211848924	0.0	0.0	0.0	0.0	0.024001903347434524	-0.009845784710174091	0.013901897664785723	0.0	0.04199165129068434	0.0	-0.15099307530845738	-0.053931416275278664	0.0	-0.036870867879362564
ENSMUSG00000038400	0.04068799707012351	0.0	0.029994348266319505	0.0	0.0	0.0	0.18075675591081858	0.0	0.028298835062718686	0.0	0.0	0.0	0.0535569313603093	0.0	0.0	0.0	0.04547242152567987	0.0	0.21655656996880332	0.03714070754654805	0.07750275454011905	0.12020886641570536
