	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000121090	0.009067760811992752	-0.007432547943024753	0.00022457754518827853	0.04098925050178529	-0.011946827216381984	-0.05317787873018691	0.004275353870858012	0.2481994902607194	0.00943171313966561	-0.008918950810493502	0.0029343542720172704	0.010551171964625985	-0.003746755334755104	0.011519618929266198	-0.0035831532100474186	0.14976597699369498	0.010173315972564805	0.07427218679362246	0.0362612280044225	0.3435194707972526	-0.052310847543914414	0.5881300909878721
ENSMUSG00000030541	0.015020465885809969	-0.0032958000081980614	0.0004775944280373778	0.03578287826618501	-0.020379938951542158	-0.07742550894396955	0.06323902761033895	0.25092600890791594	0.013756831212481106	-0.01538066918003663	-0.011633020941586816	0.005831342873450865	0.007497910383378434	0.009007347506211539	-0.013960963976466055	0.13318461700916306	0.01879185429630604	0.05195482743820391	0.06822539226718498	0.3252241925186839	-0.10645102880870776	0.3906258665591323
ENSMUSG00000023505	0.015012599317832664	-0.007520210764111218	0.00040073414947261227	0.03401287922011645	-0.02172874407264154	-0.07084116937806265	0.10872875462335721	0.28241351862246994	0.018907359282240167	-0.020792222609792643	-0.012254770812803711	0.008170684268310432	0.003675950050159056	0.00940286354392934	-0.0028674116193354113	0.14622298731511044	0.020474415553731543	0.06264095517891893	0.07631387318670187	0.48632024402151697	-0.09267753354039218	0.7821940549109171
ENSMUSG00000114354	0.010597768562749865	-0.008785333013090877	0.0003609174319078114	0.04167698830543613	-0.011803443309186864	-0.10987970270125197	0.027998253143043977	0.2584140213194955	0.012312518666062129	-0.009671807895801413	-0.006638345726030364	0.010554984309859251	0.00344403413223721	0.011622827710429337	-0.006686538508585695	0.14705687377864654	0.014963963244500802	0.0820120431888091	0.053266572898554784	0.35300074822458255	-0.07017065815754493	0.6546793750834404
ENSMUSG00000024772	0.015160596415421179	-0.00923944572735667	0.0004211368799071925	0.04370387070661794	-0.01961733341392479	-0.0624042634039563	0.06988611543946276	0.2868348980614359	0.015869463777736355	-0.01243824272877711	-0.011087193373024015	0.009882465852856183	0.00723431800581774	0.008875136453944955	-0.01418932157696908	0.11216046749145092	0.018124907837887224	0.07550658581639129	0.0528177246603666	0.4131532348763067	-0.09970840520761518	0.5759969949801094
ENSMUSG00000060176	0.011620378285795905	-0.008412171101801065	0.00041240879000987817	0.03709402971667352	-0.0159841804138365	-0.06276264015943336	0.013134540990345424	0.21137451256238446	0.013445779910545404	-0.010949982901739852	-0.009089300164729803	0.0095268991028494	0.007398980001184087	0.009064488628137362	-0.01189724868497384	0.13912038391005685	0.014422954038183522	0.08075823197659797	0.023895803311391295	0.20666070759904745	-0.05891395878014266	0.39953634360356766
ENSMUSG00000022629	0.011939148115583354	-0.005509958654094722	0.0003846107665301775	0.04043382562173447	-0.020340755857962866	-0.06389785635010703	-0.001979995593138196	0.24445684516414526	0.012205828634079484	-0.010512585571017849	-0.008029972834157125	0.010123220251704852	0.006676988698876024	0.01034803785596706	-0.007734914089083384	0.10994000245178943	0.017489142914481302	0.055986195079666456	0.008252187633528519	0.23559619098082982	-0.029359296288846922	0.3703881611593895
ENSMUSG00000110767	0.013914741969890763	-0.006617524820819425	0.00014497058696753522	0.027430163275347596	-0.016721907760965854	-0.06192297934147034	-0.0020548587116887775	-0.06633097184506972	0.010977674405032965	-0.027520471730568565	-0.006938730486677278	0.001978194679023469	0.007467992416281372	0.0022563296396290677	-0.014885671675120562	0.056179658503876524	0.016733642065587574	0.03600476670479425	0.0007064629735728371	-0.014371697046892973	0.006159917734151228	-0.022649179949297316
ENSMUSG00000115699	0.013312755709246178	-0.00564688289231382	0.00044243491791183477	0.018100327924305677	-0.021508019954435603	-0.07786567553234178	0.015094874266707558	0.19136056334521423	0.015172145403770395	-0.022102618575762747	-0.0076422310711443744	0.008275190974309123	0.007988648808972683	0.0065839148821911185	-0.011845445462027458	0.12860930823748262	0.01945367877976956	0.037237955428009985	0.011678098906938656	0.14287691959048554	-0.04766327367685809	0.12679064879160315
ENSMUSG00000031137	-0.009461976759267713	0.0016182115766807095	-0.00023859405610971842	0.023297325719746548	0.011157947865060134	0.037537004555606115	-0.0008118638573041633	0.19749219122176656	-0.010374895829668182	0.001968467575429236	0.003272198066634247	0.007281987715875438	-0.002696956804887922	0.008697539169769966	0.00356139074920356	0.06172880618756947	-0.00763184738186774	0.04512830477713159	0.003415340467423279	0.1528084556837657	0.05853970136293449	0.03108370494571439
