	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000015149	0.058925436469921544	-0.02656743196630971	0.032518736223896755	0.00666102130212872	-0.062313384332843114	-0.11291880992120827	0.10394534729665295	0.024261840210091642	0.04413666705204663	-0.03298419374334176	-0.007762448382689324	-0.02231471444043689	0.03743744703837332	-0.060716533795293175	0.04093669618122791	0.029938347969849028	0.07491162306667368	0.012884181363189938	0.24702321952563247	-0.031338964024698636	-0.02115336243278715	0.3900547575467794
ENSMUSG00000063439	0.06939494754478653	-0.01785023023714218	0.0348312559344885	0.006933361551679795	-0.07131031098406394	-0.11324440693477758	0.19031586534576508	0.021787698600444074	0.057904905457838905	-0.02781523148912471	-0.0078192359212478	-0.011791240286704134	0.0182405601617589	-0.04555189302541785	0.005209806089032126	0.03290681190232981	0.07097565741340554	0.016103555803555967	0.2603668488406157	-0.03436998837916245	-0.03418679786437153	0.33176261311181227
ENSMUSG00000120897	0.0650305338745382	-0.025548735894771586	0.022762615676291415	0.007388453886607307	-0.08604514253891345	-0.015188569816364388	0.07538510457675779	-0.0017120368367705187	0.05048930002964541	-0.0312544358246987	-0.011467974402691417	-0.014707506796068427	0.051198685697101294	-0.007571733017737234	0.033567213153256906	0.02012955062282735	0.07720830117087972	0.010672312292240057	0.30692993851614647	-0.021278347552368234	-0.02318583354802886	0.0722461679560713
ENSMUSG00000062132	0.055611777694178265	-0.020699616014965193	0.0320930808963368	0.015800158651459166	-0.027399785570240396	-0.11961748854328486	0.19548625471828615	0.018529362655653886	0.04707824862086678	-0.025351933261950045	-0.0072459219504404935	-0.018691505780398153	0.03957639119741174	-0.061776010591828016	0.016581873029607924	0.03496640708892336	0.0637076529524286	0.016158971930844403	0.1934120096858877	-0.038862058192182684	-0.023455593479945185	0.25771269513408085
ENSMUSG00000053080	0.06360530934254889	-0.007970907360648084	0.03154092499141192	0.01846717708878003	-0.08287309979229641	-0.07920967775868878	0.49079618299360295	0.02631126946211785	0.043835722038594545	-0.014431638136528698	-0.010391081399572262	-0.025976613974645235	0.04321952571247319	-0.07041107531163898	0.04035002273514616	0.03476557962616069	0.07950746625034022	0.015455241542591437	0.6309940533529028	-0.04275491403793886	-0.05028898584071457	0.48060279411469514
ENSMUSG00000022512	0.01790122109783154	-0.016163296734594382	0.014737751314390559	0.012241970190159681	-0.009102693723753556	-0.07559389538016184	-0.054838003366734965	0.014763507377594333	0.016096632091283456	-0.019845501328196003	-0.0029707250509042175	-0.011313364202406844	0.010292971702468064	-0.009030701607216623	0.016182596412457163	0.017750103138664583	0.005881766337163002	0.009411391251379858	-0.1200479568209178	0.00624820705903378	0.0054772898592852426	0.026451950067848017
ENSMUSG00000031399	0.02606943358542439	-0.010832389118484675	0.01053917091626887	-0.0010645496206450257	0.05028556693843113	-0.06747583449261266	-0.04611714371312252	0.02335582428749836	0.003556437102144037	-0.002718012920592716	-0.006487132426833104	-0.015564147368758397	-0.01878855468518878	-0.04537404336948235	-0.003172725874102816	0.03943017744596194	-0.028575524148186794	0.01261337786826568	0.3597081258874902	-0.03828430091666712	0.007084357624265707	0.22257499526880237
ENSMUSG00000023151	0.041092520812793035	-0.012943999490250543	0.014961724185102634	0.011929619310582128	-0.05653730980058408	0.0008531158294656248	0.11022016437078053	-0.003992996476554737	0.030952194828720428	-0.02399720811042775	-0.00860072393926452	-0.013503043753957712	0.027315508965342537	-0.019729483875820346	0.02394377947236652	-0.013450133400186776	0.051240723759805505	0.0037037035550498087	0.07110966167905972	-0.0025478874915601415	-0.012705056622954278	-0.006219077630755135
ENSMUSG00000107266	0.01819818503514323	-0.007225063871139123	0.02689274284282148	0.018910384685825253	-0.07456828314763359	-0.05668221135982738	0.030244277158644334	-0.006812246942181272	0.0437606509476077	-0.029729595747709198	-0.006811038789101564	0.018287226212043962	0.03489505457767063	-0.010856682335164455	0.037021253837134685	-0.0039949461596756235	0.07078003785694985	0.01401368142064351	0.3938681244361927	-0.009032275704558125	-0.031040621463180377	-0.004590085214983396
ENSMUSG00000046185	0.05701397501543406	-0.01966809097514183	0.03756825395376269	0.012779942234960515	-0.07106454990568645	-0.07462288650382413	0.09337582414853045	0.02476318818659252	0.052357487307568576	-0.04131526915489877	-0.010991343740222845	-0.02129689536877121	0.03242098659775614	-0.059506398069924964	0.024252231063556617	0.03642392326863215	0.07375463038749569	0.018136325774471072	0.3114928028781965	-0.03417672156761195	-0.015786687519990555	0.3733387674918993
ENSMUSG00000048249	0.056253758403924894	-0.027827815420948823	0.02270665141282243	0.018959772263535755	-0.07751393772745148	-0.08321797935389305	0.14486272684403062	0.0242605660449229	0.04367751126587848	-0.03603366375768218	-0.009155869912072874	-0.024499712524763243	0.04105927940670668	-0.07361111584837843	0.02603844682189242	0.03684277690663308	0.0609118953757604	0.021552662522644202	0.4116998792480702	-0.0887165557711211	-0.021679110850431043	0.6140436108270355
ENSMUSG00000101253	0.021315580337707876	0.002598464864998671	0.009103211681227047	0.0019919105740454253	-0.03479279888564149	0.006930452493677029	-0.005395301595511378	-0.007393199685379536	0.016462328704164433	0.0032722602096730492	-0.005008447427245129	0.0027037156432545327	0.016053727524308493	-0.020088998923996123	-0.0021360424606801935	-0.0002033643346342408	0.031198914803457628	-0.023688611846438144	0.06608918396292067	-0.004109549209439722	-0.010250436732559692	0.007603250442115823
ENSMUSG00000035456	0.04713048021286061	-0.020627741276999255	0.03384361846068742	0.01055595048913919	-0.07642958876676365	-0.04955950434787617	0.349336616321513	0.020665602981840586	0.03130124488351028	-0.029625799741366476	-0.008913286176348732	-0.018193443318841266	0.04875149651568838	-0.05392835379888703	0.03753182727287372	0.031047604370624357	0.06863666208454922	0.01686777716196386	0.1836175321529491	-0.022278097900921258	-0.019023200226687697	0.1737820380810609
ENSMUSG00000086216	0.07767689283894695	-0.02104453764579334	0.014081036935920794	0.015743488741438945	-0.07558107395675615	-0.11166137815723948	0.2583549397900838	0.026220973297113967	0.04271166308156283	-0.032059940409298424	-0.006219872808341491	-0.019900744885955658	0.010477445206354649	-0.06780939857244773	0.01000586791243908	0.0364099857517146	0.06325023321248897	0.01885669934130707	0.5227451024374871	-0.0451649473331836	-0.02659960744568409	0.396487691397775
