	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000023092	-0.08567330986261368	0.13504013419151306	-0.028710370883345604	0.03380833938717842	0.050932615995407104	0.1920367181301117	-0.1318245530128479	-0.21621088683605194	-0.04689668491482735	0.07007114589214325	-0.004533567000180483	0.06397764384746552	-0.08726027607917786	0.00822484865784645	-0.13033491373062134	0.02599153108894825	-0.0496213436126709	-0.041692253202199936	-0.20349599421024323	0.3356068432331085	-0.06479024142026901	-0.3266785442829132
ENSMUSG00000100832	0.024214213714003563	-0.010317605920135975	0.00959684420377016	-0.004229397978633642	-0.006324390880763531	-0.0107854213565588	-0.06133222579956055	-0.008331002667546272	0.003727345960214734	-0.004599336069077253	0.010615319944918156	0.012613867409527302	0.004458712879568338	0.003479291219264269	-0.0012841197894886136	0.01297973282635212	0.028029995039105415	0.008786426857113838	-0.19275394082069397	-0.01156835351139307	-0.02540752664208412	-0.09607274830341339
ENSMUSG00000021103	0.055216122418642044	0.016449498012661934	0.0322447307407856	-0.008687743917107582	-0.051036421209573746	-0.009115312248468399	0.03175332024693489	0.0705314427614212	0.03652369976043701	0.010047289542853832	0.0009739011293277144	-0.05541139096021652	0.03932953253388405	-0.005208343733102083	0.026557860895991325	-0.017418231815099716	0.049493227154016495	0.002149250591173768	0.13842548429965973	-0.005144554190337658	0.029463615268468857	0.21939481794834137
ENSMUSG00000028234	0.044916752725839615	0.0025385012850165367	0.012142079882323742	0.02302989736199379	-0.043386783450841904	-0.018397442996501923	0.48260781168937683	0.12710203230381012	0.05227305740118027	-0.004830659832805395	0.011654802598059177	-0.08988349139690399	0.08999653160572052	-0.015802660956978798	0.02779041789472103	0.0053959558717906475	0.0035275251138955355	0.026080574840307236	1.1179475784301758	-0.11023738980293274	0.37013256549835205	0.5256819128990173
ENSMUSG00000115688	0.03922197222709656	0.020644279196858406	0.029543882235884666	-0.0025304313749074936	-0.0645013153553009	-0.0041584731079638	0.18212060630321503	-0.013030068017542362	0.06317543238401413	0.00408892473205924	0.004759034141898155	-0.04675981029868126	0.023687202483415604	-0.011259415186941624	0.04124767333269119	-0.05854984372854233	0.03300797566771507	0.005340174306184053	0.8580619096755981	-0.138901486992836	0.20762786269187927	0.13199490308761597
ENSMUSG00000101879	-0.38865646719932556	-0.25584399700164795	-0.2941743731498718	0.0522315539419651	0.045874908566474915	0.02898622676730156	-0.2705811560153961	0.07109437882900238	-0.22439593076705933	-0.1426689475774765	-0.12775099277496338	0.0087425597012043	-0.1345556527376175	-0.06281546503305435	-0.09502031654119492	0.22212137281894684	-0.5055977702140808	-0.186619833111763	-0.9142302870750427	0.5619526505470276	-0.3053649663925171	-0.15656203031539917
ENSMUSG00000035951	0.06141841039061546	0.009816293604671955	0.046935051679611206	0.0007788088405504823	-0.015260027721524239	-0.011751880869269371	0.08786534518003464	0.0011313481954857707	0.00017053673218470067	0.025850171223282814	0.0029721299652010202	0.0033008211757987738	0.006849365308880806	0.012089439667761326	0.023398125544190407	-0.010317866690456867	0.09407388418912888	0.019392918795347214	0.01608763448894024	-0.023777570575475693	-0.02276434376835823	-0.05616701766848564
ENSMUSG00000030693	0.07821471244096756	0.01949247717857361	0.03390725329518318	-0.006132816895842552	-0.033575888723134995	-0.009272079914808273	0.20262202620506287	-0.03256777673959732	0.0496092289686203	0.019824497401714325	-0.013177530840039253	-0.013552543707191944	0.05267537757754326	0.0014546895399689674	0.06616444140672684	-0.057055916637182236	0.08902832120656967	-0.004022931680083275	0.24717943370342255	0.00509625906124711	0.10656403750181198	0.017612548545002937
ENSMUSG00000104117	0.05657932162284851	0.009810925461351871	0.0386999137699604	-0.0010054479353129864	-0.021353216841816902	-0.010067221708595753	0.037988241761922836	-0.014725616201758385	0.037093255668878555	0.017229869961738586	0.0010283704614266753	0.013915491290390491	0.019173534587025642	0.008977430872619152	0.030487172305583954	-0.018560927361249924	0.059013932943344116	0.019311487674713135	-0.03586649149656296	-0.027361812070012093	-0.009879091754555702	-0.09465823322534561
ENSMUSG00000102690	0.02442817948758602	-0.00685114087536931	0.08965249359607697	-0.004327228758484125	-0.04164382442831993	-0.010195762850344181	-0.023779001086950302	0.003939254209399223	0.052639640867710114	0.0021489725913852453	0.0017030261224135756	0.0033482559956610203	-0.01830475777387619	0.00445897551253438	0.028274130076169968	-0.00048132374649867415	0.11270665377378464	0.018869515508413315	-0.15709200501441956	-0.014817752875387669	-0.015045544132590294	-0.023440653458237648
