	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000023092	-0.07239259356593579	0.0	0.0	0.0	0.0	0.0	-0.11777125063880352	-0.15479088070451597	-0.041425539311691795	0.0	0.0	0.0	-0.0654234200479922	0.0	-0.09034105441705553	0.0	0.0	0.0	-0.1610667467996902	0.32123517367549675	-0.04940693183920521	-0.28634255034594275
ENSMUSG00000100832	0.0	0.0	-0.0067997824440427955	-0.006510868263275981	0.0	0.0	-0.08104866911623393	0.0	-0.0074122092197234654	-0.0038679631752411847	0.0	0.0	0.0	0.0	-0.012113427568971304	0.0	0.0	0.0	-0.232598332640154	-0.03499842887697709	-0.020173611177998183	-0.12467424891109463
ENSMUSG00000021103	0.021654969331866735	0.008426421465873517	0.00730275253306889	0.0	0.0	0.0	0.0	0.02296790399400498	0.011591390394898921	0.0	0.0	0.0	0.021616382878140387	0.0	0.0	0.0	0.01590635003010818	0.0	0.06578719343116272	0.0	0.0232244126142904	0.1923609849762382
ENSMUSG00000028234	0.024095733119409882	0.0	0.0	0.009953409033889304	0.0	0.0	0.3987100329511524	0.05155564201484181	0.01704704037298917	0.0	0.0	0.0	0.04248790773072812	0.0	0.0	0.0	0.0	0.02213497610784555	1.0552549511070763	0.0	0.31633849070668146	0.48700825153970695
ENSMUSG00000115688	0.0	0.0	0.017850526453031312	0.0	-0.05009107206167181	0.0	0.13059709354602167	0.0	0.03220054396994313	0.0	0.0	0.0	0.0	0.0	0.03083312966339827	-0.04230939832946413	0.0	0.0	0.7869772866780514	-0.10340889053064828	0.18462473524370074	0.10186409576698563
ENSMUSG00000101879	-0.31610998603996926	0.0	-0.18405191662088505	0.0	0.0	0.0	-0.27413181046706503	0.0	-0.2702565395233685	0.0	0.0	0.0	-0.2203515111591006	0.0	0.0	0.0	-0.2904219867025029	-0.14756115919903046	-0.9528859847538396	0.0	-0.3900457917103523	-0.24371082986893491
ENSMUSG00000035951	0.03385289409288067	0.015556499527183363	0.019466699636435013	0.0	0.0	0.0	0.06471002295797182	0.015148533997974285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04850534585151609	0.01529885052720123	-0.03298959979908461	-0.039010394411170456	0.0	-0.08414035558210935
ENSMUSG00000030693	0.035225472273810655	0.01446090753400306	0.011539007464107298	0.0	0.0	0.0	0.14638181773343853	0.0	0.01901335417379869	0.0	0.0	0.0	0.03776720924703732	0.0	0.028843637604555408	0.0	0.04441297390515729	0.0	0.16541730549301029	0.0	0.10133306787036199	0.0
ENSMUSG00000104117	0.03027214290499173	0.01658564804721345	0.019185323922647476	0.0	0.0	0.0	0.018193891502215107	0.0	0.022194716723493567	0.0	0.0	0.023929005637075288	0.0	0.0	0.0	0.0	0.0225336748101788	0.0	-0.07920933076021076	-0.044060042357055025	0.0	-0.1294871693355537
ENSMUSG00000102690	0.0	0.0	0.053908500892711333	0.0	-0.022757394387912248	0.0	-0.04406555731382373	0.02061869754073195	0.03931847349072519	0.0	0.0	0.0	-0.015052126265741334	0.0	0.0	0.0	0.06064336111286182	0.0	-0.20696688233755284	-0.02540997337419177	0.0	-0.04974018345896422
ENSMUSG00000032271	0.0	0.0	0.007807500939600608	0.0	0.0	0.0	0.018591394641193883	0.0	0.02359932540730532	0.014769798979046497	0.006448794541225234	0.035257205789984584	0.029054635458760875	0.0	0.00693957410093804	0.0	0.039382628735103765	0.0	0.38462210839783323	0.0	0.0	0.0
ENSMUSG00000114711	-0.32280997904453396	0.0	-0.1668710697676561	0.0	0.0	0.0	-0.2645938062184249	0.0	-0.2465344558371948	0.0	0.0	0.0	-0.2192597337876957	0.0	0.0	0.0	-0.31014957823654743	-0.1753829608896444	-0.9449801354622873	0.0	-0.4004318623803184	-0.23851393442074617
ENSMUSG00000102940	-0.03559052366572482	0.0	0.019123508692429902	0.0	0.0	0.0	-0.0896256684077886	0.0	0.0	0.0	0.019703842844399078	0.0	-0.07182893488106736	0.0	-0.011826518367180116	0.0	-0.0859489575093024	0.0	-0.03215550860249435	-0.02389929430794041	0.0	-0.06683513920663692
ENSMUSG00000106940	0.06574201481463639	0.009249351450201289	0.0	0.0	0.010973537300820227	0.0	0.08614600712182521	0.0	0.04967128555150875	0.0	0.0	0.0	0.018517464698086242	0.00333715033287052	0.036208483679120856	0.0	0.0	0.0	0.21999899163807043	0.0	0.03445668595614405	0.0
ENSMUSG00000033576	0.05081994281017972	0.0	0.028452412497611965	0.0	0.0	0.0	0.10593849579290171	0.0	0.02309530168444578	0.0	0.0	0.019892841160456753	0.020347137066816914	0.0	0.025647162450714224	0.0	0.04597684932523271	0.0	0.2355937100719319	0.0	0.06280452733870828	0.0
ENSMUSG00000043487	0.0	0.014674305929890436	0.018884757002921648	0.0	-0.023934075883973782	0.0	-0.03498892988398136	0.0	0.025511623490061655	0.0	0.0	-0.031348963717277224	0.0	0.0	0.01541353586546338	0.0	0.0352507957736976	0.0	0.0	0.0	0.015293648443382437	0.05704625469532888
