	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000023092	-0.032412730157375336	-0.1456705629825592	0.008048576302826405	-0.11505372822284698	0.009018064476549625	0.02561337500810623	-0.007385254371911287	-0.15600383281707764	-0.006454510614275932	-0.24162498116493225	0.002020493848249316	-0.029192723333835602	-0.02110365405678749	-0.08671006560325623	-0.021219730377197266	-0.13741731643676758	-0.020012760534882545	-0.22023120522499084	-0.030527686700224876	-0.6585714221000671	0.006546270102262497	-0.45189303159713745
ENSMUSG00000100832	0.008294356055557728	8.404001710005105e-05	-0.0010399939492344856	-0.006395292468369007	0.0016630609752610326	-0.00015676555631216615	-0.004780117888003588	-0.04426545277237892	-0.002512486884370446	0.011153094470500946	0.002320501022040844	0.01000977773219347	0.0005180693115107715	-0.0031802034936845303	-0.0016768031055107713	-0.06064452975988388	0.007064721081405878	-0.0012167328968644142	-0.04998306185007095	-0.17986522614955902	-0.006425647065043449	-0.10321805626153946
ENSMUSG00000021103	0.007896033115684986	0.02028222382068634	0.0030830821488052607	0.009943000972270966	-0.019058002158999443	0.007348306942731142	0.0023833829909563065	0.22560063004493713	0.009364738129079342	0.01880795508623123	-0.010598554275929928	-0.027779171243309975	0.007393056061118841	0.017116952687501907	-0.01304139755666256	0.26070505380630493	0.015300584957003593	0.038434818387031555	0.022510027512907982	0.30510619282722473	-0.003769427305087447	0.34201282262802124
ENSMUSG00000028234	-0.00041663795127533376	0.012554982677102089	0.005794832017272711	0.053160227835178375	-0.013597116805613041	0.007845930755138397	0.11717064678668976	0.2352394461631775	0.029894625768065453	0.004163936246186495	0.000594112032558769	-0.035272445529699326	0.03520101308822632	-0.003170933108776808	-0.03619210794568062	0.2467881739139557	-0.00816393829882145	0.10504776984453201	0.07935117185115814	0.6164411902427673	0.09569838643074036	0.5886740684509277
ENSMUSG00000115688	0.005060655064880848	0.025560900568962097	-0.009113584645092487	0.02576606348156929	-0.011423369869589806	0.01355710532516241	0.029192615300416946	0.10109963268041611	0.02620840258896351	0.014022121205925941	0.0016344680916517973	-0.01852121390402317	0.0059768520295619965	0.0037240975070744753	-0.0528845489025116	0.17212341725826263	-0.009946957230567932	0.042055726051330566	0.0865461453795433	0.48464256525039673	0.04847881197929382	0.2198217809200287
ENSMUSG00000101879	-0.11648034304380417	-0.23323196172714233	-0.03236556798219681	-0.05210178345441818	-0.04720816761255264	-0.08144274353981018	0.02850668504834175	-0.06884469836950302	-0.04693712294101715	-0.24832794070243835	-0.02603299170732498	-0.021571509540081024	-0.01124408096075058	-0.026749586686491966	0.04107531160116196	-0.1858164668083191	-0.16981197893619537	-0.2690761685371399	0.23571620881557465	-0.5616447925567627	-0.01212451234459877	-0.3595641255378723
ENSMUSG00000035951	0.02179141528904438	0.03343681991100311	0.00850209966301918	0.023520909249782562	-0.0002858509833458811	-0.0016719509148970246	-0.0005793149466626346	-0.04425423592329025	-0.003971234429627657	0.0576741024851799	-0.003209910588338971	0.004699845798313618	-0.0012300905073061585	0.017127342522144318	-5.066607263870537e-05	-0.008482983335852623	0.03731980547308922	0.0519411526620388	-0.015642084181308746	-0.046941667795181274	-0.007623550482094288	-0.048498328775167465
ENSMUSG00000030693	0.0206272155046463	0.04273897036910057	0.002010263269767165	0.017159616574645042	-0.004257863387465477	-6.0403734096325934e-05	-0.0033798033837229013	0.03316571190953255	0.012519501149654388	0.04999284818768501	-0.023826073855161667	-0.008466284722089767	0.005362269934266806	0.017809703946113586	-0.020829347893595695	0.021544165909290314	0.03910687565803528	0.034070659428834915	0.049317941069602966	0.19298534095287323	0.018586711958050728	0.08648863434791565
ENSMUSG00000104117	0.01805165596306324	0.032616712152957916	0.004749005660414696	0.016297996044158936	-0.0019499565241858363	0.0016073943115770817	-0.0022180494852364063	-0.06984606385231018	0.007942607626318932	0.046531904488801956	-0.005858925171196461	0.009563553147017956	0.0025026099756360054	0.007023298181593418	-0.00347980298101902	0.06136731803417206	0.019252123311161995	0.04354792460799217	-0.028612682595849037	-0.08200111240148544	-0.006602758076041937	-0.10235224664211273
ENSMUSG00000102690	0.006428160239011049	0.007066822145134211	0.023185374215245247	-0.0011816348414868116	-0.008078372105956078	-0.003615432418882847	-0.006733214948326349	-0.04247735068202019	0.011850235052406788	0.02187722735106945	-0.0064541008323431015	0.003373793326318264	-0.0003216702025383711	-0.001190204988233745	-0.005720730870962143	-0.00655217282474041	0.04688311740756035	0.030588148161768913	-0.048142604529857635	-0.0060748141258955	-0.007290242239832878	-0.004528770688921213
ENSMUSG00000032271	0.009567447938024998	0.026957301422953606	0.006875419523566961	0.0002538837434258312	-0.005943052936345339	0.0015258976491168141	0.0006731445319019258	-0.035444214940071106	0.012936603277921677	0.05142810195684433	-0.007517499849200249	0.01637091115117073	0.008270401507616043	0.015585167333483696	-0.005695762112736702	0.10520774126052856	0.0374627560377121	0.05014317110180855	0.0848034918308258	0.04280678182840347	-0.004499944858253002	0.011556319892406464
ENSMUSG00000114711	-0.11648034304380417	-0.23323196172714233	-0.03236556798219681	-0.05210178345441818	-0.04720816761255264	-0.08144274353981018	0.02850668504834175	-0.06884469836950302	-0.04693712294101715	-0.24832794070243835	-0.02603299170732498	-0.021571509540081024	-0.01124408096075058	-0.026749586686491966	0.04107531160116196	-0.1858164668083191	-0.16981197893619537	-0.2690761685371399	0.23571620881557465	-0.5616447925567627	-0.01212451234459877	-0.3595641255378723
ENSMUSG00000102940	-0.01046011783182621	0.02174931950867176	0.01066641230136156	0.0025169835425913334	0.0005766437388956547	-0.002757355337962508	-0.015711480751633644	-0.06268111616373062	0.0037252139300107956	0.0361347496509552	0.004334358964115381	0.0042428988963365555	0.03799235448241234	0.0020185718312859535	-0.001964779105037451	-0.05851958692073822	-0.03126794472336769	0.008445479907095432	-0.020499637350440025	-0.07584187388420105	-0.009761374443769455	-0.039679139852523804
ENSMUSG00000106940	0.035747066140174866	0.04713492467999458	0.003865633625537157	0.034460797905921936	0.0022591243032366037	0.0029922169633209705	0.0008728177053853869	-0.01026249025017023	0.020500462502241135	0.030782325193285942	-0.01332773920148611	-0.00344332167878747	0.005939643830060959	0.008146497420966625	0.0005947476020082831	-0.026449576020240784	0.012292420491576195	0.05084337294101715	0.04877081513404846	0.10578356683254242	0.0030197196174412966	-0.00765656353905797
ENSMUSG00000033576	0.03055095486342907	0.021929366514086723	0.009339905343949795	0.024631524458527565	-0.005500483326613903	0.0019332693191245198	-0.00019497748871799558	-0.01812141202390194	0.010242917574942112	0.05779985338449478	-0.01352143008261919	0.010398352518677711	0.0031552722211927176	0.02084421180188656	-0.0007950979634188116	0.009693456813693047	0.038260094821453094	0.03358101844787598	0.05166430398821831	-0.0023771801497787237	0.0003392345388419926	0.010769413784146309
ENSMUSG00000043487	0.0052787731401622295	0.023438869044184685	0.006413889117538929	0.012284833937883377	-0.01597871631383896	0.0033060975838452578	-0.004255908075720072	0.17537812888622284	0.013599153608083725	0.014842068776488304	-0.017788313329219818	-0.025951702147722244	0.0016756542026996613	0.019779307767748833	-0.017571914941072464	0.2794210910797119	0.025471633300185204	0.06694190204143524	0.0026546353474259377	0.15758401155471802	-0.004311739467084408	0.17222003638744354
ENSMUSG00000037876	0.00875592790544033	0.013859203085303307	0.0018666310934349895	0.022528670728206635	-0.01882597990334034	0.002982683712616563	0.014679613523185253	0.19559799134731293	0.014103778637945652	0.018790367990732193	-0.020769938826560974	-0.02873877063393593	0.011871123686432838	0.01805608905851841	-0.02081446163356304	0.19978299736976624	0.017780743539333344	0.04168791323900223	0.04510932043194771	0.2658369541168213	0.002899080514907837	0.20306344330310822
ENSMUSG00000037636	0.000378313910914585	-0.013753899373114109	0.0007428699173033237	0.01657855696976185	0.004957990255206823	-0.0022423616610467434	0.013873777352273464	0.20360082387924194	-0.008572032675147057	0.01025488879531622	-0.005244141910225153	-0.010247676633298397	0.014322030358016491	0.012689460068941116	-0.018282826989889145	0.3120591938495636	0.008754055015742779	0.050906430929899216	0.07954659312963486	0.35182225704193115	-0.00497332913801074	0.1521914154291153
ENSMUSG00000041358	-0.016957715153694153	0.03740100935101509	-0.013187573291361332	0.01454647071659565	0.011018497869372368	-0.0009626410319469869	-0.011377963237464428	-0.07277760654687881	-0.025483928620815277	0.030100107192993164	0.03817550465464592	-0.0013458506437018514	0.004797855392098427	0.01808970794081688	0.010469379834830761	-0.07782414555549622	-0.03470807150006294	0.05149787291884422	-0.09785058349370956	0.07881320267915726	-0.012572730891406536	0.0047172303311526775
ENSMUSG00000004071	0.0064336322247982025	0.024273181334137917	0.0031271190382540226	0.02594444900751114	-0.004907939583063126	0.01013766136020422	0.008490407839417458	0.26400530338287354	0.008202346041798592	0.013828957453370094	-0.00926421582698822	-0.018304456025362015	0.0017858837964013219	0.01686733216047287	-0.018187200650572777	0.33843475580215454	0.011794256046414375	0.07741162180900574	-0.0016555755864828825	0.4493970572948456	-0.005557792726904154	0.36205729842185974
ENSMUSG00000020457	0.005631027277559042	0.025176020339131355	-0.0038260037545114756	0.04113178327679634	-0.014721331186592579	0.010512697510421276	0.02431393228471279	0.2977956533432007	0.02069067768752575	0.011314485222101212	0.0010468452237546444	-0.011795466765761375	0.020627645775675774	0.0021617854945361614	-0.023768115788698196	0.3241899609565735	-0.010964572429656982	0.09255624562501907	0.044646795839071274	0.6475901007652283	0.005533224903047085	0.4796026647090912
ENSMUSG00000027860	0.009063574485480785	0.018430495634675026	-0.0056212530471384525	0.025504637509584427	-0.01766153797507286	0.005353173706680536	0.019336221739649773	0.21469856798648834	0.021113190799951553	0.014578637667000294	-0.014098001644015312	-0.03744226321578026	0.016640760004520416	0.011278003454208374	-0.03677182272076607	0.28356894850730896	0.007633924949914217	0.05642974376678467	0.11141476035118103	0.3623444736003876	0.013346295803785324	0.2101224660873413
ENSMUSG00000115076	0.010369292460381985	0.019776176661252975	0.00837645586580038	0.02168646641075611	-0.005144000053405762	0.012031585909426212	0.0012095867423340678	0.04953112453222275	0.015288527123630047	0.03347698971629143	-0.001144271926023066	-0.009352732449769974	0.012758543714880943	0.016581477597355843	-0.017342662438750267	0.20383673906326294	0.021582402288913727	0.05615963786840439	0.01850035972893238	0.48837944865226746	-0.002714483765885234	0.1835138350725174
