	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031403	-0.010603742851318591	-0.0009131087394572595	-0.00018351308348038792	0.021636378628811924	0.0013904228627455138	0.003667828083715514	0.02118534487602639	0.15039137162435898	-0.002379675837125563	0.01857625167572873	0.0016738314848420747	0.001666950963200569	0.005856211473636515	0.03221727252618426	0.0013472599195145968	0.12732924865847184	0.00495909591680694	0.02153701271716792	0.05285043853370683	0.42561571020991584	0.015746148429544908	0.7125026495600585
ENSMUSG00000038400	0.008599601028618054	0.009431066969766887	-0.0015097100317039544	0.01422663446306355	0.0007278082389478056	0.002452511064581943	0.01276387991055604	0.1912077074170741	0.010108046294914987	0.01087247446042576	-0.006861249832770357	-0.01022849516261236	0.0034682242339775776	0.02775824376179636	-0.018438833623752413	0.05161945470146228	0.005878189392368378	0.016379575221890263	0.04710858543461914	0.21659310371572116	0.025602450519909326	0.43341954101855923
ENSMUSG00000032328	0.00288020182120314	0.012633364500386182	-0.0004958440895929275	0.02951843162411803	-0.001661833567102024	0.006373156589363914	0.01785873532394362	0.14791963418213397	-0.0028858816988888846	0.012569372782374038	0.0011194753222688242	0.0009440437059798309	0.002872752144925731	0.028287350079809974	0.003479361694241691	0.21926169191291203	-0.0005394586073667337	0.024109034693135203	-0.010696909868374859	0.33300565031074386	0.0043079041867258635	0.7333601479286309
ENSMUSG00000022500	0.008965585452771003	0.02368737702749968	0.003992744810823621	0.021591966786425994	-0.0012306951851444735	0.0070428329190170705	0.01250209634613384	0.1388140680896153	0.005511667360484093	0.011909755931622254	-0.007213597783265868	-0.0066790530697289794	0.006290562768292927	0.029207428892816877	-0.007210667510883338	0.15259264571464623	0.006866974620265864	0.04156965104631516	0.011496964477711508	0.2947529161739242	0.0009403800299683748	0.5964851166337731
ENSMUSG00000030562	-0.007473514081470967	0.00375738614229054	-0.00033808905519825723	0.014609431326945404	-0.0028472414458909565	0.0034510322369637183	0.011660767685160472	0.12532370304909687	-0.000924599993335765	0.01327846383655924	0.003319018543905778	-0.0037436287188549093	0.004449987683886191	0.0240685804137846	0.0008734644259805334	0.30680174053516435	-0.0029566353612218727	0.036325045958723684	-0.014253375724469412	0.21792178813118102	-0.006628264134256564	0.3257738273984095
ENSMUSG00000054423	0.004243157885605342	0.02777615577031481	-0.0026590673315110636	0.016749356952238614	-0.0021728553984238326	0.004416692712896163	0.010903194008941292	0.1684903745182185	-0.0008207916749597644	0.007827728112832638	-0.0011253568238186874	-0.01932419088492939	0.0026442050747326512	0.01417551290704588	0.0030676372861307756	0.2074516163192649	0.002542714782219134	0.029607300263887738	-0.017625566561634644	0.22843180698564539	-0.0042801256087971395	0.3663903310567938
ENSMUSG00000020609	0.002928755116285434	0.0049600954288637564	0.002059386683952523	0.019651555193877356	-0.003102122052866564	-0.005460398905493743	-0.004743952747386564	0.09146862188198221	-0.0027726072656670503	0.01586816694112453	0.0016849172672274498	-0.004813404545815761	-0.0068316421098643335	0.06860450085031126	0.0036795031760318256	0.14569474972985128	-0.00497692052867933	0.05097194317864445	-0.015580314790765572	-0.09456001345344182	0.01094385177024638	-0.09770399618345046
ENSMUSG00000021803	0.02727994576452732	0.025016228767442174	-0.0016731543780029565	0.009208382544537536	0.00044246939571946443	0.017579790873787714	0.01169510700286602	0.04327612103796647	0.004862268710972525	0.022147185422623547	0.00020425060771620858	-0.004112252051722213	0.0024304214681641107	0.036329203227459014	0.005780397274273648	0.056339259445186536	0.01950281914678921	0.020170965095881652	-0.021679184429727424	0.04560780820070899	-0.010194687440603697	0.24669895372240458
ENSMUSG00000038217	0.028478647041535105	0.026142147129322828	0.005721765540855423	0.03174402132805361	0.008726819797448115	0.0010165406982715858	0.008995082303798491	0.09786054345760412	0.018747689793859275	0.027822858177426368	-0.008447156263907475	-0.028580041990816037	0.008208382170252142	0.04412320208424977	0.007063242990963252	0.24298874524427966	0.007461057572881406	0.02861000464337329	0.019919725908338088	0.15480736725221506	-0.0018805118201888555	0.2892152430907767
ENSMUSG00000018433	0.009070139107060575	0.025071547673262883	0.004288383587657206	0.024109879207623766	0.004563421157341249	0.0023943687183548587	0.015716829791037005	0.11524689707783052	0.011323884267046327	0.019787736735939428	-0.0036929079440337124	-0.0005410822566123638	0.009284512830754465	0.032894813628399786	0.0035394711779190404	0.14150179279579658	0.00864651234753962	0.04870186184365853	0.04260555557153306	0.3014044613525065	0.006794405406351091	0.6531904743521668
