	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000020003	-0.004846371662188176	-0.1653610430095601	-0.02184953037822847	-0.20655057997406792	0.005729933269458342	-0.04756482216627903	0.004671046023382327	-0.24326257650556207	-8.185885558954656e-05	-0.06336531324615342	-0.001126648701918904	-0.028394972022098435	0.0044646566193348135	-0.18981510647990296	0.0052156993948041675	-0.1677461007158058	0.0019571442404250254	-0.11280995134288137	-0.013271932663922468	-0.4056249191608263	-0.004615342703407675	-1.1165653065283274
ENSMUSG00000031383	-0.0038627338147892132	0.0070254601877422825	0.0030296274319555646	0.005093863094381439	-0.0026430408851280973	0.004604182715099471	0.01703894237311293	0.12580472830033093	-0.0032168623996247855	-0.0005931309092505086	-0.008748973143221	-0.008636869747013927	0.0026107363445199944	0.025316535069630067	0.002703288588210333	0.09556638865989434	0.006181971904373183	0.017659784165243764	0.046827992619156635	0.3223705921549221	0.0030654565672063785	0.23177071811053662
ENSMUSG00000047044	0.010842096391619245	0.023796729508584188	0.00016741548907443107	0.06285532034884064	-0.0007979612148119486	0.010367397079153306	0.021442244456599317	0.11763647842555786	0.018229148314743985	0.017805569114761964	0.005105387276450659	-0.006198932643828162	-4.888005643286825e-05	0.03312359216179824	0.005456337464030574	0.0938901787074948	0.00701953612568624	0.07027122831825311	0.04485446321631831	0.48739795426446497	0.019459399922996973	0.7803481022407693
ENSMUSG00000029248	0.021149323317295705	0.021339247786493487	0.0013362153841626422	0.011839312296407506	-0.0013375448210224152	0.011285365221179485	0.011094678176485623	0.07207032332086913	0.00972032039239171	0.021787784044844168	-0.005838120944067019	-0.00388852527425375	0.004499704941261891	0.014528809424889134	0.00254926600876258	0.03766990966627028	0.026536788007829923	0.029647870285719233	-0.003347840694628498	-0.0366936686378332	-0.003472806981049611	0.25648052249577763
ENSMUSG00000007034	0.02959873228750699	0.04228298324368812	-0.00863328872027783	0.025734414151039737	-0.007587070345094357	0.0015447598776518134	0.015467947103187336	0.01793009379547844	0.026953185467469404	0.019282517700737245	-0.007898368974974802	0.005422022571916127	0.01766159143760108	0.008909723823918674	-0.001589823105301288	-0.02882945410367808	0.011039018834065115	0.016863108292467847	0.04710814759626893	0.1493342690492292	0.008928023752891283	0.040792413530276204
ENSMUSG00000085002	0.0058911569302218985	0.03236998302236965	0.008023964912737418	0.017469813384884347	0.0012336163093485603	0.013041462972380811	0.007392454762735465	0.08828672808550826	0.017365925112374368	0.014631317166127441	-0.008486208835503412	0.001144829946237483	0.010289781719893653	0.03312519775491377	-0.001777359329805352	0.017256206773670003	0.014683364037370797	0.028287262057567986	0.0533137793831364	0.2056905529415027	0.01972194465713853	0.44601034306407916
ENSMUSG00000028158	0.006235150863215365	0.012077548590624636	0.0010558145884325702	0.03772155802662382	0.004562998251523303	0.0111502534959722	0.011183664651701163	0.1258021682374939	0.0002784045755886057	0.021941605880686308	-0.0016501284565297932	0.0007651589752900431	0.007903742681284192	0.029501051941477792	-0.0003690111102384565	0.12593484072128505	0.008257382373439473	0.08539230394297712	0.024839353235457957	0.5925487206707007	0.001364475434983043	0.9359284531512019
ENSMUSG00000017211	0.015692815269241173	0.05263553365680309	0.0008577250438130639	0.01982883395461873	-0.0024611925605963086	0.015529618239530205	0.013791143504970802	-0.04674503143497921	0.018362120995464335	-0.00944043153367602	-0.0013113235891718692	0.0015419375456076523	0.005625719059493609	0.01826082096969393	0.010420205209967597	-0.004995562613865852	0.011206371719302817	0.038225141684285646	-0.015127813138652918	-0.08461981698466324	0.00554841886943385	-0.13408413726278273
ENSMUSG00000027573	0.01048426067967674	0.025253948106988642	-0.0005630943170217506	0.0437826950764442	0.0007675674930786564	0.009318317458980476	0.025779565046302976	0.13543571715666594	0.015440629150478863	0.01729233110235587	-0.001056174858695158	0.0033334715991064252	0.004108005892528257	0.03544737735249848	0.0048205376894137385	0.0762252880559702	0.007074318599175708	0.0785702285310955	0.04465537973697532	0.6806714912184102	0.01782510838698467	0.9087657561156091
ENSMUSG00000090105	0.008773923089872173	0.02663529082696446	0.004044339808686865	0.03523551682790509	-0.0007541541440202439	0.00733149297046631	0.008661069307780572	0.1890420631712459	0.01642816145467805	0.01796643269641598	0.0004900946075395041	-0.0005960981246322003	0.0023596194469194284	0.044670780743730834	0.001500268090434734	0.10111317622945534	0.004846250061937748	0.047146786006357744	0.031860077462923596	0.38494095540841694	0.003293516874620244	0.614886364420207
ENSMUSG00000014402	0.005439177871783483	0.02447647305625326	0.0011623138355389528	0.04240515790294402	-0.0005507519632634025	0.01139487781079619	0.007355868065607345	0.1353277306736085	0.007411723552987886	0.012723298481861482	0.00013853269159491382	-0.0014082114268733545	0.006420934578311842	0.04211268540550788	0.0025660828700893035	0.1318822581357251	0.008247948137880354	0.05897713837570596	0.026554240903013643	0.42279064178616993	0.004276756213448607	0.7619110740139279
ENSMUSG00000033721	0.0016040020605942117	0.025238013299225974	0.0022584358437922804	0.02897460874357551	0.0050099573525455654	0.003910633576898752	0.002791288057713765	0.13555051950471741	-0.002936439920176781	0.009413347046522956	0.005420883236040806	-6.325125849408713e-05	0.0025241829319254195	0.027776714199421803	0.007378508839272919	0.30638375801240075	0.00803700212995214	0.011076040395554237	-0.020076364806742016	0.05891986103971639	-0.011719626419172917	0.22555106219015214
ENSMUSG00000035024	0.009178163872476424	0.023918994620375347	0.0027150541107403116	0.03036301789664841	0.00038595912153271326	0.008427704597553591	0.011027823076847198	0.16198900327207022	0.002494352547338557	0.013362144375754984	0.00033210487276846834	-0.005562295357036159	0.0035085295808260394	0.031640945508817304	0.0035069030988389774	0.16242223805296427	0.0029744519574283652	0.07022135649175262	-0.004286136253540462	0.39025305147828737	-0.006874315576110998	0.7329944703325639
ENSMUSG00000072774	0.008432517323730541	0.026364194098037582	-0.001823248561978679	0.014959953930487505	-0.000614229751811633	0.005555457568893221	0.006609316248112204	0.13730090095653266	0.002817266603402199	0.011598625778658191	-0.00045962989287805353	0.003957297933902737	0.005952999996394023	0.025322900888483803	0.012670404259396102	0.0942902285380699	0.010173399200779646	0.022752036196522697	0.00335683318163709	0.20138647086836758	0.004796831321742242	0.5310187352454315
ENSMUSG00000029676	-0.004792823050202547	0.015493350847594099	-0.0014155037271653523	0.025078754669428754	0.0005663563086792627	0.011803367707047333	0.008103078889579202	0.18564365820717024	-0.0017098727617849362	-0.0021975516284848187	0.0023015024456461627	0.004479195080499007	0.0031904806630336678	0.03442495487258189	0.004482675026773515	0.15579021801865695	-0.0005476066577914805	0.04359136462232657	0.006632227181762573	0.33550132664166604	-0.0009411377563407898	0.6727512844893292
ENSMUSG00000040183	0.006458269447723199	0.02820887728301906	0.006002899970781073	0.019982303618826337	0.0017363807786231129	0.008392623908899362	0.009219364170732141	0.19544912783789448	0.006205924802439508	0.02058293813841244	-0.003851473914255621	-0.011386160488447266	0.005158490690473627	0.043579649976910724	-0.0023316909578885055	0.07512446087160113	0.007861042641431075	0.032556152420186536	0.017060798619630595	0.24337321330554654	0.008184059258863792	0.514147477689143
ENSMUSG00000092162	-0.010485387260704165	-0.023757091971804454	-0.0034403476165347714	-0.006298848180306647	-0.006605024666610657	0.007838756050490961	0.0039813586220978844	-0.08241980270400485	-9.616367030633098e-05	0.04299492474762831	0.0047645401722287975	0.0043644895177099635	0.006065025391606988	0.024024763587177794	0.00829558075353946	-0.04751077558780058	0.0023406821043733673	-0.03860619310870399	0.013811520361377916	-0.10749665538325125	-0.0025388586069831423	-0.1121905593817116
ENSMUSG00000051435	0.008279192266949004	0.030443001618498652	0.0047817970574409886	0.013808378848274775	0.0012848314706129065	-0.007024781966434343	0.010631610906459952	0.0921653660208254	0.005469695023852442	0.015177478660325506	-0.002069805896222273	-0.006770136838654902	0.003767442945237625	0.04212307803346188	0.0018367808984359206	0.04115079153396956	0.024836237672882688	0.019183341732540223	-0.0006233405844276214	0.2826059134963933	0.003615436823825543	0.25377557112060456
ENSMUSG00000014846	0.011685316768011943	0.0295944072751029	0.00991484360872294	0.0023559321262447545	-0.0006617651441761804	0.0016063742389893117	0.005965001322075685	0.057168557791451996	0.0032940306862656145	0.01725921378356361	-0.0019426041158567386	0.0043496355636437195	0.0064645169269234816	0.012616955006991962	0.0040379732351928915	0.004522889788898153	0.022213388187661363	0.0076789418898442815	0.058712132904916614	0.4200518285503027	0.03532608641258516	0.6390087872270183
