	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000046667	0.02405434744412917	-0.002720921372253672	0.013384947377575632	-0.004795996595125221	0.046454739375686976	-0.0064345101478725806	0.1910187814585697	0.04832115193815168	0.015897535644242972	-0.005104442642134797	0.025554052477855294	-0.018330760268119254	0.02536231741244462	0.0068338150102265766	0.028579410285237826	0.012966765028184973	0.03872378842175489	-0.0008411176706431434	0.23735826460592113	0.06007187824391492	0.04588677868222086	0.17538129716375417
ENSMUSG00000028593	0.0483297151458625	-0.0018035653037389108	0.018147338249803267	-0.0013908713354664672	0.03859990094223187	-0.004939597301563481	-0.05243353507498796	-0.005277398170346714	0.044816981908388696	0.0005528036332179909	0.028114077089061797	0.000873413474073459	0.036670343019561964	-0.0045858464581085305	0.022783580896559994	0.006704543055444187	0.032797780377092876	0.0034300735767569027	-0.12383640311587832	-0.02168924726613893	0.004166233016855716	-0.02789139874294051
ENSMUSG00000021850	0.015413975526980397	-0.0035885363961694694	0.006428655905347113	0.001972519050988402	0.049805646377899394	-0.00012508566756618426	-0.0422261798477978	-0.012065792057715694	-0.026072756824318536	-0.002832182948564618	0.004617086977460921	0.004834347859988546	-0.0036067773063093358	-0.004648592670478787	0.020496342639463754	-0.009384616203169572	-0.02322802712977656	-0.0036864255844193394	-0.09375526918391708	-0.02914692595467646	0.022335900583935395	-0.029924269794368488
ENSMUSG00000037628	-0.03263857379584709	0.00274217188899846	0.0044253757262010494	0.002162332165062253	0.08922831174559179	-0.002100204752384473	0.05105483426909164	0.05073230288217019	-0.010771292753478129	0.0013542021555362485	0.009267051210710114	0.006871862341982445	-0.021096264506559236	0.026639038233536538	0.019449768143177996	-0.016958294683796078	0.012297737382349233	0.007181775875012265	0.39243490744884185	0.039256216637282446	0.028728010115888276	0.1278114783730416
ENSMUSG00000022661	0.022666208011318238	-0.004279245483121486	0.011725448831228797	0.0010873711508533493	0.027911548760922805	-0.004194738163693858	-0.016626201681291215	-0.008447248801504818	-0.008082471136289574	-0.0037677483591323836	0.025311842199581797	0.0049034030674062834	0.010433876032220724	0.011839664066116841	0.015748579531022447	-0.0016281609631602935	0.006806075930762745	0.0007272565612116263	-0.1287148147546889	-0.003867964644684564	-0.00399785436447928	-0.023766807503696846
ENSMUSG00000030120	0.05590319532575287	0.006778745791702282	0.01501938398574956	-0.002883679606241328	0.08806916359906479	-0.011183673323882561	0.1605959013069488	0.04889757246121787	0.022617234118921	-0.00046960728738797895	0.029699248439348073	-0.018640778029371825	0.050116891682767215	0.0014104109391415217	0.028022531105969913	-0.0014213849414253282	0.059848282471310604	-0.0023258857656011447	0.64084738260226	0.02616745180010704	0.08260771898011236	0.20705798520778315
ENSMUSG00000048217	0.054272171189043254	0.012374412956069137	0.06035062537267939	-0.0007646548082318207	0.059780229505453725	-0.009960104935453273	0.17946812207299315	-0.01483806178649242	0.04658062287951127	0.005829331385991412	0.04603062689529906	-0.0072540204177780005	0.062264662468721456	-0.01824448768881796	0.02252778712798837	-0.05922922183207058	0.08859024741182761	-0.0022809670594792155	0.41733897012349447	0.07850419835691096	0.07453818581424067	-0.0015330181912109504
ENSMUSG00000035964	0.07364825138297663	0.001789930245195137	0.039063964098860586	-0.009642355262479084	0.0427106879767702	-0.0029413557254624073	0.11885378709295245	0.007227937247976764	0.019583226298085978	0.007485064543204446	0.022367014863734117	-0.002101067323435148	-0.011700455832215084	0.018347420862664877	0.026492700709708775	-0.0010768733270846756	0.11648817573979094	0.001260035331324616	0.18525487624020961	0.036886647901402676	0.036785231714228366	-0.013236583929197618
ENSMUSG00000042035	0.07383654912412031	0.006139783889778171	0.0320845795173292	0.005578801114643284	0.05729556214601611	-0.004977103776920038	0.17437874715774343	0.023462416342662048	0.043446082259431154	0.007013075117895694	0.024180615913311547	-0.014087810759312041	0.06012045524964508	0.0014716933596901072	0.03096658259356835	-0.026090377116465138	0.0627689363211175	-8.779494664850063e-05	0.30427995116629714	0.05801632015662628	0.03954044452626217	0.122119929046104
ENSMUSG00000107496	0.04154706416813139	-0.005144784479203476	0.027582588484126192	0.003210392710161614	0.03770998083212232	-0.005300842306288749	-0.02850394847091593	0.03383669350680845	0.018238977805737834	-0.02591225956899247	0.04644876049114178	0.0007701489995400022	0.02903314684976327	-0.0025761867143306257	-0.005167472652777048	0.0026184263448288093	-0.004974477396042078	0.008396886342208226	-0.013149813932354195	-0.03160436157338284	0.008392201189625276	-0.02777176757982878
ENSMUSG00000002731	0.044583749850422044	0.0004264293548658316	0.007305159151123267	-0.00137253209755467	0.030910806891863884	-0.008276995967896385	-0.032602648418138154	0.011745469972239724	0.02864136626488159	0.0005031789392822767	0.02803701262050059	-0.016708054247906796	0.03857163813681837	0.003915611748886607	0.045277106650948036	0.018975021796177317	0.04153967142506839	0.009349516739868185	-0.07578775608788939	0.06277230228762554	0.01793805143123401	0.10263282452008622
ENSMUSG00000113252	0.022620089393671248	-0.004006176247327987	0.005706559467080296	0.007714882432485735	0.04175616590404648	-0.014917838270931887	0.04857014142221487	-0.029266120919133495	0.02885307893772863	0.0003691481476770215	0.02899947952907626	-0.010535385979398728	0.036522276455317686	0.009512705303209908	0.02776113487863248	-0.029357673604265853	0.11157506127102741	-0.004637078355153789	0.31555585847241413	0.06468847371748519	0.015870052659452735	0.02086149703288486
ENSMUSG00000085398	0.07983355273509898	0.002438657256282438	0.02568950318071594	-0.005435827789603666	0.04306981953426917	-0.005275929824750035	0.12804526551615578	0.053984428182957345	0.04535083023470828	-0.0030588568433488816	0.0400184142991098	-0.024881964895017258	0.03870015279183333	-0.0010664524377261841	0.04060201923378242	0.008823506713257042	0.04706196906358205	-0.003505286166728183	0.12661703684693099	0.03718815314948318	0.019523312781822306	0.18131584766499925
ENSMUSG00000006307	0.06687047013511135	-0.0014324133655983522	0.020791675541431687	-0.007463007981069885	0.05821457840240458	-0.0031559249502346835	0.20322182619838064	0.0387392620632649	0.018497579016028404	-0.0016218751394262653	0.026497770648373782	-0.011013834383616736	0.06909386427466546	0.007857412168167294	0.04303404141560999	0.005075327207967868	0.0691976522117979	0.0016502275461667587	0.24602858120017898	0.03642054776332121	0.040097378779150206	0.22451260323767722
ENSMUSG00000103845	0.08294638937814836	0.007055434525682358	0.03773270155111277	0.00048603627670412865	0.04801453515917404	-0.00707189712438776	0.03485510605844086	-0.0032897510481624133	0.06012587597121767	0.00529775200356458	0.014904200779424823	-0.004568927766376874	0.031228999649361606	0.011965789284425097	0.04247460688243986	-0.004942252649561852	0.09362668225959558	0.0005183013757882041	-0.05221365844427055	0.010352173478999508	0.016901815235542017	-0.011329998096321755
ENSMUSG00000044286	-0.018356720722322604	-0.0058339791664755985	-0.001242034348706511	0.0004201838847068627	0.04333907824116717	0.0178252739776456	-0.08368441519148422	-0.010866029169301327	-0.03161680711433031	-0.0021943804183592874	0.01793810349840247	0.0052960366047305535	-0.004956113103071402	0.0034490299210509483	0.025833428938702645	-0.001004935868162907	-0.00755994418494603	-0.0062253027323095015	-0.07408279259199324	0.0059446747886600605	0.06247235878493354	-0.019075183086572776
