	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000028138	0.03483625230250746	0.0	0.02092885263656498	0.0	0.0	0.0	0.09141223211682399	0.15376726914987407	0.0	0.0	0.0	0.0	0.033830674740009864	0.0	0.01925715399672212	0.0	0.01777075598467482	0.0	0.30081102158718814	0.0	0.06685626533396274	0.2594374272319199
ENSMUSG00000070498	0.03663315977995999	0.0	0.0480186062777857	0.0	0.0	0.0	0.04967680005824796	0.0	0.01822066995998035	0.0	0.0	-0.0345739161762561	0.0	0.0	0.013067327958565206	0.0	0.04368136569963426	0.0	-0.11197594062985293	0.014953241607803269	0.0315600068525875	0.0
ENSMUSG00000029468	0.042700232004656134	0.0	0.040506885955428396	0.0	0.0	0.0	0.0	0.0	0.01553584354108889	0.0	0.0	0.0	0.02853441441986465	0.0	0.01951370608757384	-0.061542695092925016	0.05036791147463873	0.0	0.2873203249495473	-0.05660734076335391	0.05702601286771157	0.0
ENSMUSG00000101731	0.05706836819234548	0.0	0.018562640345343336	0.0	0.0	0.0	0.07194481304428663	0.0	0.012056525822964704	0.0	0.0	0.0206094188052171	0.0	0.0	0.0	0.04028947688293795	0.04610471920722418	0.0	0.20140596688859214	-0.050452179847118306	0.07867978280978041	0.0
ENSMUSG00000039199	0.04597169822248214	0.0	0.03200849021066078	0.0	0.0	0.0	0.06842941028438064	0.06046797253816832	0.01949619552236259	0.0	0.0	0.0	0.027145665545400828	0.0	0.0	0.0	0.044105792579015236	0.0	0.3551411508536221	0.0	0.07693556071896752	0.15636497118786014
ENSMUSG00000112426	0.045707345422443015	0.0	0.024481237310634764	0.0	0.0	0.0	0.1387199249843621	0.0	0.0226844483723736	0.0	0.0	0.0	0.025035774174653677	0.0	0.0	0.0	0.044810428133491086	0.0	0.5254530608620482	0.041621955642686934	0.21758640466904264	0.036241647838561285
ENSMUSG00000017221	0.041983195217879916	0.0	0.02516080819753854	0.0	0.0	0.0	0.08497429197957496	0.12408438227490683	0.0	0.0	0.0	0.0	0.04221064429007372	0.0	0.017484226453811202	0.0	0.040379056790631924	0.0	0.2616848565457336	0.0	0.07438441533501902	0.25091353137755135
ENSMUSG00000027678	-0.07545975715140882	0.0	-0.11757487736599129	0.0	0.09116291071288746	0.0	0.13650362854409415	0.0	0.0	0.0	0.0	0.0	-0.05296470762982304	0.0	-0.058619925189618984	0.0	-0.06710357562132797	0.0	-0.3719709651423145	0.0	-0.12260752844965649	0.24136853353911406
ENSMUSG00000032377	0.0	0.0	0.0	-0.013780303164188873	0.0	0.0	-0.08246750880376247	-0.045534960424679936	0.0	0.0	0.0	0.03169820899857032	-0.017184960504277116	0.0	-0.01209697203450145	-0.02446000766680944	0.0	0.0	-0.17862381204506547	0.0	0.0238549107411809	-0.037898353840340876
ENSMUSG00000032656	0.02328405429764695	0.0	0.02935167440945393	0.0	0.0	0.0	0.0	0.04100817623851457	0.013856740365599276	0.0	0.0	0.0	0.0	0.0	0.010206375989332925	0.028858747341367785	0.027862519873408542	0.0	-0.19018568905975688	0.0	0.03836177807766534	0.07069293804919816
ENSMUSG00000031883	0.03930805270599262	0.0	0.03876139321150157	0.0	0.0	0.0	0.15001605102679622	0.048994490344545394	0.02518102639197079	0.0	0.0	0.0	0.019427129998512864	0.0	0.0	0.0	0.048248095826928496	0.0	0.0	0.016622261019991424	0.05494058070237787	0.1359899698245092
