	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000028687	0.014679375823112439	0.01864856540754074	0.0	0.0	0.0	0.0	0.015436882906306591	0.24821809659256158	0.0	0.0	0.0	0.0	0.0	0.0	0.009427223952243047	0.22257765416108194	0.0	0.024782778346091393	0.023837943506586495	0.2415957756368085	0.0	0.2992859199164671
ENSMUSG00000028613	0.0	0.0	0.016855936847631123	0.0	0.0	0.0	0.027065191377299885	0.14621341138216082	0.0	0.007488749100962533	0.0	0.0	0.008528293729454118	0.0	0.0	0.05477692652347331	0.015442636927038492	0.012727093065945532	0.0	0.21704632586724393	0.0	0.18690451144327364
ENSMUSG00000018861	0.011775205187801167	0.014803697538675777	0.0	0.0	0.0	0.0	0.026215965784884433	0.19946731930950473	0.0	0.02276760143059935	0.0	0.0	0.0	0.0	0.0	0.24635814804173714	0.01594146078554834	0.01248331006398573	0.0	0.21097189350709666	0.0	0.22688250739868332
ENSMUSG00000093575	0.0	0.008841271354285382	0.0032572751609338535	0.0	0.0	0.0	0.02246005392102776	0.20165954453231572	0.0	0.0029079910882264803	0.0	0.0	0.0	0.0	0.0	0.25326945206454643	0.0077578411704251945	0.038634091526921245	0.0	0.09436378997687538	0.0	0.26696232339715975
ENSMUSG00000023915	0.0	0.0	0.0	0.01620008548179745	0.0	0.0	0.0	0.18976841605412764	0.0	0.011169165505306444	0.0	0.0	0.015669600863797033	0.0	0.0	0.2450572201342192	0.012895168982717855	0.04208701709284184	0.05019067745008338	0.17073703652552688	0.0	0.2169669587268594
ENSMUSG00000080223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.008813650133622482	-0.01174865163058243	0.0	0.023597238504632256	-0.009423055341820965	0.0	0.0	0.0	-0.02839717022045878	0.0	0.02236644948944019	-0.09873231697521105	0.05717655429664212	0.011109562576616869	-0.07303612739555045
ENSMUSG00000029536	0.0180469239987364	0.01109690620193952	0.008917728230560362	0.0	0.0	0.0	0.0	0.235325503670765	0.0	0.0	0.011573404191349803	0.0	0.0	0.0	0.0	0.1434783369713691	0.0	0.047421399722960056	0.01988659960186441	0.21449839304609672	0.0	0.3503644216313618
ENSMUSG00000107622	0.0	0.0	0.015814939038475972	0.0	0.0	0.0	0.0305376280519007	-0.05722669118603667	0.0	0.0	0.0	0.0	0.0	0.017736625709039843	0.0	-0.07865705746840805	0.03634556326399412	0.019470752386642885	0.03953412831932099	0.3314140550113572	0.0	0.02530333159775066
ENSMUSG00000009621	0.005974124522901136	0.012867649706896949	0.0	0.0	0.0	0.0	0.017850931955257575	0.2014854065463816	0.0	0.008950383105402361	0.0	0.0	0.0	0.0	0.0	0.20042216333572535	0.0063818277745652345	0.04045538522999818	0.0	0.13762752889796026	0.0	0.28230197894814746
ENSMUSG00000039536	-0.04637493955304639	0.013948525159417807	0.0	0.0	0.0	0.0	0.0	0.1935694158359392	0.05556132878521108	0.0	0.0	0.0	-0.05082176461934073	0.0	0.0	0.28390523424765923	0.0	0.06900446642780339	0.038711790911451605	0.16069396678852513	0.0	0.34508278514995727
ENSMUSG00000029458	0.01380210851591098	0.01297376514932034	0.0	0.014766972582541813	0.0	0.0	0.01463852630802542	0.2225168165955844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2573169771524466	0.012239795778899443	0.0545786968394028	0.0	0.10173570593595219	0.0	0.28390284691122925
