	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000021239	0.011136579405488766	0.0	0.007579279255641641	0.013012934469434674	0.0	0.0	0.017408225833020496	0.04320916235146067	0.013510633716839004	0.0	0.0	0.0	0.0	0.0	0.0	0.05335237197593512	0.02007923051272283	0.023579555680752318	0.0	0.013016869242710895	0.0	0.0
ENSMUSG00000114378	0.0	-0.14407425533269974	0.0	-0.1254760882900817	0.0	0.0	0.0	-0.23056844364509047	0.0	-0.20390251044316246	0.0	0.0	0.0	-0.11323631085129776	0.0	-0.15120574313535284	0.0	-0.238513579702179	-0.02443509202474292	-0.5621613863651038	0.0	-0.6097569619600358
ENSMUSG00000044122	0.003990671126666956	0.0	0.0	0.006678637599792503	0.0	0.0	0.008165379625769497	0.0	0.004661434847296316	0.0	0.0	0.006166304753928857	0.0	0.0	0.0	0.0	0.0	0.010283245333355312	0.04610306786339526	0.15473264718170168	0.018194978434779543	0.04141808442490371
ENSMUSG00000096818	0.0	0.0	0.0	-0.019570740475187542	0.0	0.0	0.0	-0.14582821060296572	0.026669545651073944	0.03943446279883667	0.0	0.0	0.02326669769775297	0.0	0.04433006056203884	-0.07688356038789146	0.0	0.0	-0.03539894558558485	-0.21275704438538112	0.0	-0.09949842917222866
ENSMUSG00000083431	-0.03155641184430306	0.0	0.0	0.0	0.0	0.0	-0.04691878357801081	-0.08578282105920218	0.0	0.0	0.0	0.0	-0.047708847197608366	0.0	0.0	-0.09709270844818946	-0.011337066399549123	0.0	0.1295204327115798	-0.06670329093703228	-0.07282993525959153	-0.06605549230418654
ENSMUSG00000039579	0.0	0.0	-0.012998922188739742	0.0	0.0	0.0	0.0	0.09048736376849817	-0.012991831302820745	0.0	0.0	-0.02358344368548254	0.0	-0.020383595325474554	0.0	0.0	-0.010473104765900791	0.030978320403756615	-0.06880138797250442	-0.028255881253235523	0.0	0.05255369878810916
ENSMUSG00000005198	0.016947714747200804	0.03084804409090815	0.0	0.04482891000031653	0.0	0.0	0.028978921190639762	0.2561090621775502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2936263742665994	0.0	0.102820017391516	0.0890949841665486	0.49374231608237035	0.0	0.4833425088272305
ENSMUSG00000017221	0.017186213672188526	0.019368826585063215	0.0	0.02431759650436024	0.0	0.0	0.014077850575917372	0.23639631547728704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17130682826346494	0.0	0.0535311345114532	0.049153233698553775	0.4041087541975713	0.0	0.48089696138758475
ENSMUSG00000019779	0.0	0.010829957540050608	0.0	0.005924035260081465	0.0	0.0	0.0	-0.011136951317436498	0.0	0.02382678443961197	0.0	0.0	0.0	0.021149884480296508	0.01793138023359958	0.006582696397240062	-0.020827586261935236	0.015408373662924711	-0.08094896723299223	0.0	0.0	0.0
ENSMUSG00000024172	0.0	0.006515257247834276	0.0	0.0	0.0	0.0	0.0	0.19459605057617138	0.0	0.022756259218273595	0.0	-0.04567351625253056	0.0	0.0	0.0	0.30545264983257875	0.0	0.039204086133673766	-0.052988416554300206	0.12622310123520628	0.009321495400456903	0.1368057136331264
