	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000043572	0.027049635137139226	-0.006592621673432216	0.0052256087853795215	0.011378323101780033	-0.011562488999091595	-0.08395845578466725	0.07593898698429538	0.215314714299698	0.006696240305926411	-0.02490163306041363	-0.010486336164532721	0.006839315394400433	0.006895785723410058	0.0017768299314600475	-0.009513412996628261	0.132281789759191	0.014580512841327546	0.0656461250582989	0.05552216341677567	0.38954670173027767	-0.08053878770610402	0.490258723840056
ENSMUSG00000059994	0.01913270465049378	-0.006586310828248131	0.0035285060586042636	0.025179559350748264	-0.013730031560389417	-0.008514347756978772	-0.01039646429316772	0.05981475166968382	0.006204693516099481	-0.01785848284206613	-0.004998841904600404	0.001188467340250523	0.0028467922066226204	0.000885816238797943	-0.009899995681889182	0.08120488966431187	0.012880251684681128	0.045487798377529726	0.007510202051798747	0.05053153343328085	-0.023773466786671592	0.03116362267908114
ENSMUSG00000042360	0.0194386691121946	-0.006998487561786971	0.0034984827217585794	0.047487902192051096	-0.016094127835555538	-0.06567247311042178	0.02380628013463615	0.21520513976196287	0.006633277933589397	-0.029708191672561366	-0.008326187914665214	0.008979792620192736	0.0022417783824165666	0.002438277755162778	-0.014955841234574201	0.1324497275742274	0.014769473599584653	0.05087904682833848	-0.006752889151835849	0.17755068664699805	-0.003456238948409256	0.23249379944380377
ENSMUSG00000029623	0.024278766629733294	-0.0051193785110482904	0.0042755500284947295	0.0396559193196606	-0.02202194821121304	-0.05728052634152956	0.07392456586515385	0.2591069708750256	0.009155558883617233	-0.013496522994658826	-0.009003309876447829	0.009470517953705966	0.0031785595423867185	0.002917993409451524	-0.014960981510033007	0.12911284618881888	0.016938088176783325	0.0651351182813273	0.06533892056292676	0.38635681491584684	-0.08356312903403552	0.7842512366235672
ENSMUSG00000022144	0.014017332856709839	-0.006998483276894685	0.002227846715721165	0.02593555469876025	-0.008956128327963747	-0.03212842235988325	0.04505921672012305	0.18484234746600886	0.003935620550612677	-0.013230081346160247	-0.003619609236117381	0.008122867539846992	0.002473237583664033	0.0021083238589562647	-0.012373193871015055	0.08351087982192534	0.014282635912129929	0.047824579416365406	-0.024722396044632635	0.005687771387558462	0.01866099783208676	0.1103486419062248
ENSMUSG00000024357	0.02191089547484153	-0.007191498918629533	0.00352333956404163	0.03738205916976192	-0.017418518073370325	-0.06038775023066537	0.0011071064214347758	0.22590538531938045	0.007583127134889741	-0.022617252943221193	-0.008484453229323704	0.007837027697738539	0.003436785010738497	0.002827041943021107	-0.015625166074896512	0.1336849286412602	0.014160451080566157	0.04833084970201485	0.013940269863033948	0.47408525822816117	-0.042535599854632074	0.6411179543473471
ENSMUSG00000024312	0.022898542341876885	-0.008852599642967258	0.0036672165778699217	0.029530998860806817	-0.005540343648094271	-0.07356242860256822	0.03880687912077097	0.25169799616693295	0.007219710117606497	-0.014149706267042771	-0.005810790999702508	0.008959449317563569	0.0018173217328018858	0.0021016166550456845	-0.014144710531095707	0.10813177301752604	0.01705627471934565	0.028160873600185477	0.027714385716661242	0.24283853471474529	-0.05242545320625331	0.5337522784945328
ENSMUSG00000036502	-0.006527018713098396	0.003371079854831163	0.0004001458900836121	-0.003249816167369117	0.006681565142535255	0.0901639880904853	-0.015319323649759698	0.08984928212691301	-0.00305564413962924	0.020724701055032105	0.00045498775441607265	0.003667631125081005	-0.001227734539852259	-0.00018766371357102792	-0.005735071113987173	-0.014204026809469056	-0.0036003255055572095	-0.017281005786325	0.01002206249804517	-0.12139329453992191	0.04193862947814202	-0.22990999043544497
ENSMUSG00000028920	0.022465323285235383	-0.005635200557941908	0.0042192420132421	0.04044292427749666	-0.022517571287294206	-0.07380784823865554	0.0471343980230042	0.24984726912822394	0.007879721553314992	-0.02304525248955768	-0.008369471302198608	0.009045782816301666	0.004565571934045475	0.0030345183052233075	-0.01763792596399884	0.1331209234000626	0.018004145841160033	0.0733111672493945	0.026111528560229694	0.23885066298939098	-0.07312810336450752	0.6219006380575696
ENSMUSG00000004100	0.009059833530280914	-0.0014435207496221775	0.004020070215217401	0.038589816761371784	-0.019269782717524907	-0.05630375400290897	0.11486256218354028	0.23920064905911978	0.012910383430393805	-0.01701199361517979	-0.003452090714005759	0.008904805616031793	0.0025141421091418345	0.0025086672419819835	-0.0048956812333559785	0.13299584141318468	0.01815786395076283	0.05940135681494919	0.09227478197467064	0.5678626024594171	-0.23001251088312116	0.7433257769680331
