	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000096718	-0.14829593235181493	-0.12225697025989765	0.0	-0.12624522618799902	0.0	0.0	0.0	-0.20315801451010637	0.0	-0.12396934399281216	0.0	0.0	0.0	-0.08903440271940433	0.0	-0.3052817126496933	0.0	-0.2393495866026382	0.0	-0.682880002206666	0.0	-0.5730471790632264
ENSMUSG00000075079	-0.03609747141292099	-0.09528102206179816	0.0	-0.024346435690491774	0.0	0.0	0.0	-0.13011050436756372	-0.02311316582703396	-0.04414483833783527	0.0	0.0	0.0	0.0	0.0	-0.23097340763400523	0.0	0.0	-0.0712901136046317	-0.11236071622362163	0.0	-0.042944726909013624
ENSMUSG00000090619	-0.018315134827756555	0.0	-0.030358940665092444	0.0	0.032767471186551024	0.0	-0.006379208169408508	0.0	0.0	0.0	0.0	0.0	-0.00421245943033316	0.0	0.0	-0.2295244423859273	-0.020852466556365325	0.0	-0.059956073643945104	-0.04580236767545065	0.0	-0.08182306853644192
ENSMUSG00000052075	0.017431003992910588	0.0275244142518373	0.0	0.026470631378720813	0.0	0.0	0.0	-0.10085441824225339	0.0	0.025210655172857727	0.0	0.0	0.0	0.0	0.0	-0.07122676671705103	0.018571838105338936	0.0	-0.023699300173228546	-0.07855096208995356	0.0	-0.05296161092825533
ENSMUSG00000107902	0.0	0.0	0.0	0.014513473587570097	0.0	0.0	-0.005863850969697148	-0.08709707673570112	0.0	0.0	0.0	0.012283634985001053	0.0	0.016637493331966218	0.0	-0.14290810071053425	0.0	0.0	-0.047707042201136335	-0.129801188355598	-0.006010078348357095	-0.09831189958547396
ENSMUSG00000004565	0.0	0.02023162606143744	0.0	0.019125816622577507	0.0	0.0	0.02428436058196816	0.11621975197001899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07299947441921809	0.0	0.03874434851072265	0.050053597963894435	0.3450430845467736	0.014066202175940087	0.21250505838328163
ENSMUSG00000099899	-0.0017664274515758192	0.0	0.0	-0.01735884914598383	0.0	0.0	-0.007561675672299205	-0.07805893339043463	0.014997572169497264	0.025251583822899423	0.0	0.0	0.0	0.0	0.0	-0.11229803495502053	0.0	0.0	-0.05458527554371325	-0.2004503743345972	0.0	-0.08894217509820569
ENSMUSG00000025140	-0.13203994440885453	-0.1403161688816337	0.0	-0.11272367674100492	0.0	0.0	0.0	-0.20164008330865885	0.0	-0.13544815523124923	0.0	0.0	0.0	-0.07922367938273034	0.0	-0.30367935195510326	0.0	-0.26792706609001216	0.0	-0.6859950583208146	0.0	-0.5545251862241959
ENSMUSG00000104669	0.017345093890018374	0.0	0.009929967262702925	0.0	0.0	0.0	0.0	-0.058501621549532305	0.0	0.01626604685341575	0.0	0.0	0.0	0.009447865806743914	0.0	0.0	0.015332682366793594	0.029286314746958066	0.03449158791758426	0.03528121371687925	0.0	-0.0601108674410984
ENSMUSG00000048497	0.012822688728360737	0.014537450016482911	0.0	0.0	0.0	0.0	0.0	0.17507347682942562	0.0	0.009046580047613939	0.0	0.0	0.0	0.010170638389080671	0.0	0.18444749269755645	0.0	0.05083088393443591	0.058756895188223204	0.2552688510917925	0.0	0.17101871602794846
ENSMUSG00000030739	0.01824837222387956	0.03792556000039279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02271549641120919	0.0	0.0	0.0	0.01566155213252718	0.0	0.029700275484022088	0.0	0.018671342320820763	0.028158472714988673	0.08365049942139002	0.015575012983208514	0.04322228351717155
ENSMUSG00000097819	0.03366189565853876	0.02259598191140552	0.0	0.0	0.0	0.0	0.0	-0.03529802112565811	0.028453539936214037	0.03802637198625113	0.0	0.0	0.0	0.0	0.0	-0.06522164472050668	0.021062709469948593	0.0	0.08132228679216053	-0.08908757230435065	0.0	-0.041699632173758376
ENSMUSG00000114209	0.0	0.0	0.0	0.0	0.005417300102900463	0.0	0.004577126294591033	0.00998859076515469	0.0	0.0	0.0056634784357497345	0.024891312938501515	0.0	0.006781442684679252	-0.030640299562382928	-0.07502475699028302	0.0	0.012964717084738899	0.0	0.024607691898049767	0.0	0.0
ENSMUSG00000045381	0.0	0.0	0.0	-0.01693188142551729	0.0	0.0	-0.009898686768042397	-0.11441234806635606	0.0	0.0	0.0	0.0	0.0	-0.011947701753971746	0.0	-0.06847179875942626	-0.028182492078874185	-0.02991260679442118	-0.03978258089945752	-0.14737032322202973	0.0	-0.09830988988214896
ENSMUSG00000033857	0.020932235346474096	0.0	0.0	0.014302725126443453	0.0	0.0	0.0	0.1148042379363532	0.0	0.015804639848327227	0.0	0.0	0.0	0.01379855651996987	0.0	0.13658162800582135	0.0	0.025115608888373647	0.012727254524176335	0.16559750517395255	0.0	0.10932445740042562
ENSMUSG00000030510	0.008578508389793682	-0.010431944947272972	0.0	0.009631774891542964	0.0	0.0	0.0	-0.04560522524825149	0.0	0.0	0.0	0.02796191807066688	0.0	0.0	0.0	-0.054855848792087325	0.0	0.034532956247447344	-0.05642222233449999	-0.18869584739557083	0.0	-0.07590324581488106
ENSMUSG00000073164	0.0	0.0	0.0	0.0	0.029845041629630857	0.0	0.0	0.15282217153003783	0.0	0.005836279250664211	0.007249708363989288	0.0	0.0	0.02349448767170411	0.014103743946138012	0.2572981206811269	0.0	0.06088911672557259	0.0	0.0	0.02355347541251631	0.12153784258939385
ENSMUSG00000051444	0.01075860259844855	0.017509704628673003	0.0	0.028128233609839598	0.0	0.0	0.0	0.17164488253642846	0.0	0.01123935273274479	0.0	0.0	0.0	0.0	0.0	0.2535594179489396	0.0	0.05086402437170127	0.0580671980418515	0.33354408148758674	0.0	0.18965182543110834
ENSMUSG00000117523	0.03078557706128204	-0.023798306937685892	0.010039749162907315	0.0	0.0	0.0	0.0	-0.07208937124658851	0.0	0.015396165195013843	0.0	0.010247564696005018	0.0	0.0	0.0	-0.12880446415876604	0.028495946350502493	0.0	0.0	-0.10341093880051512	0.0	-0.07240344993983831
ENSMUSG00000035868	0.0	0.0	0.0	0.008746829038099273	0.0	0.005892222751743281	0.0	0.12334902131444465	0.0	0.009980781731325565	0.0	0.0	0.0	0.011121920993587383	0.008921616267244005	0.22779110407005423	0.0	0.02119986599775279	0.0	0.13906970545598107	0.0	0.17118488610766577
ENSMUSG00000105434	0.02989327897657781	0.0	0.010512203458392447	0.0	0.0	0.0	0.0	-0.06164895709691058	-0.02117734041532503	0.0	0.0	0.01926303894259613	0.0	0.0	0.0	-0.07451140018243396	0.013813200183234401	0.03098757016011493	0.08374875591786952	0.09898699678438504	0.0	0.0
ENSMUSG00000016382	0.0	0.0	0.0	0.0	0.02390861285293162	0.0	0.0	0.15736461504612742	0.0	0.008175197651133392	0.0	0.0	0.0	0.0	0.016102888280327295	0.24809822832503134	0.0	0.020083396089678813	0.011289188242283312	0.1997612112886887	0.01283511173492656	0.010383568070987033
ENSMUSG00000032735	0.011205272598359647	0.0189931341781101	0.0106461524260841	0.0	0.0	0.0	0.0	0.12377833873297481	0.0	0.0	0.0	0.0	0.0	0.014550191395368568	0.0	0.17764101005709965	0.010271540950873865	0.042688042548325075	-0.04907444636811353	0.0	0.0	0.07641856523127669
ENSMUSG00000036800	0.0	0.0	0.0	0.014601731804442011	0.0	0.0	0.0	-0.008181532813859749	0.0	0.023172888339491958	0.0	0.01097949708790658	0.0	0.009580556745236932	0.0	-0.08965585412346655	0.0	0.02791442705148993	-0.08169689590768557	-0.20652947240806094	0.0	-0.02506417087907851
ENSMUSG00000110424	0.010130430214491781	0.017708316007050483	0.0	0.04935509467166538	0.0	0.0	0.025752415732369076	0.2176515428682352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26454971190374504	0.0	0.08847044742945842	0.03266261641615211	0.5861465401111531	0.0	0.34430068128434393
ENSMUSG00000072511	0.026726487858787357	0.035446845811925136	0.0	0.018428532523561872	0.0	0.0	0.0	-0.0521314216883246	0.0	0.029955605844351307	0.0	0.0	0.0	0.0	0.0	-0.0987784388180025	0.0	0.03190455495851337	0.0465934344532339	-0.09950238856765325	0.0	-0.03584922215710054
ENSMUSG00000051427	0.01747850026685937	0.020407561397466776	0.0	0.011926681602718196	0.0	0.0	0.0	0.19611472727173979	0.0	0.009624737613473629	0.0	0.0	0.010389632089006673	0.0	0.0	0.23914896348659542	0.0	0.033245453555699966	0.0	0.4279576376733816	0.0	0.27807333363515346
ENSMUSG00000071428	0.0	-0.0184944212078631	-0.0032564499950188397	-0.10314595384273882	0.0	0.0	-0.01190069954199607	-0.08993576285698686	0.0	-0.008686381951158218	0.0	0.0	0.0	0.0	0.0	-0.1948337425946054	-0.005744051875483109	0.0	0.0	-0.011744048539937569	0.0	-0.0638532732004205
ENSMUSG00000117923	0.013197717102674323	-0.027092839645865497	0.0	0.010005841739926358	0.0	0.0	0.0	-0.13448866997455913	0.0	-0.01077268820124537	0.0	0.0	0.0	0.0	0.0	-0.03194656863149421	0.0	0.01398490793303064	-0.05534167039716965	-0.14241111895511918	0.0	-0.07253103334167603
ENSMUSG00000104029	-0.014264138594368004	-0.011065290821918506	-0.007691263641014134	0.0	0.0	0.0	0.0	-0.09510751664083747	0.0	0.0	0.0	0.0	-0.008439036618036154	0.0	0.0	-0.1341525002722675	-0.02043600423015126	0.0	-0.04604037430836795	-0.1986363110307833	0.0	-0.08660928615119232
ENSMUSG00000029458	0.017342772523090123	0.0	0.009673340073587222	0.012927584062947783	0.0	0.0	0.0	0.19269266130473808	0.0	0.010650783567377826	0.0	0.0	0.0	0.009941642663684953	0.0	0.2435787013657246	0.0	0.057411042231049626	0.0	0.1350714664961393	0.0	0.23564747909287886
ENSMUSG00000112283	-0.010073061348376522	0.0	0.0	-0.008605588135306512	0.0	0.0	0.0	-0.07070544298276961	-0.012628369274954898	0.0	0.0	0.0	0.0	0.0	0.0	-0.1326671460517287	0.0	-0.01714182336149795	-0.04714436602365152	-0.22038518316735248	-0.006953573043483541	-0.09900683454252614
ENSMUSG00000070493	0.016385815789157654	0.02002973888408138	0.0	0.028988806387123856	0.0	0.0	0.0331252826553924	0.17512199256331681	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2059191384989527	0.0	0.06781938786350077	0.07264845620280626	0.2700717655397229	0.0	0.39150843589047435
ENSMUSG00000069793	0.012433385615697757	0.012480815105895937	0.0	0.0	0.0	0.0	0.0	0.0	0.014035050854958495	0.017547465091880238	0.0	0.0	0.0	0.012004664724060466	0.0	0.0	0.009109369626055519	0.02392893074457804	0.06612754140679976	0.11992581774498036	0.0	0.032501814358516054
ENSMUSG00000052299	0.009959270869956306	0.011039028432165384	0.0	0.017861245355106928	0.0	0.0	0.0	0.17450904587007487	0.0	0.010251776011167446	0.0	0.0	0.0	0.0	0.0	0.19637023302735798	0.0	0.04609117371899655	0.017313323318488612	0.30916303617801083	0.0	0.19758789486777686
ENSMUSG00000051367	0.014393659611538332	0.0	0.0	0.014569786205405721	0.0	0.0	0.01924184971741895	0.07700649682957518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1160037647811802	0.0	0.026413278829197844	0.054235320103536565	0.24961281585093834	0.04559557413889752	0.09915085937758598
ENSMUSG00000085860	0.0	0.017999697181641947	0.0	0.017755716381119377	0.0	0.0	0.029637933081612684	0.1289544529061127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1299807924431169	0.0	0.022130531285273383	0.04419932528153354	0.4939694192514369	0.016788539641215072	0.22947776339214523
ENSMUSG00000112847	0.0	0.013212885006520557	0.0	0.0	0.0	0.0	0.0	-0.08302982425787975	0.0	0.02675940597342404	0.0	0.016476312644069728	0.0	0.013193608290790157	0.0	-0.06524076546332601	-0.011600675850560682	0.0	0.04593482937890203	-0.04806230260382028	0.0	-0.07770120037090424
ENSMUSG00000035238	0.0	0.017110559860891272	0.0	0.0	0.0	0.0	0.0	0.030996832123883575	0.011762878041638575	0.007212443837661042	0.0	0.0	0.0	0.006593911006524683	0.0	0.135953234287759	0.006731970383461879	0.015156350021947049	-0.02495446836274402	-0.20873775918306312	0.0	0.0
ENSMUSG00000026473	0.013164482418715151	0.018286181795473377	0.0	0.03139938453518246	0.0	0.0	0.028689241149235007	0.20719030357451543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24048507503506383	0.0	0.07655035383681474	0.046680616855779435	0.3989203963958666	0.0	0.3160550918067888
ENSMUSG00000040430	0.011209755721925233	0.010380164995489619	0.0	0.0	0.0	0.0	0.0	0.1730406411149054	0.0	0.010551680477825256	0.0	0.0	0.0	0.01077796298241529	0.0	0.17885284483100197	0.0	0.04831225140688709	0.05038560788676748	0.2846978870977573	0.0	0.13760439784402673
ENSMUSG00000086449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.08538628313394755	0.008217664126444542	0.0	0.0	0.01223885742956426	0.0	0.00690014138779764	0.0	-0.0984009419485492	0.0	0.028969819627618968	-0.06497603483900509	-0.24938270312343636	-0.005120242960790611	-0.13635146281430002
