	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000096718	-0.11732175201177597	-0.1371126025915146	-0.023660466074943542	-0.10023940354585648	0.04722433537244797	-0.02727167122066021	0.01885501854121685	-0.20702114701271057	-0.05341486632823944	-0.15484751760959625	0.030892107635736465	0.009756539016962051	-0.037478815764188766	-0.0858028307557106	0.013082614168524742	-0.31878626346588135	-0.11140640079975128	-0.2561471462249756	0.23279495537281036	-0.6351327300071716	-0.011429277248680592	-0.5177173614501953
ENSMUSG00000075079	-0.03168458119034767	-0.10512066632509232	0.007235993165522814	-0.020060395821928978	0.0006471797823905945	0.0029942968394607306	-0.011265887878835201	-0.08940360695123672	-0.02518511563539505	-0.039141252636909485	0.004046556539833546	0.011640897020697594	0.010772453621029854	0.008128861896693707	0.003520689671859145	-0.18163485825061798	-0.01396707072854042	0.008286083117127419	-0.06470806896686554	-0.0904601514339447	-0.0016703428700566292	-0.02229974791407585
ENSMUSG00000090619	-0.019719380885362625	0.00022937674657441676	-0.030546046793460846	0.0014850953593850136	0.026569372043013573	0.004001558758318424	-0.008219688199460506	0.0345795601606369	0.002848650561645627	0.015350009314715862	0.012609580531716347	0.014398126862943172	-0.008246549405157566	0.009282288141548634	0.002679870231077075	-0.2212211787700653	-0.02362976223230362	0.03384101018309593	-0.032403845340013504	-0.045133624225854874	0.010227730497717857	-0.07210517674684525
ENSMUSG00000052075	0.02108915150165558	0.034478865563869476	0.006681602448225021	0.034839291125535965	-0.005879855249077082	0.0017149127088487148	-0.007337802555412054	-0.09782766550779343	0.0069496906362473965	0.038802340626716614	-0.001070552272722125	0.010888771153986454	0.00605792086571455	0.018369315192103386	-0.0008806583355180919	-0.03814134746789932	0.025538505986332893	0.019586505368351936	-0.019650643691420555	-0.05479102209210396	-0.0067431628704071045	-0.03342505171895027
ENSMUSG00000107902	0.012973252683877945	0.01882174424827099	0.0014169561909511685	0.02247736230492592	-0.004095039330422878	0.0014448534930124879	-0.00920947827398777	-0.07267600297927856	0.00040365345194004476	0.009050115942955017	-0.00035253464011475444	0.010682289488613605	0.00682264706119895	0.020764052867889404	0.003175432328134775	-0.11275653541088104	0.003982077352702618	0.021014662459492683	-0.04288998246192932	-0.10214648395776749	-0.01002468541264534	-0.0818093940615654
ENSMUSG00000004565	0.015000744722783566	0.028102099895477295	-8.196745329769328e-05	0.02017846331000328	-0.014020676724612713	0.00043643935350701213	0.027126474305987358	0.16484034061431885	0.014680291526019573	0.013122541829943657	-0.012047937139868736	-0.018087338656187057	0.013817036524415016	0.006555702071636915	-0.041266292333602905	0.13372544944286346	0.0004167821607552469	0.04622949659824371	0.061302270740270615	0.36139240860939026	0.012484273873269558	0.250700443983078
ENSMUSG00000099899	-0.0007985495030879974	0.009723272174596786	0.00018847818137146533	-0.012354753911495209	-0.005806312430649996	0.002393565373495221	-0.011842074804008007	-0.07063623517751694	0.015247579663991928	0.03494039550423622	0.005684475414454937	0.008821005001664162	0.008582314476370811	0.013820584863424301	0.002441308693960309	-0.0821661502122879	0.01218433864414692	0.015814902260899544	-0.05069218575954437	-0.1664501428604126	-0.005199508275836706	-0.07333521544933319
ENSMUSG00000025140	-0.11732175201177597	-0.1371126025915146	-0.023660466074943542	-0.10023940354585648	0.04722433537244797	-0.02727167122066021	0.01885501854121685	-0.20702114701271057	-0.05341486632823944	-0.15484751760959625	0.030892107635736465	0.009756539016962051	-0.037478815764188766	-0.0858028307557106	0.013082614168524742	-0.31878626346588135	-0.11140640079975128	-0.2561471462249756	0.23279495537281036	-0.6351327300071716	-0.011429277248680592	-0.5177173614501953
ENSMUSG00000104669	0.024126190692186356	0.008713026531040668	0.013647292740643024	0.010344607755541801	-0.00843611266463995	0.0014056904474273324	-0.003993884194642305	-0.02240477129817009	0.0077143339440226555	0.03284614533185959	-0.01770235411822796	-0.00044829011312685907	0.0022056789603084326	0.011197366751730442	-0.03193429112434387	0.039971914142370224	0.027338894084095955	0.040566567331552505	0.04719812050461769	0.06388892978429794	0.0012818108079954982	-0.027424920350313187
ENSMUSG00000048497	0.01279703713953495	0.01962110586464405	0.007038448471575975	0.015001884661614895	-0.01815134845674038	0.001511137350462377	0.010251897387206554	0.22800679504871368	0.009336872026324272	0.010362297296524048	-0.012477314099669456	-0.036317020654678345	0.011457239277660847	0.00454030791297555	-0.03364647552371025	0.2611316442489624	0.005159873515367508	0.0626082718372345	0.06915833055973053	0.2760331928730011	-0.0019027008675038815	0.21178573369979858
ENSMUSG00000030739	0.018845494836568832	0.046237725764513016	0.007604528218507767	0.014094674959778786	-0.011480085551738739	-0.00017821844085119665	0.006185225211083889	0.04792717844247818	0.019786590710282326	0.03641016408801079	-0.01267263200134039	-0.014825067482888699	0.007461953908205032	0.011187512427568436	-0.03842455521225929	0.06914560496807098	0.013357787393033504	0.028033390641212463	0.03926297277212143	0.1101904809474945	0.014675792306661606	0.07203605771064758
ENSMUSG00000097819	0.03816260024905205	0.024226997047662735	0.006036845501512289	0.023185499012470245	-0.012393725104629993	-0.00010392020340077579	0.006174762733280659	-0.02058771811425686	0.03494418412446976	0.05022754147648811	-0.009226330555975437	0.01488858088850975	0.006539742927998304	0.009225554764270782	-0.016956984996795654	-0.04403643682599068	0.025948671624064445	0.025120913982391357	0.08517316728830338	-0.06416648626327515	0.007709577213972807	-0.02494354173541069
ENSMUSG00000114209	-0.0017777925822883844	0.009156751446425915	-0.0025553395971655846	0.004182306583970785	0.0015205952804535627	-0.001352805527858436	0.011629884131252766	0.04714452102780342	-0.010436518117785454	0.0037547193933278322	0.0012727847788482904	0.018524376675486565	0.012801546603441238	0.007206222042441368	-0.04461312294006348	-0.016870196908712387	0.0015652136644348502	0.0293903611600399	0.009057143703103065	0.05375746265053749	0.0028313901275396347	0.024370770901441574
ENSMUSG00000045381	-0.0007013458525761962	-0.0020104246214032173	0.009275270625948906	-0.013522335328161716	0.0029864537063986063	-0.0005453836638480425	-0.012258120812475681	-0.1057802140712738	0.018336694687604904	0.021673018112778664	-0.0031603833194822073	-0.004046222660690546	0.006719099823385477	-0.007247698958963156	0.005178306717425585	-0.026638448238372803	-0.02748844400048256	-0.014430604875087738	-0.036323435604572296	-0.11814310401678085	-0.008663800545036793	-0.07709567993879318
ENSMUSG00000033857	0.01640281267464161	0.012553399428725243	0.013463366776704788	0.013230434618890285	-0.007979157380759716	0.0007819843012839556	0.0028337151743471622	0.16134220361709595	0.002657214179635048	0.017448417842388153	-0.005608970299363136	-0.01157458033412695	0.007326577324420214	0.008966753259301186	-0.025157537311315536	0.21075838804244995	0.013857703655958176	0.03377900645136833	0.01839066483080387	0.18168866634368896	-0.0044538662768900394	0.13961529731750488
ENSMUSG00000030510	0.011789090931415558	-0.0045584626495838165	0.007201971020549536	0.01586807146668434	-0.0071257855743169785	0.001584546291269362	-0.004222432151436806	-0.018744822591543198	-0.0009809094481170177	0.004323911853134632	-0.006178035866469145	0.022079696878790855	0.0034928792156279087	0.009540624916553497	-0.00624297559261322	-0.00624701427295804	0.011320962570607662	0.05564097315073013	-0.0506354421377182	-0.15657973289489746	-0.006515151355415583	-0.054687462747097015
ENSMUSG00000073164	-0.007492689415812492	0.005266294348984957	-0.014055618084967136	0.01488558854907751	0.03762926906347275	0.0004549851000774652	0.0025283016730099916	0.22777216136455536	-0.0030310412403196096	0.005472574383020401	0.007669796235859394	-0.01924058236181736	-0.005073132924735546	0.023836039006710052	0.008303947746753693	0.33648377656936646	-0.003840415272861719	0.09325823932886124	-0.06431210041046143	0.025779850780963898	0.02189609222114086	0.17377232015132904
ENSMUSG00000051444	0.009254415519535542	0.018300510942935944	0.002746697748079896	0.025535862892866135	-0.014939102344214916	0.001763305626809597	0.004951090086251497	0.23240090906620026	-0.0009488409268669784	0.007974336855113506	-0.008647851645946503	-0.0278242826461792	0.009129857644438744	0.0035746849607676268	-0.010205648839473724	0.34019362926483154	0.0026805016677826643	0.05862942710518837	0.06633387506008148	0.3458426594734192	-0.0026478865183889866	0.23220312595367432
ENSMUSG00000117523	0.040280427783727646	-0.017486609518527985	0.011549975723028183	0.006568857003003359	-0.0031315204687416553	0.001182681880891323	-0.0003157815372105688	-0.05772905796766281	0.006687630899250507	0.03141326829791069	-0.009982761926949024	0.01072443276643753	0.004958829376846552	0.005488448776304722	-0.0034079221077263355	-0.0958603173494339	0.04035394266247749	0.02409563958644867	0.003855110378935933	-0.07420501112937927	-0.006448214873671532	-0.052799832075834274
ENSMUSG00000035868	-0.001643387251533568	0.005038154777139425	-0.0041352566331624985	0.010374077595770359	-0.016144858673214912	0.002658761339262128	-0.008715711534023285	0.18272808194160461	0.001933818799443543	0.009604199789464474	-0.012232278473675251	-0.020847881212830544	0.007431702222675085	0.009293820708990097	-0.0022099781781435013	0.31663957238197327	-0.0010339479194954038	0.037900760769844055	0.011913462541997433	0.16140003502368927	-0.000867663708049804	0.20950612425804138
ENSMUSG00000105434	0.03416235372424126	0.013015086762607098	0.015240310691297054	0.012422170490026474	-0.004255515523254871	-0.0005082502611912787	0.0005422683898359537	-0.03609118610620499	-0.01869843155145645	0.016783101484179497	-0.011689633131027222	0.01483079418540001	0.005368141923099756	0.013559810817241669	-0.011471698060631752	-0.03399528190493584	0.022069869562983513	0.04115498065948486	0.09187745302915573	0.12241509556770325	0.001260667690075934	0.013208831660449505
ENSMUSG00000016382	-0.010014367289841175	0.00198303977958858	-0.008214548230171204	0.005349854007363319	0.014021823182702065	-0.0011026740539819002	-4.6990997361717746e-05	0.22463670372962952	-0.009536917321383953	0.006676060147583485	0.00012586161028593779	-0.024862365797162056	-7.084837125148624e-05	0.0077481395564973354	0.0015828636242076755	0.3411341905593872	-0.004826217424124479	0.03847865015268326	0.01694546639919281	0.22234833240509033	0.005452646408230066	0.05152679607272148
ENSMUSG00000032735	0.011232554912567139	0.02155487984418869	0.017704421654343605	0.007168957032263279	-0.011566298082470894	0.00253222044557333	-0.0033005052246153355	0.17462363839149475	0.004920268431305885	0.011572340503334999	-0.012620759196579456	-0.03324870392680168	0.0020678744185715914	0.011786077171564102	-0.019991198554635048	0.25722846388816833	0.015343759208917618	0.05899261310696602	-0.04096221923828125	0.028364460915327072	0.0007115677581168711	0.1043371707201004
ENSMUSG00000036800	0.009457620792090893	0.0053943246603012085	0.003764358814805746	0.021073471754789352	-0.012492209672927856	0.002048641908913851	-0.004630011506378651	0.014617886394262314	-0.002070308430120349	0.03709415718913078	-0.0043437667191028595	0.003559779142960906	0.0035379582550376654	0.010457341559231281	-0.00229019857943058	-0.04338579624891281	0.013863853178918362	0.04635600745677948	-0.06918790191411972	-0.17535370588302612	-0.0067949919030070305	-0.004221648443490267
ENSMUSG00000110424	0.004411356523633003	0.017536168918013573	-0.0006664561224170029	0.050372086465358734	-0.012330426834523678	0.0026234311517328024	0.038492485880851746	0.27862387895584106	-0.0016250723274424672	0.0008542101131752133	-0.003121191868558526	-0.032018259167671204	0.02027490921318531	-0.0047067636623978615	-0.010356331244111061	0.3455582559108734	-0.003981658257544041	0.08838538080453873	0.04805685579776764	0.5867773294448853	0.0016345130279660225	0.3932667076587677
ENSMUSG00000072511	0.02995937317609787	0.04034717008471489	0.0030033516231924295	0.02374129369854927	-0.010843176394701004	-0.0012040414148941636	-0.0012467914493754506	-0.037562474608421326	0.02012496441602707	0.042243197560310364	-0.0095728300511837	0.009455262683331966	0.008269448764622211	0.010193035937845707	-0.0042069945484399796	-0.07830288261175156	0.028669971972703934	0.04076438024640083	0.04798971116542816	-0.07188770174980164	0.0025287792086601257	-0.01833542250096798
ENSMUSG00000051427	0.013796700164675713	0.019566413015127182	0.007393496576696634	0.013899414800107479	-0.007213739212602377	0.0011423483956605196	0.014259103685617447	0.2549772560596466	0.005186225287616253	0.008042626082897186	-0.0074591729789972305	-0.0369083471596241	0.012537146918475628	0.00045811079326085746	-0.02728145383298397	0.3278960883617401	0.005435790866613388	0.04475952312350273	0.018014926463365555	0.4347713887691498	-0.005371445789933205	0.31779852509498596
ENSMUSG00000071428	0.005751904100179672	-0.014541221782565117	0.00016922171926125884	-0.09920307993888855	-0.008873780257999897	-8.104845619527623e-05	-0.01589132472872734	-0.07175938785076141	0.012918529100716114	-0.00018561605247668922	-0.0001640877890167758	0.0093994140625	0.006082933396100998	0.0050696153193712234	0.0033492716029286385	-0.1536644846200943	-0.0023080571554601192	0.012886559590697289	0.021124856546521187	0.005427644122391939	-0.007650964893400669	-0.048118043690919876
ENSMUSG00000117923	0.014943393878638744	-0.02267804928123951	0.006997799500823021	0.015861965715885162	-0.006746766623109579	0.0033919373527169228	-0.0044754608534276485	-0.11657283455133438	-0.002267186064273119	-0.0023473654873669147	-0.0038594233337789774	0.0022266481537371874	0.003466277150437236	0.012738637626171112	0.00043888401705771685	0.009511865675449371	0.013844188302755356	0.03163212537765503	-0.04962201416492462	-0.11443120241165161	-0.005561792757362127	-0.05255402252078056
ENSMUSG00000104029	-0.010281529277563095	-0.006895733065903187	-0.0035028757993131876	0.006899009458720684	-0.0025381145533174276	0.0035320112947374582	-0.010266811586916447	-0.08401808887720108	0.012986228801310062	0.014649920165538788	0.0033420806284993887	0.009212651289999485	-0.010152935050427914	0.0013769470388069749	0.015704471617937088	-0.10543031990528107	-0.018505023792386055	0.027224300429224968	-0.04684378206729889	-0.1655973196029663	-0.011255518533289433	-0.07074761390686035
ENSMUSG00000029458	0.014038916677236557	0.015690745785832405	0.012831216678023338	0.0170328039675951	-0.015546035021543503	0.0017492243787273765	0.0021457711700350046	0.24716731905937195	0.0062279533594846725	0.010151347145438194	-0.014363155700266361	-0.0359499417245388	0.009138613007962704	0.007677106186747551	-0.020680418238043785	0.3317027986049652	0.009132311679422855	0.07045897096395493	0.0036566255148500204	0.15909163653850555	-0.0064637912437319756	0.2713809311389923
ENSMUSG00000112283	-0.006063127424567938	-0.0006495894631370902	-0.00036340393126010895	-0.0004108828434254974	0.0003470960655249655	0.002475330140441656	-0.006850212346762419	-0.0582645982503891	-0.013623915612697601	0.035952888429164886	-0.0020435478072613478	0.00811525247991085	0.00586760463193059	0.013311875984072685	0.0035306208301335573	-0.1084907278418541	0.0021025321912020445	-0.0007487909751944244	-0.04591244086623192	-0.18705862760543823	-0.010571040213108063	-0.08462999016046524
ENSMUSG00000070493	0.013151065446436405	0.019934741780161858	-0.007647997234016657	0.03133190795779228	-0.01455094013363123	0.0019201483810320497	0.0386882945895195	0.22345836460590363	0.011183124035596848	0.006903957575559616	-0.006050143390893936	-0.0324942022562027	0.012952040880918503	0.002352414419874549	-0.003312312299385667	0.2658812403678894	-0.003690320299938321	0.07210228592157364	0.07689165323972702	0.29222679138183594	0.01300402544438839	0.43871650099754333
ENSMUSG00000069793	0.014047481119632721	0.019319787621498108	0.007296316791325808	0.00747054535895586	-0.010443322360515594	0.0005307700484991074	0.00914544053375721	0.02869049459695816	0.01939195953309536	0.025596242398023605	-0.014990288764238358	-0.011102359741926193	0.010005696676671505	0.010318663902580738	-0.005782529711723328	0.05770082771778107	0.013654871843755245	0.03271668031811714	0.07305211573839188	0.14244435727596283	0.0003264196857344359	0.06203828379511833
ENSMUSG00000052299	0.00860717985779047	0.010249809361994267	0.008451689966022968	0.017382832244038582	-0.012712004594504833	0.0023242244496941566	0.0007463336223736405	0.23295974731445312	0.0038371768314391375	0.008761587552726269	-0.012284473516047001	-0.0272772666066885	0.012024123221635818	0.006119787227362394	-0.018567770719528198	0.2838149964809418	0.00442044623196125	0.05565526336431503	0.027283992618322372	0.32166969776153564	-0.003575584851205349	0.23158793151378632
ENSMUSG00000051367	0.013289809226989746	0.021291594952344894	-0.002207623329013586	0.022486448287963867	-0.012560137547552586	0.0006650237482972443	0.029923932626843452	0.1230839267373085	0.0007423068745993078	0.010431207716464996	-0.009522843174636364	-0.02805795893073082	0.019310204312205315	0.008947506546974182	-0.04219594597816467	0.16737693548202515	-0.005636006128042936	0.03628259524703026	0.0658053308725357	0.277070552110672	0.04836036264896393	0.14266984164714813
ENSMUSG00000085860	0.01167223323136568	0.02556999772787094	-0.006742522120475769	0.023495884612202644	-0.013165373355150223	0.000938582990784198	0.033829957246780396	0.1763903647661209	0.01285930909216404	0.008979287929832935	-0.0047239875420928	-0.024733498692512512	0.018339989706873894	0.004700922407209873	-0.03700767830014229	0.1854349970817566	-0.005573870148509741	0.03465377911925316	0.058301109820604324	0.5081300139427185	0.018777696415781975	0.27210044860839844
ENSMUSG00000112847	0.005236480385065079	0.022123325616121292	0.00044176584924571216	0.003098652930930257	-0.007999869994819164	-1.5954605260048993e-05	-0.004014497622847557	-0.06752000004053116	0.005891432985663414	0.0445215068757534	-0.0087720463052392	0.015393517911434174	0.01250449288636446	0.022869355976581573	-0.012197942472994328	-0.03036992996931076	-0.004612076096236706	0.020207898691296577	0.055383846163749695	-0.019397417083382607	0.0006827935576438904	-0.05217936635017395
ENSMUSG00000035238	0.006111671216785908	0.030189456418156624	0.00592826958745718	0.0017847632989287376	-0.013232966884970665	0.003716668812558055	-0.004102515988051891	0.07568535208702087	0.020048880949616432	0.015074040740728378	-0.01465308666229248	-0.0242998618632555	0.0044359988532960415	0.0074800848960876465	-0.03085154853761196	0.19658702611923218	0.014046702533960342	0.03728717193007469	-0.012779450044035912	-0.16894899308681488	-0.0015629710396751761	0.021214952692389488
ENSMUSG00000026473	0.01014165859669447	0.01885405369102955	-0.003775928867980838	0.03336573764681816	-0.012411334551870823	0.0016075889579951763	0.03587399423122406	0.26097485423088074	0.005025902763009071	0.006198180373758078	-0.006614109966903925	-0.03295924514532089	0.01470051147043705	0.0011453493498265743	-0.005539596080780029	0.31213319301605225	-0.004175287205725908	0.08061008155345917	0.055948857218027115	0.41302886605262756	0.0044279275462031364	0.3601934313774109
ENSMUSG00000040430	0.011481507681310177	0.017927778884768486	0.004724293947219849	0.013829630799591541	-0.014447332359850407	0.001089656027033925	0.011288702487945557	0.22748634219169617	0.010154057294130325	0.010139764286577702	-0.011791919358074665	-0.040134359151124954	0.011485733091831207	0.006518606096506119	-0.03992260619997978	0.25058844685554504	0.0013749402714893222	0.0587516650557518	0.06261342018842697	0.30908218026161194	0.0037084552459418774	0.1811976432800293
ENSMUSG00000086449	0.0026044577825814486	0.01109752431511879	0.007148763630539179	0.013512175530195236	-0.010743691585958004	0.0030081402510404587	-0.005008682608604431	-0.07814781367778778	0.008568119257688522	0.018426543101668358	-0.006251845974475145	0.010243740864098072	0.002443538047373295	0.010469517670571804	0.0011190124787390232	-0.06450514495372772	0.005550736095756292	0.04956376552581787	-0.056926339864730835	-0.207660973072052	-0.008340912871062756	-0.11812806874513626
ENSMUSG00000115509	0.018010050058364868	0.018028026446700096	0.01693691313266754	0.011634907685220242	-0.014580926857888699	0.0016813513357192278	-0.0017583353910595179	0.07274354249238968	0.007653110194951296	0.03109993226826191	-0.012673693709075451	-0.025838440284132957	0.0028248848393559456	0.009055971167981625	-0.020694945007562637	0.08485561609268188	0.02127321995794773	0.057438358664512634	-0.0076228417456150055	0.045953068882226944	-0.005730203818529844	0.08674900978803635
