	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000096718	-0.11542937159538269	-0.13419677317142487	-0.021857960149645805	-0.09833581745624542	0.04604605585336685	-0.027189118787646294	0.01752823032438755	-0.20392058789730072	-0.051115818321704865	-0.15169812738895416	0.028513092547655106	0.009654921479523182	-0.038751255720853806	-0.08396834135055542	0.012536175549030304	-0.3125273585319519	-0.1074332445859909	-0.2499261051416397	0.2326335459947586	-0.6262242794036865	-0.01171107031404972	-0.5132967233657837
ENSMUSG00000075079	-0.029743408784270287	-0.10101891309022903	0.007307622581720352	-0.016608940437436104	0.0005807879497297108	0.0032843700610101223	-0.012449280358850956	-0.08815521001815796	-0.024908769875764847	-0.033414047211408615	0.0036410572938621044	0.01210321206599474	0.011866667307913303	0.011145277880132198	0.004438356962054968	-0.1799057573080063	-0.013358713127672672	0.014771121554076672	-0.06301375478506088	-0.08384010940790176	-0.0008807852864265442	-0.019655050709843636
ENSMUSG00000090619	-0.01881346106529236	0.0027660548221319914	-0.028648285195231438	0.0037525969091802835	0.025806833058595657	0.004704222083091736	-0.009905104525387287	0.0372348427772522	0.002761519281193614	0.019375750795006752	0.011560095474123955	0.01412461418658495	-0.008411715738475323	0.011112448759377003	0.002773971064016223	-0.21379704773426056	-0.021909620612859726	0.041741594672203064	-0.02983296848833561	-0.04007946327328682	0.01065625436604023	-0.06858157366514206
ENSMUSG00000052075	0.023101497441530228	0.03711836412549019	0.0070352028124034405	0.03832755982875824	-0.006220121867954731	0.0018139234744012356	-0.008736428804695606	-0.09684708714485168	0.00663649570196867	0.043893001973629	-0.0012321812100708485	0.011242929846048355	0.006413226947188377	0.020674655213952065	0.0004863099311478436	-0.034994181245565414	0.027790259569883347	0.02572925016283989	-0.018687505275011063	-0.04626232758164406	-0.006696188356727362	-0.02982304058969021
ENSMUSG00000107902	0.01497900951653719	0.021998010575771332	0.001667904551140964	0.026041509583592415	-0.004341005347669125	0.001680126297287643	-0.01047532632946968	-0.07168911397457123	0.0002809763827826828	0.01449490711092949	-0.0003168346593156457	0.011229378171265125	0.0072944690473377705	0.023297693580389023	0.004067183472216129	-0.11079464852809906	0.00601219991222024	0.027518754824995995	-0.04170813038945198	-0.09436263144016266	-0.00951305776834488	-0.07877784967422485
ENSMUSG00000004565	0.016308993101119995	0.03087577037513256	0.00016668502939864993	0.02204923704266548	-0.014661469496786594	0.00036104844184592366	0.026332583278417587	0.16934137046337128	0.014939147047698498	0.01552733313292265	-0.013056853786110878	-0.01948011852800846	0.01497908029705286	0.00745684839785099	-0.041006460785865784	0.1432628333568573	0.000560902408324182	0.051353901624679565	0.061508893966674805	0.37075304985046387	0.012729117646813393	0.2558196783065796
ENSMUSG00000099899	0.0010923146037384868	0.012969733215868473	0.0005701824557036161	-0.009158500470221043	-0.006096554454416037	0.0026748620439320803	-0.012964812107384205	-0.06952215731143951	0.014786717481911182	0.039952706545591354	0.00522965844720602	0.009115316905081272	0.009179141372442245	0.015992792323231697	0.0030520809814333916	-0.07943612337112427	0.014174709096550941	0.02230672352015972	-0.04920603334903717	-0.157520592212677	-0.005040439311414957	-0.07007604092359543
ENSMUSG00000025140	-0.11542937159538269	-0.13419677317142487	-0.021857960149645805	-0.09833581745624542	0.04604605585336685	-0.027189118787646294	0.01752823032438755	-0.20392058789730072	-0.051115818321704865	-0.15169812738895416	0.028513092547655106	0.009654921479523182	-0.038751255720853806	-0.08396834135055542	0.012536175549030304	-0.3125273585319519	-0.1074332445859909	-0.2499261051416397	0.2326335459947586	-0.6262242794036865	-0.01171107031404972	-0.5132967233657837
ENSMUSG00000104669	0.026045970618724823	0.012082565575838089	0.014258075505495071	0.012020346708595753	-0.00905897282063961	0.0014053565682843328	-0.005451418925076723	-0.01953178085386753	0.008151818066835403	0.03701208904385567	-0.01803096942603588	-0.001187869580462575	0.0027658448088914156	0.01260293647646904	-0.030820293352007866	0.045909348875284195	0.02954162284731865	0.04605257138609886	0.047159891575574875	0.07308298349380493	0.0011829520808532834	-0.02357659488916397
ENSMUSG00000048497	0.013980704359710217	0.02198530174791813	0.007665421348065138	0.01643941178917885	-0.01891983300447464	0.0014978375984355807	0.009216997772455215	0.23244249820709229	0.009421195834875107	0.012312846258282661	-0.013417351059615612	-0.03759930282831192	0.012424658983945847	0.005539959296584129	-0.03345893695950508	0.2718008756637573	0.00557583337649703	0.06793520599603653	0.06885897368192673	0.2859783470630646	-0.002136239781975746	0.2172774076461792
