	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000096718	-0.393321903527283	-0.1143611372175859	-0.16736056634550378	0.0	0.0	0.0	-0.24705480160387214	0.0	0.0	0.0	0.0	0.0	-0.18534832432490977	0.0	-0.13868814568083382	0.0	-0.2376782317701703	0.0	-0.810241429572122	0.0	-0.5139130390810142	-0.3276749840706774
ENSMUSG00000075079	-0.06848681362721985	-0.029664651105492358	-0.012689331977193791	0.0	0.0	0.0	-0.07488127897713988	-0.04466243822010216	-0.04362799315974604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.03941323457224142	0.0	-0.16640052786833376	-0.039530897439755956	0.0	-0.007272852091626647
ENSMUSG00000090619	-0.08724680496176566	0.0	-0.07814776784647737	0.0	0.0	0.0	-0.1332229640933895	0.0	-0.04282277520157573	0.0	0.0	0.0	-0.0432147920956522	0.0	-0.04236253113398525	0.0	-0.0899355387385267	0.0	-0.44096763948163176	0.0	-0.09563822481344472	-0.023865403298898302
ENSMUSG00000052075	0.03618410765228168	0.007382663083050418	0.01471689494549497	0.0	0.0	0.0	0.0	0.0	0.01835227952986654	0.0	0.006101000263777578	0.0	0.0108350205318112	0.0	0.027535457908235056	0.0	0.04066191832187962	0.0	0.019605686094599315	0.0	0.013280098359931991	0.0
ENSMUSG00000107902	0.023952022815283327	0.0	0.0	0.0	0.0	0.0	-0.05150901644658877	0.0	0.0	0.0	0.011441620521476016	0.0	0.01575077440799078	0.017195297449742478	0.0	0.028329865012739548	0.0	0.01015034926735972	-0.05147296029083514	-0.06131804535639216	0.0	-0.04877258252657651
ENSMUSG00000004565	0.057479498359675245	0.0	0.0	0.0	0.0	0.0	0.15094772047053184	0.0	0.030712033502143164	0.0	0.0	0.0	0.03984224038855111	0.0	0.01961504504271061	0.0	0.030679623294429418	0.0	0.33856578533360415	0.03776171620866362	0.11581373753568633	0.1665380758202698
ENSMUSG00000099899	0.0	0.0	0.0	0.0	0.0	0.0	-0.0624567223245295	0.0	0.045047973043053614	0.0	0.01750973089110819	0.0	0.02313120552529912	0.0	0.0	0.02034316530379378	0.021681571833177232	0.0	-0.08673967323520672	-0.07388430626545804	0.026182369818757278	-0.03974152627487338
ENSMUSG00000025140	-0.38787743587575807	0.0	-0.18348571301771122	0.0	0.0	0.0	-0.22297959266625783	0.0	0.0	0.0	0.0	0.0	-0.164157942544118	0.0	-0.15639679917406174	0.0	-0.21748701260639375	-0.13463751857152317	-0.8369268971498478	0.0	-0.5164965549527646	-0.3151970966355358
ENSMUSG00000104669	0.05844123529507502	0.0	0.03428210459140639	0.0	0.0	0.0	0.10235363850592205	0.0	0.0034366059638882202	0.0026681988620836927	0.0	0.0	0.015411397552970016	0.0	0.015088173841259002	0.0	0.0593302760716438	0.0	0.23773508434398027	0.0	0.06289419956100191	0.0
ENSMUSG00000048497	0.04616658275846082	0.0	0.03245234294733773	0.0	0.0	0.0	0.07365346548754709	0.03862913593265949	0.028002146473270817	0.0	0.0	0.0	0.03770999779903388	0.0	0.0	0.0	0.031246376166242547	0.0	0.4342295683387769	0.0	0.09236702978885604	0.13831253952311326
ENSMUSG00000030739	0.05415400660592935	0.026200463052230696	0.029514209093909345	0.0	0.0	0.0	0.1361023284067531	0.0	0.030133852174887836	0.0	0.0	0.0	0.02519913977279088	0.0	0.0	0.0	0.040731970706893585	0.0	0.18393623264435577	0.0	0.11027094243915972	0.022409722092527784
ENSMUSG00000097819	0.08299291824465345	0.0	0.03619780902857746	0.0	0.0	0.0	0.0778510128518364	0.031006689681522252	0.06696314539535844	0.0	0.0	0.0	0.0	0.0	0.032457807440598244	0.03386567218569325	0.05090704519988639	0.0	0.39048622450364623	0.0	0.09089570811470932	0.0
ENSMUSG00000114209	0.0	0.0	0.0	0.0	0.01812633305556272	0.0	0.13385368005635617	0.0	0.0	0.0	0.008123495547634604	0.03116146556115286	0.026857011180657572	0.006101889825350231	0.009944532556214726	0.0	0.0	0.0	0.10837524022481024	-0.030372372257279123	0.062468409314158015	0.0
ENSMUSG00000045381	0.0	0.0	0.03361453684954112	0.0	0.02335941972407901	0.0	-0.05754131597800211	0.0	0.05791128297047604	0.0	0.0	0.0	0.020047169677150534	0.0	-0.016435532392703872	0.0	-0.08813671252790818	0.0	-0.033577450229736586	-0.05519181275181546	0.0	-0.04570242342213818
ENSMUSG00000033857	0.07018974891147274	0.0	0.03723833170043665	0.0	0.0	0.0	0.050723377222023545	0.0	0.0	0.0	0.0	0.0	0.023457921270389977	0.0	0.03118746598609461	0.0	0.05346373166467757	0.0	0.12348077644747664	0.021864511936008357	0.05783320924473236	0.07739622406555245
ENSMUSG00000030510	0.031685827099993465	0.0	0.018165225558329945	0.0	0.0	0.0	0.0	0.0	0.010237673269043474	0.0	0.0	0.0334187161763199	0.0	0.0	0.021237403556523766	0.0	0.01827521474957542	0.010598206950608244	-0.09985958255456924	-0.052895325673403645	0.0	-0.03194011355335323
ENSMUSG00000073164	-0.05684765212243477	0.0	-0.020698779706866184	0.0	0.1004703960896041	0.0	0.0	0.0	-0.025498308026032774	0.0	0.0	0.0	-0.020352545790122075	0.0	0.0	0.0	-0.022892375607159225	0.0	-0.4974551458084773	-0.016554756797456993	-0.050025094434363884	0.0898236098293438
ENSMUSG00000051444	0.03844771318189327	0.009220361981697492	0.0	0.0	0.0	0.0	0.027616928594535562	0.057528831976871496	0.0	0.0	0.0	0.0	0.0	0.0	0.016103935108026057	0.0	0.01670607187879858	0.007120069151550612	0.443042437218576	0.0	0.039814417829753534	0.14642511261045982
ENSMUSG00000117523	0.07149876154522139	0.0	0.04638713596649608	0.0	0.0	0.0	0.026664418828847257	0.0	0.013346350456885037	0.0	0.0	0.0	0.020484862017485467	0.0	0.04484796902651772	0.021097506998059533	0.06542628049367875	0.0	0.0961572666353792	0.0	0.04210796424419516	0.0
ENSMUSG00000035868	0.0	0.0	-0.023188729628990483	0.0	-0.021937891549700744	0.0	-0.023367633225205874	0.028065275087520387	0.018904582993420415	0.0	0.0	0.0	0.010472015832413889	0.0	0.0	0.009670001599355682	0.0	0.0	0.1021449924079673	0.0	0.02092524838520495	0.12534530832131435
ENSMUSG00000105434	0.08470379921460913	0.0	0.04433091177375028	0.0	0.0	0.0	0.03466489209197706	0.0173389229846741	0.0	0.0	0.0	0.01725327052541752	0.0	0.0	0.0272804323926486	0.0	0.04412354290599751	0.0	0.4324118333886049	0.02608037409430432	0.07806959152065279	0.0
