	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000096718	-0.14528309663482933	-0.12003968809993631	0.0	-0.12134311671677715	0.0	0.0	0.0	-0.1798955236255442	0.0	-0.12566645777111088	0.0	0.0	0.0	-0.08455795003656963	0.0	-0.27657517017569144	0.0	-0.2318984823015412	0.0	-0.6295850036401929	0.0	-0.5355116734597395
ENSMUSG00000075079	-0.03296055411427345	-0.09148932230640909	0.0	-0.017810216377496912	0.0	0.0	0.0	-0.10135443354201125	-0.021027144759176303	-0.04211166354594131	0.0	0.0	0.0	0.0	0.0	-0.19266022024516463	-0.01941559609494576	0.0	-0.06291533774259776	-0.06575570525857417	0.0	0.0
ENSMUSG00000090619	-0.020946265604886587	0.0	-0.0335674939738463	0.0	0.029108236036013577	0.0	0.0	0.03317823718755614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1934663138151295	-0.025254894062633787	0.021089577335763332	-0.04996076073993986	-0.010762980187217492	0.0	-0.050711824797524147
ENSMUSG00000052075	0.01618342403962525	0.028606983127805196	0.0	0.030105527569429455	0.0	0.0	0.0	-0.08095577666364284	0.0	0.0256561967597957	0.0	0.0	0.0	0.013965993035299842	0.0	-0.0498993107659813	0.019158888190464355	0.0	0.0	-0.03042740005690774	0.0	-0.021316832402639194
ENSMUSG00000107902	0.009495348236145784	0.013894724372351442	0.0	0.017337067255196716	0.0	0.0	0.0	-0.06800966112302083	0.0	0.0	0.0	0.0	0.0	0.018303272243176225	0.0	-0.11626539519631833	0.0	0.010254239187001035	-0.04471742286739051	-0.0824956608160346	0.0	-0.06889893821074217
ENSMUSG00000004565	0.0	0.023400811427703182	0.0	0.023774885234661758	0.0	0.0	0.02552756167774047	0.13617414915754447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10115332761371881	0.0	0.04750685015549873	0.05644426606395696	0.397082502119399	0.017472039745619106	0.24789913612231546
ENSMUSG00000099899	0.0	0.0	0.0	-0.015724151900653037	0.0	0.0	0.0	-0.05833395217750013	0.01325004280274652	0.026940064025904313	0.011256268607882869	0.0	0.0	0.011678970677497727	0.0	-0.08742486361759011	0.0	0.0	-0.0511279089938969	-0.1500587075624909	0.0	-0.05806614337900868
ENSMUSG00000025140	-0.13027572569463164	-0.13837937085816804	0.0	-0.10896661883054866	0.0	0.0	0.0	-0.17753336610375411	0.0	-0.13637216908648833	0.0	0.0	0.0	-0.07406177813629133	0.0	-0.27534524927437437	0.0	-0.25940047351195467	0.0	-0.6315150720126749	0.0	-0.5185063389530465
ENSMUSG00000104669	0.018291527361460252	0.0	0.009633391088786464	0.0	0.0	0.0	0.0	-0.035533999717132614	0.0	0.017277692228180676	0.0	0.0	0.0	0.00862289332854552	0.0	0.019308481302996457	0.016768045609118674	0.0347557507086446	0.03763621921371533	0.0851704905284753	0.0	0.0
ENSMUSG00000048497	0.016075783968402476	0.017235506709217228	0.0	0.012040619184493062	0.0	0.0	0.0	0.1958353108099054	0.0	0.0	0.0	0.0	0.0	0.01236584962495185	0.0	0.2122466256498287	0.0	0.05934429625722759	0.0667759033348441	0.30477916911193087	0.0	0.2084368163824444
ENSMUSG00000030739	0.02117524468473222	0.04207971314665235	0.0	0.0	0.0	0.0	0.0	0.0320154072091547	0.0	0.028677273090822207	0.0	0.0	0.0	0.01847423286463018	0.0	0.05451487118190844	0.0	0.027665824425798943	0.03389869617629136	0.1354367928215736	0.0	0.08275301969037163
ENSMUSG00000097819	0.031320508372237654	0.020622398951063558	0.0	0.017959919984192073	0.0	0.0	0.0	0.0	0.023774571951322807	0.03722231938839594	0.0	0.0	0.0	0.0	0.0	-0.04675309579877873	0.017627472594262065	0.01820401970574915	0.08175228629191093	-0.04475227792778544	0.0	0.0
ENSMUSG00000114209	0.0	0.0	0.0	0.0	0.008022948911695004	0.0	0.00729567922018487	0.03387483461541877	0.0	0.0	0.0	0.023308889585147624	0.0	0.009175511840558323	-0.027938577035405778	-0.0382272232052434	0.0	0.023530673126728942	0.0	0.08063739722652992	0.0	0.032708677448410384
ENSMUSG00000045381	0.0	0.0	0.0	-0.014016762788347603	0.0	0.0	-0.007138858447683194	-0.08721678500883426	0.0	0.0	0.0	0.0	0.0	-0.01088884747703795	0.0	-0.04012626862836226	-0.02868757503235501	-0.021835111965768848	-0.03528002106841607	-0.09563981215398973	0.0	-0.06122805899712517
ENSMUSG00000033857	0.024355942973416887	0.0	0.0	0.0174835863067549	0.0	0.0	0.0	0.13660860990254825	0.0	0.01919709676711733	0.0	0.0	0.0	0.015589499198410794	0.0	0.1651917850778884	0.0	0.0335426916013984	0.017036058896423133	0.21525992394926902	0.0	0.14788586217941546
ENSMUSG00000030510	0.010823016775779126	-0.008761213498618485	0.0	0.01286905645335196	0.0	0.0	0.0	-0.020492086607940007	0.0	0.0	0.0	0.02517282243483296	0.0	0.0	0.0	-0.02476640307253321	0.0	0.042525295209642926	-0.052248553012855706	-0.1351322014609034	0.0	-0.03803670207154368
ENSMUSG00000073164	0.0	0.0	0.0	0.009439627661602223	0.030554207300585154	0.0	0.0	0.17951114440637017	0.0	0.0	0.0	0.0	0.0	0.029474528695709226	0.014273443609048591	0.29069459142771265	0.0	0.07129241692259991	0.0	0.04832200442297686	0.024697352764263117	0.16153287867223132
ENSMUSG00000051444	0.012939753874497154	0.020739102380365432	0.0	0.03162946397686826	0.0	0.0	0.0	0.19656109354023438	0.0	0.01278072497622107	0.0	0.0	0.0	0.0	0.0	0.2811113855859627	0.0	0.05889574941415118	0.06592883359670937	0.38215686154680373	0.0	0.22538656257783393
ENSMUSG00000117523	0.035688227451030355	-0.020592980913344505	0.012533578135385331	0.0	0.0	0.0	0.0	-0.04961786707374886	0.0	0.02074813532303372	0.0	0.0	0.0	0.0	0.0	-0.0993465846159273	0.032731688658109735	0.016349286464114477	0.0	-0.051738775140390214	0.0	-0.03913402882362059
