	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000023892	0.030859855706421514	-4.19485259564161e-05	0.01144481092854091	0.005401204957758767	-0.012982575975183864	-0.005240747256175382	0.09796614415920755	0.08198142186090211	0.006691365922103744	0.006073488803849614	0.01396828221373393	-0.032935926937976284	0.01886018681360448	-0.0009188356039625692	0.008092114674582263	0.0028290930627723095	0.009984312584986452	0.0014985674126884467	0.11008439955658104	0.03381469144489009	0.0704507775838595	0.10252294718684425
ENSMUSG00000058925	0.047449691571325406	0.003947431972119375	0.02400009393084994	-0.0011943687057542514	-0.003805953118847226	-0.004564710518388892	0.015263723472240339	-0.010434213028487908	0.021492805609029476	0.008690205707015203	0.012346450302512885	0.0027621328918550196	0.021310648049906636	0.004812498241725345	0.01746580653091639	0.004416471575989687	0.023723808394398863	0.00502453764004583	-0.15525092328240525	-0.012036914857760296	0.04172610034294329	-0.027802168348508922
ENSMUSG00000025140	-0.7326560151316374	-0.6772771861017386	-0.4829538507975875	0.005137916898456751	-0.14698362556869793	0.029366883118567395	-0.6247365205171783	-0.007019892321198183	-0.06440863247910004	0.0031596947577781976	-0.2527226033572723	0.004901939471138966	-0.23152473349802158	-0.006153822111965772	0.0064442096017566135	0.0031282141616559653	-0.2679660602736476	-0.009541908430596128	-0.9600949205064483	0.005191926628465029	-1.110321269567794	-0.01830572182537123
ENSMUSG00000120728	0.09694005251993595	-0.0014726525187273053	0.023927476863939645	0.012936629123734228	-0.004720522253254395	-0.006558783407698294	0.2170290084323694	0.06555232221408006	0.033607451382288545	0.002818451019655705	0.01778377734478584	-0.03952954228092754	0.06439579058634146	-0.01872074172442808	0.029012590390863936	-0.014092379676523187	0.03674507221571081	0.001558280303834181	0.3734120525680997	0.011923003265240237	0.1127514120745088	0.12452934422598869
ENSMUSG00000000693	0.07508330823493452	0.010352408633713952	0.034704058430855056	0.0024133524028002286	0.004653067606549095	-0.0036084431345183737	0.160729674045563	0.019266601427508637	0.04772438852196501	0.005807394978780524	0.010747760420963459	-0.016143788373821216	0.028284221461685126	-0.002226996570373428	0.015246198611280955	-0.01262817019258234	0.0572325764704926	0.005361880388227292	0.032892399489823476	0.047512885550492816	0.09118920871585162	0.0625877685058965
ENSMUSG00000018559	0.08633422197152478	-0.000984833715743402	0.022471337684042476	0.008577506888052864	-0.005223516199475853	-0.011328559564078335	0.1948536366947987	0.08204872266928111	0.03722404440889347	-0.00046176198085439476	0.01712304767146894	-0.020090511239037108	0.021049049227514972	-0.004293274978486547	0.007371125726708019	-0.001333657260459274	0.04568834806946792	0.006568253542874507	0.1833651844497711	-0.001080772589973224	0.08899155901560464	0.17920110934346667
ENSMUSG00000028865	0.03620430801888038	0.021854921780842623	0.016761323444227726	0.0027666017059735687	0.0213486701716777	-0.0065200234948341465	0.14629569527730513	-0.03443624803562021	0.08514367202868535	0.004659072731218268	0.0215101670994045	0.0048231245431712266	0.024231627510120493	-0.0019833416016418986	0.0169806277576624	-0.015673762634521284	0.057019888948343575	0.009996430353671064	-0.021748589661826502	0.03933985176081478	0.11412067805192366	-0.0013436261212128946
ENSMUSG00000032584	0.10033056738923603	0.005484239783670221	0.03116141361893564	0.0029091932110791928	-0.01006593697722045	-0.003925061702518308	0.10534399175880285	-0.016741933195888643	0.052029750499787045	0.0040871901807154895	0.004375923125319657	-0.009126468023272797	0.02325589324836983	0.006704029058554235	0.015920591495185883	-0.02117708658666483	0.06947151276576083	0.004312417678063086	0.09273507385387347	0.03447469979733536	0.06721532226038107	-0.025600933677365642
ENSMUSG00000121762	0.0916081501100312	0.016573121131191977	0.02972145108467105	-0.00015118008476357707	0.013260430213735422	-0.0037904376496823845	0.12211789842346792	0.004939326169161567	0.0480749884825335	-0.0030224125623915044	0.008456186798243184	-0.0037249097007069007	0.02412493261687944	0.005590548624500765	0.025911398338212165	0.0015491789837272206	0.04078497542146319	0.0051821320564028744	0.09417263942699979	-0.0207903251796649	0.10823588271502688	-0.025145824209279712
ENSMUSG00000003545	0.08611740105696819	0.011547338727684422	0.02923367410077325	0.01007129247749877	-0.003323087863438039	-0.003915587856239914	0.2275093680007298	0.04438392112133442	0.044317781161017984	0.00964108848423036	0.019197125347402887	-0.022537210325988002	0.05370234605484906	-0.02421366554564364	0.015114405583296632	-0.013349277913844812	0.06615103651169453	-0.0005860370829135977	0.45954971875995787	0.04956132055140513	0.167007569792174	0.12086023069988576
