	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000094172	-0.012493428804964424	-0.07138023155089936	-0.0023548098429793233	-0.019113938319268137	0.01652838640554494	-0.0008723155029136771	-0.02416340623917027	-0.09190003625305637	-0.009166303100235902	-0.010201115557187482	0.006732420032338788	0.007267910943666526	-7.489324966302645e-05	-0.027075827158653608	0.005840704398490613	-0.007139968939035108	0.001053775149141854	-0.017811303130864483	-0.01194292227814263	-0.12397786792394722	-0.0009392617728524653	-0.2262681087392983
ENSMUSG00000037169	0.01640915116965646	0.05501632803396725	0.006598054217062911	0.01910862475103516	0.003349716674555176	0.013587446132441982	0.02767484059437655	0.1464268417122964	0.00785068196048217	0.02449127740438988	-0.007255183619534884	-0.0035907048944734143	0.020070444832916628	0.016441800820328874	-0.015997522499726205	0.06173807499758368	-0.001791815865479813	0.03558848071327572	0.03920565672147599	0.5112550030755171	0.016683275584000512	0.6589609363927204
ENSMUSG00000017817	0.01719412999487174	0.0524538948002763	-0.001997734384674134	0.05568826581100958	-0.0061095489594923235	0.008646947927601494	0.007907927096597892	0.04242968783161944	0.016415371411234708	0.03769569131245589	-0.004295279288999154	-0.0036676667052753537	-0.00083454422869441	-0.001769232775015033	0.0010155949160321142	0.02806027918946451	0.01796595249797974	0.056846063262413996	0.01032390205543509	-0.08972959817297774	0.00419879178041031	-0.0578081987206003
ENSMUSG00000038766	0.01942653155386519	0.047298631839242135	0.0032165703929942016	0.07714399145990163	-0.004530096100994082	0.0131299013487608	0.013053659038509328	0.09829445369919736	0.008533219633844576	0.02352557659296508	0.00017735470762220628	-0.014453158903208013	0.0038720194997949875	0.019632318895563522	0.0020216038853115084	0.13358658021509526	0.0002818011103045137	0.08837038033537803	0.034297422766134594	0.636270609268461	0.003679871057600589	0.8424685575958782
ENSMUSG00000046020	0.023314678346975728	0.04965509116731742	0.007665268191600003	0.02986807205162612	-0.0021521323244996894	0.008279812745227641	0.005008226092227883	0.11412581323676411	0.006333142600786752	0.01792150775767628	0.0011787101122146331	-0.0083092865161104	-0.0007085234887719187	0.01262186744756296	0.0013908349221310346	0.24583230610566845	0.004213746540192785	0.05055258178704857	0.011209287003969491	0.21028796100176805	-0.0010622320914730414	0.5708879129006683
ENSMUSG00000000751	0.012304894068038915	0.049646452970799664	0.0038520980213304157	0.026904275329486284	-0.0031132875471355094	0.009024581403770883	0.011117740949274386	0.10623778784183742	0.010396082267763111	0.020047073335224142	-0.0008924770995950635	-0.007716521345693244	0.004273482573236314	0.022018866983132414	-0.0013888354938249644	0.16108308899213494	0.005634030888852846	0.0677032542795262	0.025201712482027818	0.38515241488871654	0.005116436690947726	0.6566839062266548
ENSMUSG00000073274	-0.0103929025601961	-0.023522130068613478	-0.0029388553566734896	-0.00293419448041407	0.0029629624496660006	-0.004891519702401378	-0.013761412056724761	-0.060260592950518395	-0.017064453850655678	-0.0038737401451336543	-0.0016102447988487257	0.0017068730763899762	-0.0035811139931898393	0.003303117828331129	0.0005861762693322297	-0.0454458157967695	-0.0023845941459772545	-0.05218131575116526	-0.024775275807418697	-0.09526744964123282	-0.0013124709144709153	-0.17497878926767174
ENSMUSG00000044177	0.04484827378513663	0.026218458433465586	0.006717531997063426	0.017820083114539947	-0.009380104460771171	0.004871228904552741	0.015369350135961213	0.06672433198928047	0.005498149128834484	0.026250068794109082	-0.004164408670775239	0.0014537883222276702	-0.0013221711512674769	0.03710804445989717	0.0024110248488016495	0.08037342266766895	0.01098766611728154	0.040614773223933295	-0.006486542618391208	0.021960787694946964	0.00731530614365121	-0.05418323345599804
ENSMUSG00000015176	0.025725438767988506	0.04412747783523758	0.004669689708862279	0.032621500520378634	-0.0029014328070323765	0.01421667198301293	0.02234414153567741	0.10014995951879817	0.021304397370704463	0.01714767097139754	0.000428514028733064	-0.00954412701608557	-0.0001256003128219163	0.01460268829810697	0.00015836423446151976	0.043425473851649646	0.00229756431473496	0.06141174289466887	0.05245459095366251	0.546173296726907	0.020453685056898912	0.685889384192108
ENSMUSG00000030340	0.02188696053457144	0.057636947607703146	-0.0009489663065063984	0.02750619348415577	-0.00919422979794555	0.007715287368773716	0.0026536036687632857	0.034813200859259395	0.005406692972116746	0.0226707977319815	-0.009403115977693232	-0.005050870535420212	-0.0012607587539605447	0.009464628654729626	-0.009935010838047934	0.022027785690157283	0.012694946441869043	0.04075319711381391	0.050723592791993205	-0.0003146240982459858	-0.0011411650667550281	0.07442233394889887
