	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000073557	0.016490361317206798	0.032687351023618506	0.000489563188901749	0.025239229976705246	-0.0023346721139854967	0.0073485923202237504	0.007692400948112014	0.15226319951950376	0.00473558175657932	0.0200658429383241	0.0003358271927676729	-0.014093309742591893	0.0028429347798009986	0.02820618732622669	0.0014785367261148557	0.26317706012822395	0.003982603041263896	0.04358448893894352	-0.005681417581256808	0.17070077472994205	-0.0031474211343070885	0.49787196222667784
ENSMUSG00000052299	0.014035500802840164	0.030758413459677416	0.004486422295108891	0.019989377348883862	-0.003775364937428094	0.01597257448081239	0.010991036153810845	0.13612328459547435	0.0056282898730517315	0.012559318165507908	-0.0011815590946558326	-0.011360908110301743	0.000905494395088421	0.030030025278080887	0.0007896025075232111	0.11682776073789032	0.004675539382437169	0.03651266869925556	0.013692827245111922	0.294838805720175	0.0028318281310654517	0.5133925391470257
ENSMUSG00000106461	0.007770790666768335	0.025747942442493305	0.00607174999313429	0.0277267849556925	0.0005958220716040939	0.0032844550107516365	0.0021332402040310887	-0.04725206069524575	0.005421517911534985	0.03993542827073335	0.0008071725160334609	0.009191987565048163	0.002428762544877827	-0.0011854675008830132	0.0014510436307708524	0.001066598748132362	0.009296947755683505	0.006722893507100837	-0.02549923058247389	-0.15652469416283046	-0.004001007787727369	-0.1432770244589197
ENSMUSG00000071456	0.016171718174202203	0.028673632066472367	0.0017864730825619647	0.045978751577630254	-0.0023412398438137773	0.014286807994332256	0.02068024813727009	0.14149946135672248	0.009059224388420262	0.018472966615692192	-0.0021737757108439837	-0.008241263953381608	0.0015962395984258494	0.023175250403931258	-0.0009305201797620352	0.1255667463172618	0.0028770131764109205	0.08270517200263125	0.029986513630384643	0.5428819359823397	0.005195777657788118	0.7610108352985403
ENSMUSG00000063019	0.014469137265546448	0.04808165165911435	0.0034002045211569305	0.029416937118445015	0.005509457922913238	0.008886348134482042	0.01616267412357177	0.10256407974280332	0.007173020299186257	0.014537563391370766	-0.0022346125182463893	-0.014901919411561592	0.002955873647078988	0.00695456873702694	-0.012561477769967105	0.12737717889814512	0.0031663342594323955	0.07180095471552314	0.0367543651529039	0.4769732552245906	0.010490174266785094	0.6888762148288801
ENSMUSG00000027864	0.019117876641559763	0.04191357144737334	0.005021157851193233	0.02847342882166361	-0.0037259220643396213	0.00844716691125151	0.011179009037433778	0.15572173142847012	0.014731182223463942	0.016199071947838612	-0.0007837079312853997	-0.006771737619523524	0.003551107828375929	0.008638028073593366	-0.011270620290166075	0.14840910603852536	0.00043105930669428615	0.04269390006728437	0.018119076632267805	0.17719197100964915	0.0038403363592010463	0.47210106658892204
ENSMUSG00000050106	0.006723252046003836	0.040512124968634974	0.016285084783560576	0.0061457015291125575	-0.005048180628468149	0.010947643132489507	0.0015930690983233424	0.09609031904111752	0.020290976054405163	0.01280104340133091	-0.021568640240963888	-0.007185701714245494	0.002421501543748101	0.02480676536157002	-0.03208895735645326	0.008003341282060969	0.007817429703404091	0.022065877793647815	0.05927149685269666	0.31721559473560645	0.01574176259442278	0.27838885737868885
ENSMUSG00000032898	0.019842561447873257	0.04201144648513296	0.009417901685174002	0.02489723672787087	-0.003950208295581043	0.008920224710839518	0.016891992128915134	0.11998302113597674	0.007654656191438594	0.016744646044000028	0.0027317788768738993	-0.009409677436867372	-0.00015897322895658101	0.0010214928475436734	-1.93314170636378e-05	0.16955183275944624	0.006220401643830493	0.03880178660635595	0.01488979883693641	0.14555178737968422	0.0002914786938552944	0.5041876730737256
ENSMUSG00000116922	0.061586869419589414	0.12048877120061141	0.014284916757541006	0.02635900874221469	-0.003278454303939985	0.007458233350306338	-0.005418390437275125	-0.048569800955283425	-0.0017972601163689563	0.023871462268782905	0.005308189188482564	0.0014349293120436155	0.001214774588009147	0.022852531005414026	-0.0034038349899284575	0.017145621861631558	0.00534400057257309	0.036951113038360614	-0.010967222812515892	0.3217098714745329	0.0077042925645011045	-0.03526770907865284
ENSMUSG00000117905	0.015405790969550383	0.05878688246908886	0.003152736439200713	0.03290783631913915	-0.005750601563236809	0.006122014512610414	0.00802123609375615	-0.0059415518461589404	0.007098950137112427	0.018960174301108575	-0.013783323065269672	-0.005661677166894411	-0.009134681251167162	0.006829455969636911	-0.019337308044305244	0.03770325524035018	-0.00031122816536870753	0.029751808326175577	0.06194333661915152	0.24453285745813835	0.008218682703422278	0.2344618223834524
