	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000061577	0.031339038286784957	0.0230331042197051	0.04393580530880686	0.0	0.0	0.0	0.0	0.0	0.03972062663201578	0.0	0.0	0.0	0.009288885702507854	0.0	0.017972775606109062	0.0	0.06059144487405924	0.0	0.06598643876010757	0.035040203476893676	0.02403664621606263	0.0
ENSMUSG00000054808	0.04575014481064892	0.0	0.0	0.0	0.0	0.0	0.193270185873299	0.08061142731494604	0.03328432548550754	0.0	0.0	0.0	0.05353086928323977	0.0	0.03527875228640265	0.0	0.0	0.0	0.308864045759059	0.0438195437996697	0.0813981058476665	0.24023357057284023
ENSMUSG00000051169	0.0663083975987666	0.0	0.11251882338856811	0.0	0.0	0.0	0.08549912840169917	0.06563228155138405	0.027107161991771767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049568407255462806	0.0	0.41688068690536345	0.037203477850714727	0.05868192710593451	0.11897094066054832
ENSMUSG00000096630	0.0	0.0	0.0	0.0	0.014215102559642746	0.0	-0.030098209317240294	-0.0215252254560371	-0.015041398558058392	0.0	0.0	0.0	0.012178187270241487	0.0	0.0	0.0	0.0189660063660445	0.011611763530346611	0.0	-0.04827882240640571	0.018210573525139603	-0.03899009369218523
ENSMUSG00000041359	0.02394979400675663	0.005204569377658678	0.0	0.0	0.0	0.0	0.17572491222539036	0.0	0.025614452052964726	0.0	0.0	0.0	0.00339391459542282	0.0	0.0	0.0	0.041784722763087485	0.0	0.3179440499109169	0.018650469516427397	0.058542688966249104	0.05671459273766598
ENSMUSG00000021645	0.045001392768967266	0.01760303938822695	0.023459061626358916	0.0	0.0	0.0	0.10665729157519693	0.10899527876033524	0.0	0.0	0.0	0.0	0.0	0.0	0.019758601740663087	0.0	0.015880982638105334	0.0	0.29680760691779906	0.0	0.03905962457502676	0.28938445804590235
ENSMUSG00000019854	0.025847504873146143	0.0	0.0	0.0	0.0	0.0	0.0552536801821753	0.06834735478804037	0.0	0.0	0.0	0.0	0.033796682596572335	0.0	0.02289503349294464	0.03182340831459641	0.0	0.0	0.047627176864142286	0.036242590585674056	0.03881449229578828	0.19649709527648984
ENSMUSG00000025862	-0.062331356188627854	0.0	0.0	0.0	0.046935398004620925	0.0	0.1057531142214035	0.018617181108701787	0.0	0.0	0.0	-0.056790278085507455	0.0	0.0	0.0	0.04417885861695282	0.016470801420944203	0.0	0.10512333898500323	0.036595422365857055	0.0	0.26125564069971163
ENSMUSG00000024527	0.05750836228306427	0.0	0.0	0.0	0.0	0.0	0.08037633043838101	0.09454185445517828	0.047999397010547534	0.0	0.0	0.0	0.04073439017227033	0.0	0.03451327927585346	0.0	0.0	0.0	0.24727531710992098	0.04747868634193286	0.04535036144838978	0.22487559374306207
ENSMUSG00000100168	0.0	0.0	0.0	0.0	0.0	0.06288859522961707	0.0	-0.1111875915659856	0.0	-0.030027876847614477	0.0	0.04781833737172726	0.0	0.0	-0.021971787511790124	0.0	0.0	0.11233479025298385	-0.02772527027893837	-0.033374936260191654	0.03159583265191788	-0.06808910980256089
ENSMUSG00000040812	0.04175057728238959	0.0	0.03350889688131837	0.0	0.007221010226802216	0.0	0.012361803170534605	0.0	0.02591156684362121	0.0	0.0	0.0	0.01614892846588305	0.0	0.01206787694347816	0.0	0.05332562018832205	0.0	0.0	0.03894947135101391	0.025420009677121477	0.0
ENSMUSG00000027035	0.036874908793562707	0.0	0.0	0.0	0.0	0.0	0.06533514078527627	0.06672888393447127	0.0	0.0	0.0	0.0	0.0300915880492058	0.0	0.026449561864513527	0.030663791744250057	0.0	0.0	0.057186635114244315	0.043640072978191856	0.03366490015760425	0.2089869744790588
ENSMUSG00000020530	0.012991472149792793	0.0	0.0	0.017941403402304736	0.0	0.0	0.16462766356115632	0.10823230814421332	0.01781068452977948	0.0	0.0	0.0	0.05670350742342454	0.0	0.017541698225776385	0.0	0.0	0.0	0.5110492074893983	0.0	0.07689394671341124	0.3947265329704322
ENSMUSG00000022261	0.025307144443083768	0.0	0.010253909467516406	0.0	0.01358101368387682	0.0	0.0	0.017514261135607816	0.0	0.0	0.0	0.0	0.017624068161851587	0.0	0.0	0.049734827385552946	0.03968670106579323	0.0	-0.21833320961666808	0.0	0.037677213308453465	0.05268994683633233
