	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000113621	0.04724532184084369	-0.01771711884349422	0.019513345569930896	0.018178367601779277	-0.048614511464721	-0.07841973915068884	-0.025410249433071803	0.026463555880407785	0.031838880917774474	-0.029145675569730953	-0.006797951210746553	-0.02946375069455575	0.023777379651866073	-0.07448509963889684	0.017576910677144637	0.029570677059903877	0.03456946520217624	0.029613740621214732	0.07195185706887312	-0.030034197835744604	-0.009361744121920139	0.323298195735976
ENSMUSG00000030603	0.06244000071840393	-0.009075306403117883	0.019038720585562184	0.010675659923756091	-0.03295913249053093	-0.12124218621985526	0.12667420234965243	0.022708617211069964	0.04650260221432633	-0.022248504040496653	-0.010349743088969738	-0.012828889991771307	0.027435284541801535	-0.055046104135343964	0.016863766322843896	0.024939455409321788	0.06019347415024323	0.023831761798072663	0.20302572005014027	-0.029424189336772676	-0.010183702036602519	0.2672793834037984
ENSMUSG00000069223	0.06311973121947023	-0.007819175692629547	0.02330309499451834	0.011964960313699445	-0.04548669444023207	-0.0661124727004591	-0.017933245791538394	-0.008610385690970846	0.03869934548854693	-0.032031601698791094	-0.007149713006993164	-0.0009683633723423889	0.03533155267537746	-0.011568011596641972	0.03309187567522054	0.002820746254071395	0.07405237575369819	-0.011434043469729507	0.16656843555432851	0.0043581191109195155	-0.013178092533341316	-0.04947374390829457
ENSMUSG00000115943	0.04232745056149474	-0.019308364961324508	0.013574123776959652	0.010649284042985077	-0.0556477166701394	-0.059681834381420926	0.23600114374675232	0.014801572702709723	0.033126832053298715	-0.03992344388352271	-0.008619737142506537	-0.01737771188836344	0.03707557124561425	-0.021688753830024773	0.023645465239369404	0.012293571296796814	0.0571538930065353	0.007535125932466672	0.31858567736815707	-0.015355346352152455	-0.02318901147806565	0.10473367846938503
ENSMUSG00000110505	0.07147218198021466	-0.01990264849275207	0.02598662374249907	0.0011409966916576914	-0.06641410391172203	-0.03363384441724965	0.2998582044883175	-0.0046136723852557215	0.04315032040520307	-0.017363794439126307	-0.011336669314735039	-0.0070570850853589	0.041667228048158055	0.01795734071421563	0.03062970930516897	0.010292651607495009	0.07183080552983052	0.008860060043686795	0.3882633583323718	-0.008720419675123525	-0.03449914236163674	-0.03405536084359615
ENSMUSG00000028329	0.0554538403568256	-0.011916715474608203	0.020586536355960913	0.01588740695729097	-0.04254548405323473	-0.06432394802355522	0.04609440903640607	0.02284482886528309	0.028065907960850903	-0.022138221440000733	-0.007150422399359235	-0.021479377494364512	0.02728148118672326	-0.06514370934982906	0.020939319843745353	0.028334549445731893	0.03699451709072155	0.021377503332020795	0.3779454076838507	-0.030777089094872385	-0.01984842737618134	0.2699436204310163
ENSMUSG00000109156	-0.05491100233806828	0.005127878041648948	-0.01994436970259517	-0.053477560651595	0.031766090132592545	-0.00013332519440152418	-0.07843791379233823	-0.01793333051354168	-0.03694609831962994	0.016474318991560537	0.0033494199125362893	0.014321031417704235	-0.018209305109746252	-0.003075766185414272	-0.01608912163273338	-0.006387161750031994	-0.032290606326779075	-0.01577601665839492	-0.23510306222569782	0.019117753553122636	0.01203455229660838	-0.13766569236703616
ENSMUSG00000000560	-0.013927915479268293	-0.011166455947567001	-0.004677433263721746	0.0033168248164231564	-0.030233185717380047	-0.055745936648769555	-0.11928020284472693	0.02030042774592555	0.005143226778457138	-0.020587664124614463	-0.002660874928507481	-0.0009683633723423889	0.0073025853671081	-0.04644242067380612	-0.003021650667437179	0.01818265993569034	0.0025010949312892685	0.028477216267328177	-0.009028903860188267	-0.0016011000618913246	-0.0024147890618651897	0.032185019821935806
ENSMUSG00000055407	0.06128237196348104	-0.028721407539337378	0.02464432298681686	0.004013325269366286	-0.046273729525711745	-0.04441897887725052	0.18521079154444225	0.021771326307205064	0.033817817668002986	-0.020650422289134857	-0.008370129616440663	-0.011240189604994618	0.03130288154143483	-0.02348663567930352	0.025460675145947808	0.0152458911290503	0.06096959312680951	0.02795167503676408	0.20545336201908862	-0.029216259708761166	-0.011871915172291173	0.23175563912139138
ENSMUSG00000001983	0.05825054317622385	-0.02462904633342787	0.023074982782233338	0.016029692859555227	-0.05241296339741771	-0.05959783928115742	0.1706300341755976	0.025385530784712645	0.0441545917820091	-0.026017827149561655	-0.008326679659212025	-0.02596288462538133	0.006119819774591759	-0.07379607470247693	0.016052399012583922	0.027916306338209615	0.05545859231353111	0.03410964902646131	0.34540145911335185	-0.04234676579582244	-0.009422263703571764	0.4957457684591995
