	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000006369	0.019891163289517264	-0.010139182908119217	0.005889222742071462	0.027157398395915945	-0.021475600142508	-0.057250430140460294	0.03182117044184838	0.20968289402992393	0.010219572008960521	-0.023130308015752665	-0.009210832709141475	0.006595628324130312	0.006682022234272344	0.0022488924196940384	-0.016503904087012786	0.11093455638187488	0.014435382621507517	0.045955578243947234	0.016605560152509587	0.17807051857850648	-0.05452433422465172	0.3223212990618278
ENSMUSG00000035057	0.019627026904961344	-0.008392391244324001	0.0054531289568893575	0.038037449806364344	-0.02050837167269631	-0.04519731298631847	-0.015634133843721604	-0.001657860346786493	0.010425458884013375	-0.013850052759536687	-0.011947032853998764	0.0004623504865391621	0.005779985087325919	-4.3195682751671885e-05	-0.014496676147210216	0.02868468005130937	0.013147090081107107	0.03421209484785453	0.014222772995614828	-0.011294964859195384	-0.03121631800238578	-0.06279981956603296
ENSMUSG00000117019	0.021453811456545895	-0.011626370632154735	0.004434265140016895	0.033582710487069026	-0.007502804161294218	-0.009805029709367634	-0.01671418374275725	-0.06740502194155937	0.00893320783562227	-0.015772410137453997	-0.005256218363100822	0.001485759111360809	0.002311861064171447	0.000563571704838447	-0.011957554707626578	0.03249966496616989	0.01296444368212768	0.03972832497253953	0.006108372602106522	-0.09743064729276758	0.009026263735227845	-0.07323537042656784
ENSMUSG00000066877	0.014038878965442085	-0.012210301534439137	0.003747539023857046	0.03970550839001023	-0.011420523980282805	-0.06352569690505913	0.006893685874580372	0.23785265802661376	0.0077045994075807265	-0.004094405973293616	-0.007253309240341851	0.008662660627719523	0.00226631173851872	0.0031463183683181116	-0.010718069227327874	0.13194174223775895	0.009189286494894438	0.08615923524574068	0.0005523167005998557	0.2345051070644289	-0.020915386821251176	0.4011989265336933
ENSMUSG00000046567	0.017476032421012692	-0.0017414721027056467	0.004912524959116133	0.020981714501859042	-0.009840078481093424	-0.03646780199690912	-0.0009826946247085784	0.20751712269041653	0.006813238776259272	-0.01211895671581198	-0.006054412252213346	0.006966601755569817	0.0040458310837785975	0.002513857262604133	-0.012122304017255912	0.1251211298573672	0.010638256467754167	0.02377713190513228	0.024774666206712235	0.20128233458162145	-0.054470135496579385	0.2611690112055552
ENSMUSG00000078889	-0.11785169694069081	0.049307490486289636	-0.026807031921920483	-0.11692788642856536	0.13973452363642375	0.3035006014874495	-0.0902548787716012	-0.24962236501420204	-0.059210506565978274	0.0915352910615335	0.04680967409821034	-0.01608586230925164	-0.03073783099992885	-0.006479388058542808	0.04644415031004335	-0.21942092327566456	-0.06727294076048795	-0.21356047344084403	-0.2659450108588338	-0.9455012535488339	0.5189848161939893	-1.1797826455114666
ENSMUSG00000028312	0.009417271931928789	-0.008474132377400932	0.0009800838855444844	0.030565265401785165	-0.016257602421038714	-0.050124953876061966	0.014414519586426243	0.26457362507316873	0.0044221354510552155	-0.004926062471539	-0.007103944647246752	0.007701678764880277	0.004129109197087229	0.0030090573383054634	-0.006923922133272297	0.13446723938975216	0.002042257042725573	0.0754682039028291	0.027565991641584034	0.3497196957724159	-0.04375199294991036	0.5625323576048975
ENSMUSG00000036985	0.001327724830355279	-0.00452772795313117	0.0005650731477339277	-0.000811027815209807	0.0025053059115685843	0.012106915946686328	-0.00281118651765117	0.20562572648615135	0.0012391007110632945	0.006763283655680293	-0.002997432275682179	0.006482287778810817	0.000554882231831324	0.002414153205491178	-0.0019669743511970626	0.12736726027879267	-0.002323910391920026	0.024702770976237406	0.020063016720112396	0.21537095771167378	0.00703187646904697	0.24994443532868438
ENSMUSG00000033916	0.02529069240411272	-0.014872990695542444	0.0036205274848383814	0.02447909041271177	-0.020642239664308133	-0.0352865371813168	0.08496493505444674	0.20869279540122682	0.011477186888758427	-0.01722934283356502	-0.011347905764555374	0.005114107108337724	0.003813905810288422	0.0011170594819214978	-0.007834100876089167	0.06507127875917329	0.002218665404297181	0.04735515539897774	0.15517357534014684	0.47746305010217444	-0.16456550934415226	0.5298841564286214
ENSMUSG00000072720	0.016714839365059263	-0.005771259581615179	0.005347667909391804	0.019181164330308333	-0.010439526831264001	-0.013730736183557628	0.004064348288919426	-0.04123498578492928	0.008779662533421946	-0.008581545948359429	-0.007222863480403503	-0.007875607219653224	0.004573397628175969	0.00018927060508267343	-0.013829846815957371	0.03881062766923975	0.013240032773597605	0.032881624359697804	0.0013853661265839396	-0.12698591984237567	-0.018855709275696686	-0.12936996850677138
