	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.016331326216459274	0.011865684762597084	-0.009445399045944214	0.0038775866851210594	0.004540154244750738	0.006551433354616165	-0.013625371269881725	-0.12119653075933456	-0.007878377102315426	0.007142412010580301	0.012314774096012115	0.010742735117673874	0.02743973210453987	0.022076167166233063	0.09406977891921997	-0.07238807529211044	0.01432450208812952	0.008022169582545757	-0.041593682020902634	-0.02645345963537693	0.00612522941082716	-0.021622024476528168
ENSMUSG00000037143	0.022464564070105553	0.02789894863963127	0.020868949592113495	0.011958908289670944	-0.011297592893242836	0.007096503861248493	0.006255941931158304	0.2720169425010681	0.007819821126759052	0.01603955216705799	-0.016332658007740974	-0.03064744919538498	-0.0071630822494626045	-0.0011604400351643562	-0.036493197083473206	0.28134316205978394	0.04185475781559944	0.03763856738805771	-0.0132379662245512	0.19373013079166412	0.009956970810890198	0.35661453008651733
ENSMUSG00000079560	0.037089429795742035	0.036710288375616074	0.01298176683485508	0.022311799228191376	0.0010416139848530293	0.005487976595759392	0.005122285336256027	0.03472932428121567	0.027125880122184753	0.05066816881299019	-0.020580988377332687	0.006210182327777147	-0.0068120588548481464	0.018553543835878372	-0.0312737375497818	-0.023651503026485443	0.03712291270494461	0.04380113631486893	0.03752680867910385	0.10951274633407593	0.016688212752342224	0.007954785600304604
ENSMUSG00000022587	0.03412282094359398	0.021249918267130852	0.001942128874361515	0.015262192115187645	-0.0036348721478134394	0.006701773963868618	0.006693853065371513	0.24526502192020416	0.018542274832725525	0.005863503087311983	-0.01656321994960308	-0.05456199124455452	0.009547187946736813	-0.015402508899569511	-0.02861674875020981	0.2865654230117798	0.020154030993580818	0.07519425451755524	0.1277250051498413	0.36393406987190247	0.045776162296533585	0.22081448137760162
ENSMUSG00000063888	0.023731868714094162	0.023244071751832962	-0.0013686312595382333	0.012601273134350777	-0.00205120537430048	0.0029889142606407404	0.024227088317275047	0.3022266626358032	0.01796579919755459	-0.0011281862389296293	-0.00767837418243289	-0.06432578712701797	0.007894518785178661	-0.014227760955691338	-0.02378079481422901	0.28203442692756653	0.014576750807464123	0.07262642681598663	0.11011802405118942	0.4278201758861542	0.060880642384290695	0.40245339274406433
ENSMUSG00000039952	0.02527574449777603	0.02677498571574688	0.0006539478781633079	0.021365489810705185	-0.009362357668578625	0.0036611822433769703	0.021865135058760643	0.3086707592010498	0.014447233639657497	0.009313303977251053	-0.008662358857691288	-0.04602854698896408	0.007883002050220966	-0.01719270646572113	-0.037656284868717194	0.28612059354782104	0.017795301973819733	0.07059921324253082	0.026427211239933968	0.5573245286941528	0.025752278044819832	0.41800010204315186
ENSMUSG00000036086	0.021117443218827248	0.022747201845049858	0.009216445498168468	0.020244989544153214	-0.013164427131414413	0.006889606826007366	0.013523132540285587	0.3309822380542755	0.008377021178603172	0.012789776548743248	-0.010749705135822296	-0.042881544679403305	0.0022865592036396265	-0.008704260922968388	-0.03564310446381569	0.34598323702812195	0.025045130401849747	0.07799297571182251	0.01503326091915369	0.42419570684432983	0.018614621832966805	0.4215056300163269
ENSMUSG00000042708	0.03313262388110161	0.03221600130200386	0.0069869146682322025	0.015777841210365295	-0.011215342208743095	0.004288388881832361	0.007858913391828537	0.22877588868141174	0.020206620916724205	0.01541502121835947	-0.010887904092669487	-0.038704827427864075	0.005596873816102743	-0.017905183136463165	-0.029143359512090683	0.2815662622451782	0.020543603226542473	0.053612932562828064	0.07358530908823013	0.465847373008728	0.019975809380412102	0.2886260151863098
ENSMUSG00000030525	0.009201631881296635	0.027090396732091904	0.017709214240312576	0.011835864745080471	-0.008350937627255917	0.009775469079613686	0.0004756285925395787	0.25088298320770264	0.003330967389047146	0.01958276890218258	-0.009212012402713299	-0.02806168608367443	-0.008025050163269043	0.005135136190801859	-0.030974403023719788	0.3457096517086029	0.022780248895287514	0.07902363687753677	-0.028670305386185646	0.21280938386917114	0.0054627712815999985	0.1888999491930008
ENSMUSG00000109602	0.01674794591963291	0.046322792768478394	0.010145772248506546	0.030184339731931686	0.0005245741922408342	0.007985631003975868	0.0052346121519804	0.03762964904308319	0.02085581235587597	0.03411633148789406	-0.014242050237953663	-0.009407931938767433	-0.004424268379807472	0.012129779905080795	-0.03182530775666237	0.021231982856988907	0.036753371357917786	0.0541512668132782	0.04883929714560509	0.06498496234416962	0.02435612492263317	0.050085023045539856
