	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.009927012656891067	0.0	-0.007774697579910817	0.0	0.0	0.0	0.0	-0.14682364601380302	-0.005537204032876094	-0.00558409849361376	0.0	0.0	0.0	0.0	0.0	-0.11520703353908751	0.0	-0.004611964642592781	-0.037360829812058	-0.0940952710838032	0.0	-0.0595656612413053
ENSMUSG00000037143	0.016422327054665734	0.014856585527798437	0.0	0.019022231101968188	0.0	0.0	0.0	0.1741873627374115	0.0	0.014810253641917508	0.0	0.0	0.0	0.0	0.0	0.15317818799635244	0.016663524757402442	0.011336502069804966	0.0	0.10898586674816543	0.0	0.2827174681694812
ENSMUSG00000079560	0.02197858793515388	0.017228274910671446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023478878697231604	0.0	0.0	0.0	0.0	0.0	-0.06967386669521689	0.016623844765137428	0.01692282349759862	0.029143677667711095	0.02157710761342404	0.01790666667553589	-0.051910959832267525
ENSMUSG00000022587	0.02622771320516866	0.016497207039685408	0.0	0.0	0.0	0.0	0.0	0.15155090083963796	0.016190708895290395	0.0	0.0	0.0	0.0	0.0	0.0	0.19100260740696395	0.0	0.05135190555311624	0.1086384102273153	0.2719734206211248	0.029081309760561305	0.13901506233703645
ENSMUSG00000063888	0.02077109779795805	0.022920908930025626	0.0	0.0	0.0	0.0	0.02984072097330749	0.2002168259353159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1718809602999672	0.0	0.049292347244672324	0.09807350380517296	0.3321069792528835	0.040115165386111325	0.3205654064036136
ENSMUSG00000039952	0.022175250885671176	0.0	0.0	0.02136171443848775	0.0	0.0	0.0	0.20383242700155477	0.021197589637334646	0.0	0.0	0.0	0.0	0.0	0.0	0.15910810895740835	0.0	0.04808856042257044	0.020595329156505134	0.4754774884528601	0.020487207673894402	0.3456587686462103
ENSMUSG00000036086	0.01834797256784529	0.019981919574722347	0.0	0.021822105932357075	0.0	0.0	0.016218198595287836	0.2266536954584011	0.0	0.02003749767515936	0.0	0.0	0.0	0.0	0.0	0.20838178543364386	0.0	0.053695332000791435	0.0	0.3482657504372586	0.0	0.346952059400314
ENSMUSG00000042708	0.024861263319737797	0.021815802238663872	0.0	0.017533166291824998	0.0	0.0	0.0	0.12723005356418696	0.0	0.016141073506082813	0.0	0.0	0.0	0.0	0.0	0.16913689231007026	0.0	0.031148657787255857	0.0614462688988826	0.3951687639042343	0.0	0.2166284455368238
ENSMUSG00000030525	0.0	0.013898721285702747	0.0	0.011001304585473874	0.0	0.008427819364957512	0.0	0.14987879399290183	0.0	0.010228618856962026	0.0	0.0	0.0	0.010869933088589617	0.0	0.2292911045487361	0.0	0.04877323491512789	0.0	0.12830611031885827	0.0	0.10068996872100984
ENSMUSG00000109602	0.0	0.01993433415224075	0.0	0.011446696643966942	0.0	0.0	0.0	0.0	0.0	0.01327563761466995	0.0	0.0	0.0	0.007712103790267835	0.0	-0.03591829935436772	0.013622755189457611	0.019156609594196756	0.035682818658328674	-0.02715737342928992	0.019578934184934074	0.0
ENSMUSG00000073997	0.021983253568113825	0.0	0.009289053774837908	0.0	0.0	0.0	0.0	-0.09096958067583569	0.0	0.018556281818166008	0.0	0.01305931562462779	0.0	0.0	0.0	-0.10920663522111403	0.0	0.03804170628215076	-0.056687428334312076	-0.17050025112766334	0.0	-0.1045333751499139
ENSMUSG00000060012	0.0	0.0	0.0	-0.046867468554128676	0.015030795724819062	0.0	0.0	0.17740331071862808	0.0	0.006632526152488472	0.007977128241634324	0.0	0.0	0.004539012133044862	0.0	0.1672843759603677	0.0	0.0	0.0	0.1893803631109208	0.010261747050991917	0.20010848844344742
ENSMUSG00000074344	0.022924525538871785	0.03206017322140455	0.0	0.0	0.0	0.0	0.0	-0.08015945547916636	0.016801535025968206	0.03331154434052837	0.0	0.017868772308885464	0.0	0.0	0.0	-0.12500038105836533	0.0	0.0	-0.04864516174810188	-0.10854703367430664	0.0	-0.05378979925264415
ENSMUSG00000021932	0.0	0.0	0.0	0.030991924751153133	0.0	0.0	0.02018324653714477	0.2030235158282578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18349391969148274	0.016811846397735364	0.02356028688918383	0.030496191807077088	0.5006991650019307	0.015510714047523251	0.3092240835855349
