	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.010823937746489059	0.0	-0.008016190503814559	0.0	0.0	0.0	-0.0062636532159837666	-0.15969525513387786	-0.006040644835275958	0.0	0.0	0.0	0.0	0.0	0.0	-0.12795256103719438	0.0	-0.007772171705113607	-0.038233979183087845	-0.11022639140125623	0.0	-0.0745437932572009
ENSMUSG00000037143	0.015105622396509876	0.013907385942116521	0.0	0.01821220154506498	0.0	0.009011390877488812	0.0	0.16390011699310636	0.0	0.013351239241509709	0.0	0.0	0.0	0.0	0.0	0.14070444752439037	0.015746938407750266	0.0	0.0	0.09200662270770704	0.0	0.2671531852459713
ENSMUSG00000079560	0.01910515147497603	0.014498266290132246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020745342766232452	0.0	0.011452305003040964	0.0	0.0	0.0	-0.08295804466832363	0.013923574121381004	0.01255174603264405	0.02531538000087945	0.0	0.014872256099976593	-0.06931210080931219
ENSMUSG00000022587	0.025244206866623778	0.015739732154215192	0.0	0.0	0.0	0.0	0.0	0.14180093675945055	0.015581157306022164	0.0	0.0	0.0	0.0	0.0	0.0	0.18204166569121089	0.0	0.04877958851771531	0.10308963048254026	0.2557049513706309	0.027996283340153718	0.12246993447398516
ENSMUSG00000063888	0.019914125651057324	0.021975108677183157	0.0	0.0	0.0	0.0	0.028643721707449415	0.19060469031005448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1617549292368812	0.0	0.046662689435394665	0.09221268401743599	0.31651225021644286	0.038834714676080136	0.30558784317769616
ENSMUSG00000039952	0.021211852511536334	0.0	0.0	0.02003827534254987	0.0	0.0	0.0	0.1932473699377166	0.020331023718640113	0.0	0.0	0.0	0.0	0.0	0.0	0.1480317973169267	0.0	0.04546576822315011	0.019357601768553098	0.45715040102945265	0.01933295691927214	0.330734239581347
ENSMUSG00000036086	0.017439660071166214	0.019088283293245946	0.0	0.020627635331426253	0.0	0.0	0.015158106421595985	0.21579668547216124	0.0	0.018953644756371686	0.0	0.0	0.0	0.0	0.0	0.19723082128430708	0.0	0.05125437246353302	0.0	0.330232003111125	0.0	0.3314939459474957
ENSMUSG00000042708	0.023708422092308883	0.02073519418777821	0.0	0.016338088817039242	0.0	0.0	0.0	0.11610731658316166	0.0	0.015556575071799465	0.0	0.0	0.0	0.0	0.0	0.15907714198785253	0.0	0.028784477666956475	0.058269653456395856	0.37770769920861413	0.0	0.20174465936250421
ENSMUSG00000030525	0.0	0.013113233919575187	0.0	0.010074017657037419	0.0	0.00795807703949647	0.0	0.13903571023342431	0.0	0.009454754317490769	0.0	0.0	0.0	0.01020601805852173	0.0	0.2181090542934755	0.0	0.046837094413405424	0.0	0.11039283853856394	0.0	0.0831036522839765
ENSMUSG00000109602	0.0	0.02103508517357834	0.0	0.01277189266049992	0.0	0.0	0.0	-0.03449950222853639	0.0	0.013037658629997884	0.0	0.0	0.0	0.0	0.0	-0.043085135924192115	0.013960021649653041	0.01946890882271762	0.03470315740295659	-0.04248828137058731	0.019349253304964766	0.0
