	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.01877945350104718	0.0	-0.01771967663555259	0.0	0.0	0.0	0.0	-0.12508698639236357	-0.009817963934997469	-0.011167012152409672	0.0	0.0	0.0	0.0	0.09270714597587638	-0.09200840643336672	0.0	0.0	-0.045379119559122515	-0.05678737069765594	0.0	-0.030999580700841512
ENSMUSG00000037143	0.019005375836776566	0.017023402531198526	0.0	0.022061438200055197	0.0	0.0	0.0	0.20188502624869006	0.0	0.017124689578115415	0.0	0.0	0.0	0.0	0.0	0.18712794058337728	0.01958107647232184	0.018667534966042783	0.0	0.1563910871177724	0.0	0.3247617333350785
ENSMUSG00000079560	0.02100308087430728	0.01566971007596827	0.006006882355612947	0.005922484238562509	0.0	0.0	0.0	0.0	0.0	0.021171867748786866	0.0	0.0	0.0	0.0	0.0	0.0	0.01389063751941874	0.017452087130534803	0.031197455057261427	0.06599933623763535	0.01641048906135218	0.0
ENSMUSG00000022587	0.02983988823586078	0.01887709367765722	0.0	0.0	0.0	0.0	0.0	0.17785951834033362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21732144780595025	0.019268351125089733	0.05782391544045129	0.1239166224883674	0.3151645192595128	0.030870540587001647	0.18203634399013682
ENSMUSG00000063888	0.02305753904005181	0.025774361830124454	0.0	0.0	0.0	0.0	0.03285587415732663	0.22626627179005687	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20058712936901424	0.0	0.05612400296892479	0.11408748513691035	0.3748409109934227	0.04349820399099957	0.36014113181665725
ENSMUSG00000039952	0.024764666209366463	0.0	0.0	0.02459267992642286	0.0	0.0	0.0	0.23229517833807095	0.023504647926713806	0.0	0.0	0.0	0.0	0.0	0.0	0.19048025531687987	0.0	0.05498884723382787	0.02389268115734248	0.5262211256690741	0.023547846736435018	0.3851435118228245
ENSMUSG00000036086	0.020810989793845554	0.022613550803890447	0.0	0.024735363139208502	0.0	0.0	0.018620356846161368	0.25574354722401094	0.0	0.023251308005126724	0.0	0.0	0.0	0.0	0.0	0.2398578855689663	0.0	0.060250350295936686	0.0	0.3980327257285431	0.0	0.3878892347345523
ENSMUSG00000042708	0.027874944102715817	0.024937033441728096	0.0	0.020591782124332617	0.0	0.0	0.0	0.15725469663411026	0.0	0.017833401554789408	0.0	0.0	0.0	0.0	0.0	0.19734104278228629	0.0	0.03738626475090987	0.07015486080913319	0.44337644718723124	0.0	0.2558089090349875
ENSMUSG00000030525	0.0	0.016224936291547306	0.0	0.013401721296971545	0.0	0.009653091099675826	0.0	0.17870378965614142	0.0	0.012758090080169442	0.0	0.0	0.0	0.012944565102920118	0.0	0.26057513289731976	0.0	0.05411685113749368	0.0	0.1772288766436235	0.0	0.14720755053691817
ENSMUSG00000109602	0.0	0.02776873393983293	0.0	0.018722183639962475	0.0	0.0	0.0	0.0	0.009320136175083926	0.016813568681982017	0.0	0.0	0.0	0.0	0.0	0.0	0.01903909926782523	0.02989799721452631	0.04718434889535461	0.024319835436621133	0.025170167634467503	0.03054714122320956
ENSMUSG00000073997	0.024437647704792762	0.013962301171664304	0.0	0.011540369560621305	0.0	0.0	0.0	-0.06270287467179289	0.0	0.02247388053250698	0.0	0.0	0.0	0.0	0.0	-0.07481212431591731	0.0	0.044716055220211756	-0.05306148862987565	-0.11993862786082748	0.0	-0.06613380308786582
ENSMUSG00000060012	0.0	0.0	0.0	0.0	0.011043295371122502	0.0	0.0	0.20357813292609425	0.0	0.00406912983519836	0.006062151464483132	0.0	0.0	0.004386161046284318	0.0	0.1930213697681395	0.0	0.00721853479191704	0.0	0.23184482972640857	0.00705307906699956	0.23492259005002764
ENSMUSG00000074344	0.02630160085551518	0.03526578853773002	0.0	0.016627985063324614	0.0	0.0	0.0	-0.05048380077932909	0.0190004953540939	0.03919610008773269	0.0	0.0	0.0	0.0	0.0	-0.08808266421701913	0.0	0.0	-0.04262380212043158	-0.05743226637815319	0.0	-0.019495722115928694
ENSMUSG00000021932	0.0	0.0	0.0	0.03472837692793686	0.0	0.0	0.023139414447424782	0.23689779542759598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21474838871104948	0.014024895794024772	0.029983003487878232	0.0354270536366233	0.5502198422604385	0.018022626777922417	0.34825249213058984
ENSMUSG00000018765	0.02660936441130282	0.022473499552429547	0.0	0.029237069901242772	0.0	0.0	0.0	0.22282531905159364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24849895754483342	0.0	0.04741597900344455	0.05549557529741075	0.3110088515214193	0.02308709172369272	0.3689828210899645
ENSMUSG00000005533	0.017175325269845186	0.02161912480714169	0.0	0.0	0.0	0.0	0.018184557258014156	0.2085039923346304	0.0	0.017258395213958576	0.0	0.0	0.0	0.0	0.0	0.15822702853427234	0.0168284158328778	0.04670566974221598	0.0	0.2572923883738911	0.0	0.2879952055753965
ENSMUSG00000019494	0.02929826807551773	0.0	0.0	0.0	0.0	0.0	0.030438305794095295	0.18677345001772933	0.027058269916720556	0.0	0.0	0.0	0.0	0.0	0.0	0.2219184062445751	0.0	0.038803135146783574	0.11685807166937161	0.3051062448118059	0.05608953783892694	0.29113915958913167
ENSMUSG00000097119	0.02767358368867706	0.02969004152640966	0.0	0.035499813520511354	0.0	0.0	0.02229660712858439	0.24893703021127164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23378462890695131	0.0	0.08202897604901029	0.08945585098763231	0.45106177874474285	0.0	0.408599730105699
ENSMUSG00000055594	-0.020479433728470792	-0.008685585428529596	0.0	0.0	0.0	0.0	-0.01986220562696077	-0.07402022225556944	-0.018932123706432907	-0.021971555650855644	0.0	0.0	0.0	0.0	0.0	-0.08273627014537725	-0.012150300813302263	0.0	0.0	-0.050705993719793806	0.0	-0.0468808008234674
ENSMUSG00000060673	-0.04817866101878542	-0.031209025087230557	0.0	0.0	0.0	0.0	0.0	-0.10294412539593516	-0.033532776567328774	-0.057335343294643945	0.0	0.0	0.0	0.0	0.0	-0.12004241537680388	0.0	-0.15095652404617688	-0.05654852257835982	-0.14730487098556444	0.0	-0.14311446368532107
ENSMUSG00000099695	-0.1331629102035466	-0.14485625415296388	0.0	-0.13060596386091872	0.0	-0.1214741743931383	0.0	-0.19181110355526781	0.0	-0.15127709498256578	0.0	0.0	0.0	0.0	0.0	-0.2871752030189138	0.0	-0.2678426991471016	0.0	-0.5043898247708442	0.0	-0.429282492764
