	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.04908166739510608	0.0	-0.050227143456544485	0.0	0.0	0.0	-0.07733639969223055	0.0	-0.06562492312150683	-0.006525792089384655	0.0	0.0	-0.015393551969180573	0.0	0.0	0.0	0.0	0.0	-0.11823843103869884	-0.032768337173565226	0.03569781660007032	-0.015213065816004552
ENSMUSG00000037143	0.04210905510867262	0.014025160653722779	0.021995325928469592	0.0	0.0	0.0	0.0	0.03385222309127168	0.0177469568568918	0.0	0.0	0.0	0.016649978397768796	0.0	0.0	0.0	0.042272561181447246	0.013823268020988475	0.0	0.0	0.028599226962105675	0.2026818793075207
ENSMUSG00000079560	0.05092143676711526	0.010840125865982264	0.028678464992256687	0.0	0.0	0.0	0.16769845773400088	0.0	0.041262807577726726	0.0	0.0	0.0	0.02751785557709859	0.0	0.02554325370815007	0.0	0.05047627769520735	0.0	0.17809005964009486	0.0	0.07342113985915517	0.0
ENSMUSG00000022587	0.054324002750347995	0.0	0.012976336167198434	0.0	0.0	0.0	0.16790471106669855	0.0	0.03603959453456156	0.0	0.0	0.0	0.03964041789983345	0.0	0.0	0.0	0.038847592894176955	0.008096641467112864	0.839339816860268	0.0	0.10472965854731518	0.0793161438122214
ENSMUSG00000063888	0.04689037592309695	0.0	0.014042911013177006	0.0	0.0	0.0	0.21628585021589827	0.043005265893060265	0.023643153526203966	0.0	0.0	0.0	0.024941338638482403	0.0	0.0	0.0	0.0196269870758217	0.0	0.8941540109029689	0.0	0.13882143569380664	0.2631759702348942
ENSMUSG00000039952	0.05096898087566915	0.0	0.0	0.0	0.0	0.0	0.10669442972348137	0.07383557109838668	0.03550427617103955	0.0	0.01280158010214505	0.0	0.03876891308016376	0.0	0.015500780940871123	0.0	0.0	0.0	0.18438936102477646	0.0	0.06946787786963611	0.26114962546405956
ENSMUSG00000036086	0.04670690060389334	0.0	0.0	0.0	0.0	0.0	0.05612319065293375	0.08467829256905066	0.02184691646684052	0.0	0.0	0.0	0.03417746758513061	0.0	0.021129500786294386	0.0	0.027054959192135727	0.0	0.11526865138779958	0.0	0.060549550715619085	0.2599387819804359
ENSMUSG00000042708	0.051926209131577195	0.0	0.015275873414563906	0.0	0.0	0.0	0.0	0.01421747256099537	0.028685811215304568	0.0	0.0	0.0	0.025262328029303838	0.0	0.013774089132085176	0.0	0.020636773377268037	0.0	0.45592287630537415	0.0	0.055490815420182	0.13375630951436823
ENSMUSG00000030525	0.011717681827425266	0.012270138013500506	0.0	0.0	0.0	0.0	-0.040424617572119126	0.01064927543897419	0.0	0.011204371857547602	0.013227723490134763	0.0	0.0	0.01380510790261547	0.0	0.0	0.0	0.0	-0.09395854275814552	0.0	0.012707957712822715	0.0622823415408361
ENSMUSG00000109602	0.011638458709011479	0.009865299549242808	0.008372521394410958	0.0	0.0	0.0	0.08943959418544757	0.0	0.022471236745197295	0.0	0.0	0.0	0.021954104252976857	0.0	0.007577851650259482	0.0	0.038811319033987955	0.0	0.2138802120127064	0.0	0.0767367844012472	0.0
ENSMUSG00000073997	0.05844313216304942	0.0	0.024895485831324362	0.0	0.0	0.0	0.0	0.0	0.01736189415644082	0.0	0.012158764974548113	0.0	0.010049601348768408	0.0	0.0	0.02164395469699967	0.0	0.026941225270000816	-0.14435376924728904	-0.07558694191944075	0.0	-0.06895405379511402
ENSMUSG00000060012	0.0	0.0	0.0	-0.028193713690574464	0.02307305047838379	0.0	0.0	0.03546323452690772	0.0	0.0	0.010757365960614697	0.0	0.0	0.0	0.0	-0.024649886657072573	0.0	0.011226784209882133	0.08687211604215571	0.007933393863393907	0.041889436123141485	0.13795577683506363
