	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000104625	-0.017990674823522568	0.009079568088054657	-0.01003634836524725	0.0011232554679736495	0.004476114641875029	0.005511494819074869	-0.016024906188249588	-0.1346612125635147	-0.008138159289956093	0.003951419610530138	0.012781167402863503	0.011358383111655712	0.02974533848464489	0.01948259212076664	0.09698880463838577	-0.0849098488688469	0.00971501786261797	9.075662092072889e-05	-0.043380510061979294	-0.04357651248574257	0.0036324679385870695	-0.03679640591144562
ENSMUSG00000037143	0.02012820728123188	0.02545643039047718	0.020431187003850937	0.011622117832303047	-0.011102902702987194	0.005873026326298714	0.006223384756594896	0.25837966799736023	0.0072446102276444435	0.015311299823224545	-0.015584814362227917	-0.029397571459412575	-0.006025597453117371	-0.0022996680345386267	-0.03241371363401413	0.26400649547576904	0.036768123507499695	0.03019775077700615	-0.015226726420223713	0.17537152767181396	0.007888381369411945	0.3382381498813629
ENSMUSG00000079560	0.034001924097537994	0.033290714025497437	0.013331945054233074	0.01955804042518139	0.0005729833501391113	0.004092814400792122	0.003340714378282428	0.023614387959241867	0.025572462007403374	0.0462450236082077	-0.020421838387846947	0.006887934636324644	-0.006830201949924231	0.016580944880843163	-0.028905784711241722	-0.0331982746720314	0.03354937210679054	0.03669389337301254	0.034584928303956985	0.09112319350242615	0.01468916330486536	-0.0061900620348751545
ENSMUSG00000022587	0.03186984360218048	0.019241997972130775	0.002843775786459446	0.014464503154158592	-0.004084724001586437	0.005868103355169296	0.004392273724079132	0.23111402988433838	0.01749405823647976	0.006206829566508532	-0.015797315165400505	-0.052568916231393814	0.009429117664694786	-0.01562228798866272	-0.024676835164427757	0.2722705602645874	0.01788228563964367	0.06825676560401917	0.12307396531105042	0.34511786699295044	0.04205070808529854	0.20161181688308716
ENSMUSG00000063888	0.021908586844801903	0.021240685135126114	-0.0003490830713417381	0.012377279810607433	-0.0024121340829879045	0.002413456793874502	0.021977214142680168	0.2875991761684418	0.016962826251983643	-0.00012116264406358823	-0.007002332713454962	-0.061873361468315125	0.0074297524988651276	-0.013982967473566532	-0.019859621301293373	0.2660023272037506	0.01279071718454361	0.0657481923699379	0.10517945140600204	0.40895408391952515	0.056505102664232254	0.3832049071788788
ENSMUSG00000039952	0.023091010749340057	0.024630846455693245	0.0016770901856943965	0.020329348742961884	-0.009554825723171234	0.002904738998040557	0.020611362531781197	0.29427769780158997	0.013691471889615059	0.0093337781727314	-0.008123649284243584	-0.04420378804206848	0.007765381131321192	-0.017604885622859	-0.03379645571112633	0.2690790593624115	0.015606587752699852	0.0631423071026802	0.02458956465125084	0.5376222133636475	0.022601844742894173	0.3992210328578949
ENSMUSG00000036086	0.01893814280629158	0.02076622284948826	0.009716332890093327	0.019455546513199806	-0.0130817461758852	0.005787304602563381	0.012893873266875744	0.31662577390670776	0.0077793472446501255	0.012464221566915512	-0.01008243951946497	-0.041374143213033676	0.002620548941195011	-0.009502582252025604	-0.03166976571083069	0.32838085293769836	0.021961184218525887	0.07021913677453995	0.01349375955760479	0.4052198529243469	0.016017140820622444	0.40263688564300537
ENSMUSG00000042708	0.030361585319042206	0.029777754098176956	0.007566771935671568	0.015105461701750755	-0.01142258569598198	0.003460537176579237	0.0067834751680493355	0.21431684494018555	0.019073903560638428	0.014809898100793362	-0.010296056047081947	-0.037011101841926575	0.005697806365787983	-0.01830577291548252	-0.025790248066186905	0.26596370339393616	0.017947491258382797	0.04695207625627518	0.07054934650659561	0.4468007981777191	0.01722130924463272	0.27045661211013794
ENSMUSG00000030525	0.007266489323228598	0.024663038551807404	0.017092520371079445	0.011144845746457577	-0.00787904392927885	0.008261796087026596	-1.968587275769096e-05	0.23738794028759003	0.002827733987942338	0.018370715901255608	-0.008358513936400414	-0.027019575238227844	-0.00676367711275816	0.003187627997249365	-0.02688232809305191	0.32961300015449524	0.018286261707544327	0.07091810554265976	-0.030365077778697014	0.19489988684654236	0.003737627761438489	0.1699051707983017
ENSMUSG00000109602	0.013987171463668346	0.04283970966935158	0.01032391469925642	0.027639595791697502	-0.00015899587015155703	0.006552398204803467	0.004550494719296694	0.025983009487390518	0.01931326650083065	0.030832437798380852	-0.013956609182059765	-0.008726248517632484	-0.004211992025375366	0.010664092376828194	-0.02912026084959507	0.010961729101836681	0.033057957887649536	0.04681715369224548	0.04581468179821968	0.04614498093724251	0.021818067878484726	0.0351167730987072
