	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000010461	-0.008587395489746874	0.0	-0.004237921031556945	0.0	0.0	0.0	0.0	0.10321328034239632	-0.01186362056905408	0.0	0.0	-0.004788278583285199	-0.0037719596842436254	0.0	0.0	0.062161202363416705	0.0	0.0	-0.052941683217935145	-0.08700513975213842	0.0	-0.08238445287390386
ENSMUSG00000030516	0.0	0.0	0.0	0.012355595598472437	0.005157389738712289	0.0	0.003933715065132404	0.2027163821842723	0.0	0.0	0.0	0.0	0.0	0.0	0.006138274350913739	0.2874135671753911	0.010873807927039406	0.03085041936529952	0.0	0.2556087305801006	0.0	0.3370430342163856
ENSMUSG00000113506	0.0	-0.11267375335727275	-0.06397983788502448	0.0	0.0	-0.040063387474405854	0.0	-0.24581899810268093	0.0	0.0	0.0	0.0	0.0	-0.08232407735906165	0.0	-0.4823804785086175	-0.16878570490041672	-0.1699989274077585	0.0	-0.5257053619010176	0.0	-0.6267094477609629
ENSMUSG00000073678	0.0	0.0	0.0	0.020924286945407364	0.014508062674627726	0.0	0.0	0.2147755695910963	0.0	0.0	0.0	0.0	0.0	0.0	0.011543564238277404	0.30579455284307294	0.012320395520020054	0.02949906337762033	0.017088754445658227	0.11919923330996011	0.0	0.215359795330573
ENSMUSG00000026925	0.014441033462106944	0.01234936010204335	0.0	0.0	0.0	0.0	0.0	0.14808518923714833	0.016726066985930804	0.0	0.0	0.0	0.0	0.0	0.0	0.1929446323588111	0.01925800805345835	0.017359875620468562	0.07574460243172157	0.17642732607924821	0.0	0.21501969859940712
ENSMUSG00000028044	0.0	0.020982982153998166	0.0	0.0	0.0	0.0	0.048078277259201024	0.17424365993735763	0.0	0.0	0.0	0.0	0.0	0.024628692732318935	0.02247386433533669	0.05761174394335833	0.0	0.0	0.08549703861643698	0.3749922356698045	0.018850934878470227	0.31827023848165775
ENSMUSG00000050556	0.012877407332422403	0.0	0.00940731183547644	0.0	0.0	0.0	0.0	0.11195200588542333	0.00654478098342533	0.0	0.0	0.0	-0.012899949117503529	0.0	-0.021809138649619902	0.0	0.015282919711534297	0.005225545855848328	0.0	0.05079760646693155	0.0	0.1669119802412965
ENSMUSG00000073968	0.00785671396615345	0.0	0.00458932353909991	0.0	0.0	0.0	0.0	0.11872614453271522	0.0	0.008179389011997374	0.0	0.0	0.0	0.0	0.0	0.20311266714104503	0.011349394343180687	0.016149562064179567	-0.04728894060824679	0.0	0.010823185046733632	0.14026848880538667
ENSMUSG00000020166	0.0	0.0	0.0	0.028804674497045383	0.0071437422664091255	0.0	0.016460208196534636	0.23829027644564385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27407912611598506	0.014768366160303942	0.05947139609268246	0.045799393642030804	0.36475365979395347	0.0	0.4741415026863568
ENSMUSG00000002332	0.0	0.006269306797810565	0.0	0.0	0.0	0.0	0.0	0.21358566822735228	-0.026921697310729107	0.005131847928546617	0.0	0.0	0.0	0.007559106214984563	0.0021300141373032933	0.2020941434704599	0.011632984662217353	0.0	0.0	0.10417205520245054	0.0	0.3544684088211779
ENSMUSG00000000374	0.0	0.0034595828555232704	0.008592127558276048	0.0	0.0	0.0	0.0	0.1918913948118143	0.0	0.0	0.002466966209732968	0.0	0.0	0.0	0.0	0.23731796052977194	0.013086767323224616	0.026567369367919726	0.0	0.19246639813848	0.006422794115558386	0.24151988905630503
ENSMUSG00000021595	0.0	0.011035412828914452	0.0	0.0	0.008953530951017807	0.0	0.009235890206925286	0.22874627470905498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22159007947745032	0.013611709055562094	0.036805177583856936	0.08521016344960859	0.24834950183844415	0.0	0.38019340128905255
ENSMUSG00000043190	0.0	0.0	0.0	0.016232346982520983	0.0	0.0	0.020835906109513972	0.21243973181587777	0.0	0.0	0.0	0.0	0.0	0.0	0.016632121939020195	0.23155198809654112	0.01895094077751134	0.05456068150815515	0.0312052618813826	0.46227143546294197	0.0	0.3329730428859565
ENSMUSG00000022477	0.011129143123117085	0.0	0.0	0.02616605281163595	0.0	0.0	0.0	0.2370698368675776	0.010448376065892218	0.0	0.0	0.0	0.0	0.0	0.0	0.22216948855288485	0.010882156054848106	0.03836418621013483	0.06167472826231823	0.34058433907959595	0.0	0.3854888840826109
ENSMUSG00000081574	0.0	0.0	0.0	0.0	0.0	-0.0041668133880324865	-0.028266495858997303	-0.11184624037538277	-0.04005390213209496	-0.005073605078297815	0.0	0.0	0.0	0.0	0.037202597689190486	-0.053751390313449846	0.0	0.0	-0.05434307752100098	-0.16332929974511906	0.0	-0.08940812541695113
ENSMUSG00000113875	0.007569382053768408	0.00843873851034331	0.0	0.0	0.0	0.008068753129856984	0.0	0.009416728856163467	0.0	0.0	0.0	0.02589045459885271	0.0	0.015126848477341357	0.0	-0.09088886257262752	0.011006366915429184	0.009034741996824166	0.0	-0.07339367987819803	0.0	0.0
ENSMUSG00000092550	0.0	0.011095853126091307	0.0	0.0	0.027904925316934247	0.0	0.0	0.05778440845920396	0.0	0.0	0.0	0.0	0.03312432162895755	0.008875212772092198	0.0	0.0	0.02015662184806862	0.010560059770860011	-0.09449128058263975	-0.03998188598902219	0.0	0.042016199344804384
ENSMUSG00000114553	0.0	0.021038884812803076	0.030341765298496165	0.0	0.0	0.0	0.0	-0.071833163306696	0.0	0.04088950187760379	0.0	0.0	0.0	0.02088866464605008	0.0	-0.06136397217347497	0.021058373441760092	0.025856424584685313	0.0	-0.17243338310010206	0.0	-0.09622125223123569
ENSMUSG00000015451	0.0	0.0	0.0198265602790631	0.0	0.0	0.0	0.0	-0.12079907025912483	0.0	0.024761905263429893	0.0096196241905738	0.0	0.0	0.024873763227517668	0.0	0.0	0.01759274447622666	0.021909634627005715	-0.057114159591310554	-0.038065100812027484	0.0	-0.09725563071510959
ENSMUSG00000097746	0.0	0.0	0.0	0.015034962328716848	0.011586252722866508	0.0	0.014848634403716476	0.20436387362711986	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18826071331369856	0.015920174963705506	0.056009878293194086	0.016648050273011396	0.38984787100413243	0.0	0.24497768083368585
ENSMUSG00000086147	0.0	-0.07458250908909124	-0.040498070280258425	0.0	0.0	0.0	0.0	-0.27084933710790593	0.0	-0.04181154646705403	0.0	0.0	0.0	-0.11837246749477477	0.0	-0.48496307163567154	-0.16935028740061636	-0.1758622682643432	0.0	-0.5250504694326352	0.0	-0.6170999474848685
ENSMUSG00000054764	0.0	0.028894765452041584	0.013827106693274022	0.0	0.0	0.0	0.0	-0.0377274580906803	0.0	0.0	0.0	0.017663764057118118	0.0	0.02466719305997941	0.0	-0.03224278217899799	0.010351618574737372	0.0	-0.025872583290990403	0.13431344813363588	0.0	-0.013554316703690769
ENSMUSG00000086316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17250218659865024	0.0	0.0069139297036521115	0.00548937481637837	0.0	0.0	0.008796010103099071	0.015994726610948185	0.21157861476780707	0.01300291469852837	-0.04015395567869706	0.0	0.22891667249289208	0.0	0.13203410234329419
ENSMUSG00000046572	0.0	0.01499967787623533	0.0	0.0	0.0	0.0	0.02066626586611854	0.19873978378985976	0.015074866707051271	0.0	0.0	0.0	0.0	0.0	0.0	0.20438797714521212	0.016931452563221313	0.044064476966719966	0.056639282105729744	0.35926037361641494	0.0	0.2738937783395273
ENSMUSG00000027584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031596740111857376	0.023873757243333966	0.0	0.0	0.020281615178748134	0.03401806636423953	0.0	-0.06489377310837395	0.025894848962215875	0.021052503825356145	-0.056776888063587334	-0.1041020149059451	0.0	-0.09679302303788757
ENSMUSG00000028053	0.0	-0.07714933710929057	0.0	-0.02608721626859767	0.0	0.0	0.0	-0.2715827008186229	0.0	-0.14290305696868355	0.0	-0.04515173125080478	0.0	-0.1844629422155204	0.0	-0.3805031909730285	0.0	-0.17679122913894615	0.0	-0.776220870286225	0.0	-0.5736094211854882
ENSMUSG00000107898	0.0	-0.03581439549913668	0.0	-0.06428750669926005	0.0	0.0	0.0	-0.19473225625567042	0.0	-0.041461531580915346	0.0	0.0	0.0	-0.013961511856866338	0.0	-0.2583207787884401	0.0	-0.04363481450947683	-0.04203426086647933	-0.14506806520469284	0.0	-0.059240466438713044
ENSMUSG00000091415	0.0	0.014985096083612674	0.0	0.009028120918114002	0.0	0.0	0.011210491018421883	0.11222195723774915	0.0	0.010271407424032533	0.0	0.0	0.0	0.015376520580745377	0.0	0.0	0.0100156397334258	0.014889330017922635	0.0	0.2460664252382784	0.0	0.2034866549750672
ENSMUSG00000026734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0479414251571639	0.0	0.0	0.006265982236525081	0.0	0.0	0.008811748634757961	0.0	0.18757703103068588	0.009806987004338777	0.019302633202698205	-0.061755518936045015	0.09450231320746869	0.010343322063958148	0.10940441937044254
ENSMUSG00000031516	0.010651685950390233	0.0	0.0	0.014390936822338123	0.0	0.0	0.01157484345092525	0.19012046621489134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22432868656350974	0.010382306676553911	0.044063664185109604	0.04741026833814599	0.2762000546071151	0.0	0.27087603148852535
ENSMUSG00000002500	0.02010598065761861	0.01859400686529164	0.0	0.0	0.0	0.0	0.0	0.010622967329200752	0.014050922676262187	0.0	0.0	0.018106002119535867	0.0	0.026705748660481102	0.0	0.0	0.0061668210821112035	0.0	0.06885643608968547	0.045242409820800494	0.006287013819082504	0.0
ENSMUSG00000097527	0.0	0.0	0.010568568137493328	0.0	0.0	0.0	0.0	0.17018480414596074	0.0	0.0	0.00851337921319873	0.0	0.0	0.009551555644902352	0.0	0.22384317254679437	0.008999676928480804	0.01097058393510757	0.0	0.09928990508139218	0.011984953622992053	0.09855356857628954
ENSMUSG00000075610	0.0	0.01593273760044639	0.0	0.0	0.0	0.0	0.0	-0.07920567964602294	0.0	0.01905729675215141	0.0	0.0	0.0	0.03368211734150297	0.0	-0.0387156702890044	0.021322867031801696	0.02870662652350035	-0.03780372862745472	-0.047267757860015566	0.0	-0.03799686231210196
ENSMUSG00000043670	0.0	0.03362812266945967	0.0	0.0	0.0	0.0	0.0	0.038387324114783856	0.022828442221274906	0.0	0.0	0.0	0.0	0.03305171776189784	-0.03183289606621635	-0.03439799443002798	0.0	0.01657508567114286	0.10444715804287848	-0.07951421808582375	0.0	-0.06316020693023805
ENSMUSG00000009739	0.0	0.01142726677897973	0.010574827182805058	0.0	0.0	0.0	0.011450954936940927	0.1259253105418078	0.0	0.012252096546520774	0.0	0.0	0.0	0.0	0.0	0.08252122070124167	0.013534392568516001	0.019862294022292677	0.0	0.1113843968174837	0.0	0.13361056733691867
ENSMUSG00000112454	-0.0007429674759050764	0.0	0.0	0.0	0.0	0.0	0.0	-0.12027317976775094	-0.0044369768684591575	-0.014383904585798754	0.0	0.0	-0.008384090587453354	-0.0024924313159619	0.0	-0.137459712749562	0.0	0.0	-0.02585203002580733	-0.1972683359383252	0.0	-0.1480409882012975
ENSMUSG00000118604	0.0	0.0	0.0	-0.032150997656421015	0.0	0.0	0.0	-0.16420887974493456	-0.03743063497013241	-0.06224044019779672	0.0	0.0	0.0	-0.055761447211437776	0.0	-0.2376337119589033	0.0	-0.04080059144998965	-0.03259170129809952	-0.07484153406782093	0.0	-0.11431203716816433
ENSMUSG00000047586	0.026051242326681684	0.006149340893484956	0.0	0.006697094559078137	0.0	0.0	0.0	0.05293782867887377	0.0	0.006965727220192274	0.0090183292479968	0.0	0.0	0.0201148161268271	0.0	0.0	0.0	0.009003924913618844	0.09367237909824473	0.05026077915821551	0.0	0.0
ENSMUSG00000116009	0.0	0.0	0.0	0.0	0.01828557163756188	0.0	0.0	-0.036480964137517155	0.04775380206400116	0.02197523448284622	0.0	0.013697301408518447	0.0	0.030379467495340557	0.0	-0.04729900149595073	0.0	0.016077850834297833	0.051199449733336136	0.0	0.0	-0.07435155507576977
ENSMUSG00000055214	0.0	0.0	0.0	0.0	0.0	0.0	-0.007728589773626043	0.10634088971342727	-0.009269069335829664	0.0	0.0	-0.008557390411807851	0.0	-0.007935630280729827	0.0	0.11569208602527054	0.0	0.02387780414252007	-0.057255275381019204	-0.03448256716560939	0.0	-0.0352807966906129
ENSMUSG00000085586	0.013154667882055278	0.0	0.0	0.0	0.0	0.00855032825721036	0.0	0.18713084906575	0.009748856522435751	0.0	0.0	0.0	0.0	0.02607614846853642	0.0	0.00978201712224548	0.0	0.0	0.06921019529050249	0.5755723813903608	0.02375934868896174	0.24180735252302427
ENSMUSG00000056870	0.0	0.005300713433782601	0.0	0.019622313676235497	0.0038784380598975324	0.0	0.0	0.14729059176246176	0.0	0.004762245601152293	0.0	0.0	0.0	0.0	0.0	0.25669508673728963	0.0	0.013605135117964141	-0.04755052059612563	0.013268000169589744	0.004830860497923903	0.0
ENSMUSG00000006782	0.0	0.005918049978337013	0.02018650839258216	0.0	0.0	0.0	0.0	0.11091250006383126	0.001012493167198647	0.003888258880081092	0.0	0.0	0.0	0.0	0.0	0.11756401612202326	0.013534006578144533	0.0	0.06518107789727996	0.12210367575440426	0.0	0.11979019496026963
ENSMUSG00000029656	0.0	0.0	0.009046144554471652	0.004427398640761138	0.0	0.0	0.0	-0.1345908519821449	0.0	0.0	0.0	0.017337835417510484	0.0	0.008718909179491667	0.0	-0.019214797565139177	0.01351978226548842	0.0	-0.04203359610917007	-0.214884180973636	0.0	-0.15192377907628268
ENSMUSG00000095134	0.0	-0.08097867551783691	-0.04956722225723409	0.0	0.0	0.0	0.0	-0.2372586349974678	0.0	-0.03446109373623196	0.0	0.0	0.0	-0.10418685756907246	0.0	-0.4999487419414168	-0.2008014949896858	-0.17772819331724327	0.0	-0.50835958502461	0.0	-0.6251494753064203
ENSMUSG00000040034	0.0	0.0	0.0	0.015084989477353082	0.0	0.0	0.014227481418915167	0.16320512071532445	0.0	0.0	0.0	0.0	0.0	0.02973221782389087	0.0	0.01700702009193123	0.01536417485335016	0.017505764231387416	0.09124459498550447	0.23271040402619003	0.0	0.24592216904775824
ENSMUSG00000044788	0.0	0.0	0.0	0.0	0.0	0.0	0.018020995737126858	0.15210786385122102	0.0	0.018272682137119692	0.0	0.0	0.0	0.014987796731238623	0.0	0.21489894228189285	0.020419827494786148	0.03561179821152867	0.02148651346956773	0.0563172168080419	0.0	0.08874074068619203
ENSMUSG00000010797	0.0	0.0	-0.004733869630212032	-0.00833267863789778	0.0	0.0	0.0	0.046643382039888444	-0.013210574988420352	0.02180954085312566	0.0	0.0	-0.005236618030225321	0.01994556002974808	0.0	0.0	0.0	0.0	-0.062298367677468776	-0.08854605590198009	0.0	-0.13317127433050113
