	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000002968	0.0685533619072469	-0.017800064155549206	0.03387154505999576	0.012211091371857836	-0.044850151647400735	-0.1094789717800554	0.20433522873809948	0.03105497554621337	0.0470115315237474	-0.02393191499122953	-0.008029220691443493	-0.029557615972615515	0.029748731025890682	-0.07274668932138287	0.027852128750098435	0.02226301977135621	0.08230983589265188	0.016915121847261086	0.33655414641306847	-0.03811112304204724	-0.016776886264644762	0.45846308577587835
ENSMUSG00000078938	0.06626483759909588	-0.01837857196607386	0.02696715088540438	0.010970286741402943	-0.07551693919029506	-0.09317447224336939	0.05913384018009168	0.00803938344159217	0.04763049774602723	-0.03914515825467407	-0.008311360440031001	-0.008514178367145511	0.04027365660538808	-0.03665349573502436	0.02784115857614284	0.018045502898259434	0.07412796636499926	0.031427596471031535	0.12598720961298912	-0.005866151951346197	-0.01640767857055715	0.20580198227252294
ENSMUSG00000030600	0.059170538684109444	-0.013172464815617343	0.038332595735172094	0.0025037400664650765	-0.06867802391781182	-0.05270246265428402	0.39640221230150813	0.026229594813905875	0.0465795406833737	-0.02257482775527893	-0.012216230557042655	-0.021499099930058937	0.047702267628953486	-0.05856540583913983	0.03713083142427895	0.006824599937863791	0.08286235201955883	0.02331531531627246	0.24021044307545816	-0.006695379415914119	-0.025106555812046287	0.15274456230048125
ENSMUSG00000028023	0.06365134596658871	-0.008442679227878076	0.029599529174965333	0.009039416111920492	-0.0732958082106568	-0.056036542444343834	0.3935744516419276	0.02093413435881172	0.04634945476912943	-0.02334612321270831	-0.010900190314803066	-0.007228428345775218	0.04485119640694735	-0.025295059142431756	0.03514927990761431	0.018866254546176835	0.08451037581703982	0.022429622622827664	0.4384358312846961	-0.004921939577387562	-0.018815490586251114	0.054036862089617235
ENSMUSG00000040152	0.04813761642954488	-0.013416769254611067	0.034916116509901216	0.00987457130882809	-0.027252913726900765	-0.05914202312709647	0.054044407139137066	0.026630217045658003	0.04533041122125293	-0.027203178117469144	-0.008960530790900752	-0.01809474094989677	0.027036769697652663	-0.06424765045342037	0.01673825902039171	0.021835098343149326	0.06628558600527144	0.024083751415783245	0.08148458037968467	-0.008437962025724003	-0.007543346985084742	0.20629884213768052
ENSMUSG00000036330	-0.33903998807261	0.07008243368885675	-0.14946359844980864	-0.031123136093202254	0.4475074021703712	0.42073242682937034	-0.38779067633303266	-0.03003524558098359	-0.25592850339325696	0.14529848458659408	0.04272493322352642	0.06106532364253908	-0.16561187324246576	0.15827327850893877	-0.08436155242658316	-0.05083710190255886	-0.3296727089309159	-0.08037437416051409	-1.9302966643351545	0.10966835885435582	0.11837947755540612	-0.8404782389324537
ENSMUSG00000085016	0.052886377501724945	-0.014173855056412074	0.017091553795980582	0.008266297233379967	-0.03786347506866326	-0.09723627842122232	0.15972583606570276	0.03179939722691697	0.03122275625886457	-0.040312757792397236	-0.006702848193327753	-0.02044368261467261	-0.01571343286550648	-0.05225650483555651	-0.014748803833141994	0.02617872543710403	-0.01954716013441191	0.027132681878262958	0.37564186406943195	-0.09207231190563711	-0.023302035739412315	0.4740996099781184
ENSMUSG00000025839	0.08161204200872624	-0.0068708200179298535	0.03193234371275252	0.004732399934376662	-0.09471115697221934	-0.0725184714996369	-0.02760527652380289	-0.008206458724564955	0.040425427128472094	-0.0370549845142788	-0.008380208631429081	0.005960059427050281	0.006473612431044072	-0.004383244566884397	0.04402255484908269	0.014247788039548032	0.06573484995678136	0.002031002845982071	0.36217370818844064	-0.012448569430933778	-0.016270724186715484	-0.021877389508459542
ENSMUSG00000031976	0.05970777654011944	-0.013999971541583178	0.033132587363849726	0.0038583952306239433	-0.07415527988880621	-0.06469866437269207	0.09031252192676505	0.01285559812330303	0.044128134871259654	-0.03475872447557602	-0.010492020518091593	-0.006011009262241498	0.02461840397611599	0.033566594219506876	0.03205400891795901	-0.007475588584643487	0.06352407111584625	0.010028260989732241	0.35889102963609487	-0.03575617999673241	-0.01609403502570126	0.15342834369429995
ENSMUSG00000000399	0.05462601419869158	-0.0018914892050442512	0.029606863602723747	0.01382012548641704	-0.023687179529574155	-0.07215460657710292	0.06116615094209122	0.03361234148070835	0.0357390804234549	-0.03585077457221043	-0.00686896944742042	-0.026672070819673748	0.017382051918257167	-0.0749385965686149	0.02075477247620514	0.0343394028232798	0.05825824744034495	0.020049871791819524	0.2416535616035972	-0.03324763701024208	-0.006845434216632762	0.4243331059060092
