	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000103542	-0.004347143197978946	-0.007350859336853578	-0.02418443379530721	0.0019738528037588155	-0.021852115047830675	0.0357415321751624	-0.08791998445288794	-0.013521210488179258	0.020013880014441914	-0.0022077296002704807	-0.0014505456100480936	-0.007811585418342273	-0.0009601048750275371	0.005406068961804763	0.00511060703143787	-0.017365497384825606	0.02163553283152953	0.015625294762012142	-0.10886423049668925	0.007576683124371403	0.00011683142773291142	-0.07365710670356823
ENSMUSG00000006782	0.04936995828379559	-0.01392942060062763	0.041766633758261854	0.005914317901005961	-0.06682192691180287	-0.048613279626794105	0.17417690571069216	0.024420482535719712	0.03872526845903782	-0.044833804330604896	-0.010026420755304683	-0.021947655451305156	0.023364236461999935	-0.05797441516678552	0.025508724748687022	0.02532571661768991	0.08067494167808494	0.013934760323385897	0.3644002335600771	-0.01946174100230027	-0.020512006380034455	0.2117790001133481
ENSMUSG00000025582	0.05274335812382552	-0.01742277238499786	0.03415087260601427	0.006522450095622056	-0.06937873088770852	-0.038383930180189214	0.0657189614965329	0.023125906257628025	0.036404710642010334	-0.02644969810496542	-0.007140299186696111	-0.019366999250699717	0.022982993604169118	-0.05481829343627341	0.01782111936206218	0.024583766185177665	0.07522107947486015	0.019619402524712722	0.1555309167694549	-0.013105109278726141	-0.016845705399073943	0.1731443533413479
ENSMUSG00000070972	0.05092709417337679	-0.017067582986387234	0.02380271748910275	0.007157199259437531	-0.04904522277694842	-0.018115650472801472	0.22682110335112382	0.010527211006523556	0.03410484137137028	-0.0329716735155804	-0.007660975120310937	-0.02334904076709577	0.029478535173752284	-0.04903350214958079	0.025259267146671715	0.021700123559648416	0.057737657367503116	0.020142223179189376	0.16630735242270586	-0.023202652709977078	-0.017819039216679506	0.06886097624976859
ENSMUSG00000078899	-0.34194533112494974	0.07163688050944675	-0.15079128866072508	-0.03227352151009369	0.4493317285299871	0.4287824184095957	-0.4114489292839137	-0.033176702798377	-0.2570799438412535	0.14793276756885662	0.04363901962639591	0.06300556523069298	-0.16881024162792418	0.1661707330105759	-0.08627156169122702	-0.053961802100509756	-0.33841013104724654	-0.08322295456688347	-1.952048340932386	0.11395280252617256	0.11917708288059364	-0.877654603812432
ENSMUSG00000032220	0.05822509818602923	-0.016316119241893298	0.032737874250204975	0.003902865328679404	-0.0592643082663555	-0.09618113763265485	0.14016947014841005	0.028012428610814724	0.04083915155498415	-0.01026521148942196	-0.0084471405820934	-0.025446923008377344	0.032819808214653086	-0.049329600492326764	0.02791350231288402	0.020914988267546872	0.06765472619196214	0.019608932126621313	0.18402061319832957	-0.00700667191819359	-0.013410723909197075	0.2146805815042132
ENSMUSG00000021266	0.05602806968968645	-0.01682520237592391	0.032299160240476674	0.009074833341822458	-0.04163601186514615	-0.04034580231191685	-0.0007399906565425032	0.030270981238774877	0.038124442545662586	-0.025626871231412718	-0.006819383454069039	-0.016505552162391572	0.029350401820275106	-0.06604198186157312	0.019604016024236542	0.030667602933643415	0.06802625183908285	0.030102513506186288	0.22203704372244235	-0.05290075889312292	-0.005731639483345518	0.5008255494275913
ENSMUSG00000104015	0.016222102606885128	-0.008392305904718927	0.002253264480691867	-0.0028437921880655106	-0.0451071961560283	-0.005695346571301836	-0.12234188847695288	-0.014675628234643703	-0.0032556698110416853	-0.011452293399679448	-0.004984374846047473	-0.002790637334451167	0.004935279307068189	0.021860198949148136	-0.0005702828147092841	0.0053937882599023445	0.01622896940564921	0.007805148349991746	-0.05787869264708294	0.00909942889715277	-0.00292038660595055	-0.030375129351614412
ENSMUSG00000111334	0.05548466828460423	-0.016857311190150596	0.03298842249204828	0.005629608875668084	-0.07344237777112035	-0.02938849061149282	0.35089579279351196	0.023973329704742002	0.042023496140002455	-0.028004066622719655	-0.010001072587195483	-0.014500224843900851	0.043804942435634014	-0.018293016765375883	0.03560319686929969	-0.0008933520322760375	0.07789901354515787	0.011991201208081715	0.4566706918252598	-0.009305556539542995	-0.02282337411086142	0.09007642384309116
ENSMUSG00000097980	0.036027235067690656	-0.009397858766769752	0.028151159901774803	0.005354417441263509	-0.044580724360010954	0.0357415321751624	-0.08626247868694221	-0.008422711913505571	0.025979602719995686	0.005662656711841804	-0.009266236898702249	-0.006047667256236263	0.004337758901531816	0.01733632013209888	0.02062286127283899	-0.053961802100509756	0.014391283833326772	0.002460631398018112	-0.048335704519324466	0.018250546082099646	-0.00027487441708600043	-0.1888740817930951
ENSMUSG00000040649	0.05556195405658454	-0.00977300012485911	0.02878086186196792	0.012747833338294568	-0.06535565285206767	-0.09463947342297528	0.17835907925511868	0.028761307774537587	0.040565921158746514	-0.028642435060418397	-0.00902982682565876	-0.02592748781501596	0.030420930037211528	-0.06917645482811101	0.02349256161470197	0.02383544549788629	0.056849687208685745	0.028572035267578254	0.5152361676420655	-0.04450962437000318	-0.02565115395746321	0.3625684178181657
ENSMUSG00000064090	0.03200460264462416	-0.0027238536223737984	0.017187190732601183	0.010327310610155231	-0.049688979698062984	-0.029713349843484796	-0.06526669265603319	0.024523968476690753	0.024003669471784284	-0.026435468515163058	-0.00553161294718326	-0.01944689224718811	0.017047246587967326	-0.054187942153976605	0.010302654808545787	0.031700683126834425	0.035141644859506445	0.027046285032122818	0.07154164533291794	-0.015484538918039158	-0.00875165777722858	0.17383092630512953
ENSMUSG00000037316	0.059671605669011696	-0.019321808855361364	0.02382840445765363	0.012799583231965736	-0.06747629634484341	-0.10939557641228402	0.16397844759861815	0.031441206204882645	0.04704819386276521	-0.019871376802546064	-0.009042587358735579	-0.029296991823389455	0.031039589863563553	-0.07159492674021713	0.020739061753386412	0.03166331051365393	0.038488325175229196	0.0350215933728015	0.22704564493824722	-0.040525425242204836	-0.014431589054633973	0.5264756522143326
ENSMUSG00000026425	0.04642525225092821	-0.009321968404299105	0.02288060127659729	0.007387256621026175	-0.05894550988446353	-0.06495503925955397	0.10107511367514974	0.03008227572797306	0.03539446111448364	-0.028183406503026153	-0.008321009673827899	-0.024515323030494172	0.0319276727826947	-0.05864721476888395	0.017648867047217083	0.029564302769937753	0.04160215829010621	0.030143930989457998	0.14363194695201306	-0.04698047884391156	-0.012689324790796711	0.3864053979152535
ENSMUSG00000043681	0.06977240190674651	-0.01592081166063632	0.035596996240410246	0.004336433429860923	-0.06396224594818642	-0.031972410012610177	0.4036685611508898	0.014433922117463959	0.056622043717485575	-0.0316922863628349	-0.009240044057915045	-0.012104359444328763	0.04561825923191361	-0.023614734527567384	0.02405306212974167	0.008517482185960077	0.09808726643545278	0.01567230185152691	1.3300467273366932	-0.046003989028408146	-0.025177009746084236	0.14384377495338965
ENSMUSG00000038298	0.0566896832638046	-0.019813438132488457	0.027400354571207854	0.007301525406841714	-0.02974946017156288	-0.046062380262159655	-0.010663112530274585	0.0030389027278442285	0.039146932932726676	-0.014112978606654576	-0.00855509827776045	-0.01432046925760394	0.016621076956741816	0.006149364402307652	0.021437078644350523	0.0009897196061029164	0.06883643863743498	0.011331253142233164	0.08864980675555748	0.0028603553035101356	-0.008642257003650487	0.005320580407617971
ENSMUSG00000027318	0.06337430318705428	-0.007428218096701362	0.035701602804107835	0.008643616697195444	-0.05537697292039608	-0.03149773694391008	0.313290484903055	0.012170473612830494	0.041843790381290845	-0.004436865214200431	-0.01012558388303482	-0.018028222558290286	0.040338835753980395	-0.04412309781663243	0.033015909651115165	0.017149780854434922	0.077502478206215	0.020307141410947065	0.17418260527550808	-0.0015134462056778392	-0.017287876425222712	0.08544525868006579
ENSMUSG00000021313	0.04005201058567238	-0.00934781112263895	0.0210814592402825	0.008937108431576815	-0.044638363098343035	-0.10374697549776872	-0.009942400320330383	0.027180427410552477	0.030077722546447867	-0.022135631761568842	-0.006767657870541593	-0.0297893105438776	0.020080786664905193	-0.07147676732850343	0.01678385352929137	0.02755262585025532	0.04407221758199081	0.02449644438597253	0.07299255795948063	-0.020380975422601654	-0.006101884982579393	0.1960971202853672
ENSMUSG00000111085	0.014141482942842657	-0.009870372612006762	0.03805506424100495	0.00777660462581718	-0.047562268660975994	-0.06636269920781819	-0.21383380888561918	0.0151701971504786	0.038791216621676304	-0.03468916381427245	-0.005232648251722546	-0.008903574079183142	0.008199983537396932	-0.03951230725332707	-0.0016574580020115176	0.03045431467287485	0.027708546411742	0.01866850914009579	0.003029656967461643	-0.006101328675834169	-0.004465887005109109	0.09927555587169257
ENSMUSG00000018501	0.0473951021363215	-0.014887886732272712	0.024027180334636977	0.014206741697420488	-0.07669830490253222	-0.10821444385783568	0.1997910798599794	0.03297481867572022	0.03846198146799246	-0.03491102203657963	-0.009163809735189522	-0.02582412921661644	0.039505870650943645	-0.06307932176388335	0.02331572346177174	0.02778902447340004	0.058994302509580716	0.03092911175381885	0.44802792119934115	-0.07637765122003723	-0.023385392654481515	0.47223160502051853
ENSMUSG00000051586	0.056111399474467506	-0.013633094893797972	0.03331794386631322	0.0059974117527275645	-0.04254689180450874	-0.050641462556128114	0.08389610436500862	-0.0007446629183874938	0.03781982124854461	-0.027419208543158	-0.008610205829424409	-0.013331468303267853	0.0293178006181451	-0.02223775035406649	0.030783569576634355	0.001541808687581046	0.07324222609836718	0.0207751786994001	0.19115981568795004	-0.0077627619767068135	-0.008972878850199645	-0.04761290616087409
ENSMUSG00000085465	0.05650548313920592	-0.021748747704470703	0.03594401583450352	-0.0020286011689753104	-0.07142510148063576	0.015526648154365679	0.33942094769488274	-0.006596042928359464	0.0410760840838315	-0.02971658201344934	-0.011179442543491085	-0.005395709640224121	0.03674045576332929	0.01951532216763894	0.03235803936464513	-0.008639351097935937	0.0779153190430318	0.0049541163859432805	0.45082104763303543	-0.0039781598842284676	-0.020342647944884062	-0.028668413682344705
ENSMUSG00000022557	0.061536690292527264	-0.018670500870715513	0.034445548629431735	0.007680897436143027	-0.07510965741466862	-0.10894434680386138	0.304334960538713	0.03142620662967671	0.04532388941304045	-0.036515747354811154	-0.009657545083855109	-0.028025352926041174	0.033307691443706544	-0.07083462003317761	0.026310324227710014	0.032700477502634925	0.0719580629411872	0.024924084824852068	0.2228855547306196	-0.02951004082971475	-0.018627366055048215	0.40527032203900426
