	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031486	0.03353635248827014	0.009162693697467417	0.03187238672824364	0.0	0.0	0.0	0.10143284159984377	0.0	0.028150180914062357	0.0	0.0	0.0	0.010453254720971578	0.0	0.0	0.0	0.029641553759899048	0.0	0.11569378307350628	0.009170661097248053	0.031012714224876343	0.0
ENSMUSG00000039055	0.037278874371639965	0.0	0.0	0.0	0.0	0.016704452987608365	0.06147295308656696	0.06199578676030077	0.030382006463465977	0.0	0.0	0.0	0.02024606219088728	0.0	0.0	0.0	0.02641879469079538	0.0	0.4525486389126826	0.0	0.06302390440887443	0.26097193132074215
ENSMUSG00000096794	-0.016083806262865437	0.0	-0.01981607994216168	0.0	0.0	0.0	-0.12926688367618777	-0.028000863872385564	-0.029800245151275655	-0.024750155130103674	0.0	0.0	0.0	0.0	-0.016293824086997477	0.0	0.0	0.0	-0.11533434880286925	-0.05561468869597339	0.0	-0.06771994759488738
ENSMUSG00000097558	0.0	0.0	0.024070942145135773	0.0	0.0	0.0	0.04739754052828475	0.0	0.0	0.0	0.0	-0.027296941905823657	0.010845202534884484	0.0	0.006308243808245545	0.0	0.03274768235703879	0.006667905681699161	-0.21363727786583525	0.0	0.016984755126818084	-0.07491115474709609
ENSMUSG00000059481	0.029781597816208552	0.0	0.027194409509194217	0.0	0.0	0.0	-0.03217752028255448	-0.020996318417244975	0.0	0.0	0.0	0.0	0.021932019527135114	0.02066423753983865	0.0	0.0	0.05038492448209906	0.0	-0.25468144134222304	-0.05526447608666208	0.0	-0.0833393127771416
ENSMUSG00000037001	0.01452382662445603	0.0	0.02013416472789626	0.0	0.0	0.0	0.0	0.03991135710526696	0.023432529406598658	0.0	0.0	0.0	0.010625246327477245	0.0	0.014071716268229542	0.011615242556957825	0.016736929829910773	0.0	0.0	0.0	0.028333834591861805	0.12581384668961657
ENSMUSG00000109371	0.035137567934321594	0.0	0.02960492707392595	0.0	0.0	0.0	0.0	0.0	0.02790995493964538	0.0	0.0	0.03652729544221353	0.01006296729069729	0.007375908837503352	0.017291662375142885	0.0	0.028627605381980024	0.0	-0.06865487872184341	0.0	0.0	-0.08592829033612351
ENSMUSG00000034333	0.03880129625648926	0.0	0.02704428092287592	0.0	0.0	0.0	0.061800357439886204	0.05855376594503204	0.038052140495212376	0.0	0.0	0.0	0.041613858235145566	0.0	0.0	0.0	0.03886492046771876	0.0	0.19471667019459016	0.0	0.053898712546436925	0.22899702236485947
ENSMUSG00000097080	0.04480780033080543	0.02709764796969163	0.0	0.0	0.0	0.0	0.14565648287625022	0.028245075383626937	0.0328172081674493	0.0	0.0	0.0	0.054175617924968174	0.0	0.0	0.0	0.0	0.02815145257864826	0.38408905838865637	0.0	0.09713068917923585	0.15444282222333333
ENSMUSG00000107241	0.0	0.0	0.0	0.0	0.0	0.0	-0.03630092901155068	0.0	0.0	0.0	0.0	0.015441145735827992	0.028503491305445015	0.01793520802414022	0.011056242009908762	0.0	0.017260140400792264	0.0	-0.059174899178363286	-0.03499740517636003	0.056541360450388094	-0.06441688837108558
ENSMUSG00000110053	0.04293268692431898	0.0	0.024721303509354458	0.0	0.0	0.0	0.03283440199038524	0.0	0.03382324737411188	0.0	0.0	0.0	0.021723818084460732	0.008564353423663096	0.0074760967028272285	0.0	0.04850755714067529	0.0	0.05437241579091087	0.0	0.046114874440157924	0.0
ENSMUSG00000017715	0.0434530016792512	0.0	0.027950732678814424	0.0	0.0	0.0	0.11842193488013619	0.0	0.03756340105638163	0.0	0.0	0.0	0.04399361505826855	0.0	0.0	0.0	0.02906159321990029	0.024026652076018506	0.4156627107914735	0.0	0.0739436591544514	0.17919869432054772
ENSMUSG00000117981	0.0	0.0	0.0	0.0	0.0	0.0	0.043149926396470285	0.0	0.011610634213441004	0.0056678843700639775	0.0	0.00832888730566446	0.01311708618285056	0.008410604004820589	0.0	0.03712131213726921	0.012917009824706876	0.0	0.0	0.0	0.04325687942015348	-0.05959263620633672
ENSMUSG00000030815	0.05568883755634134	0.0	0.03265864966457234	0.0	0.0	0.0	0.07498606037480972	0.03349125280993379	0.04454815135414217	0.0	0.0	0.0	0.02714913235873251	0.0	0.0	0.0	0.04247474500368849	0.0	0.13901088209559465	0.0	0.03098511493482392	0.11293163153497418
ENSMUSG00000089781	0.06347860245193407	0.0	0.06616421322510742	0.0	0.0	0.0	-0.04311904864956591	0.0	0.03985323997675153	0.0	0.0	0.03119203762711432	0.032174152461597945	0.0	0.0	0.0	0.04731015212721359	0.0	-0.05390542838558449	-0.03518088764795135	0.0	-0.08235918506044737
ENSMUSG00000095914	-0.34334090642766035	-0.19761459029503925	-0.1878057174037813	0.0	0.0	0.0	-0.22934180983886937	0.0	-0.2807653140164521	0.0	0.0	0.0	-0.23614653186040369	0.0	0.0	0.0	-0.2457082346958505	0.0	-0.702159222342337	0.0	-0.5984860890703738	-0.199599835616838
ENSMUSG00000028626	0.04481688097551343	0.030916706655658616	0.024737836525303234	0.0	0.0	0.0	0.09772729007417856	0.0	0.029425646022542246	0.0	0.0	0.0	0.011810651239263953	0.0	0.0023593697327370933	0.0	0.03217559323225029	0.0	0.24352321738670593	0.0	0.05691783763224744	0.0
ENSMUSG00000048721	0.034699190659994245	0.0	0.05642532123470176	0.0	0.0	0.0	-0.07035456014160976	0.0	0.028228520837429914	0.03427522806811831	0.0	0.0	0.0	0.0	0.03704710204573143	0.0	0.04834003649711084	0.0	-0.12642648414198787	-0.036166145748421016	0.0	-0.07227487826568191
ENSMUSG00000040148	0.07497151246022359	0.01811630766468419	0.07132234879069928	0.0	0.0	0.0	0.07959784038565756	0.0	0.028705048937108995	0.0	0.0	0.0	0.02011432878933175	0.0	0.0	0.0	0.07177733847849593	0.0	0.26844068901479784	0.010160333652580955	0.05381382374514257	0.0
ENSMUSG00000038005	0.04287559540187249	0.024082705640783075	0.03488778076853442	0.0	0.0	0.0	0.056967151500013566	0.0	0.04475166881999788	0.0	0.0	0.0	0.040955156017457334	0.0	0.0	0.0	0.0	0.022914847847583044	0.36111891785210914	0.0	0.058081090286080966	0.1265221623619275
ENSMUSG00000112324	0.09231560495324456	0.0	0.01810138754648219	0.0	0.0	0.0	0.05768136962283092	0.0	0.05967731952176737	0.01710622303903319	0.0	0.0	0.018300281834947807	0.01558670412027563	0.02476629434346106	0.0	0.07734984612675098	0.0	0.5161029384272691	0.0	0.0	0.0
ENSMUSG00000074811	0.05998571069452147	0.0	0.05330119254017301	0.0	0.0	0.0	0.1414601868459838	0.0	0.027044565538620113	0.0	0.0	0.0	0.03586429356050616	0.0	0.0	0.0	0.030166342936775486	0.0	0.18261159430567672	0.024688213253138063	0.11206865504343608	0.04769173319262864
ENSMUSG00000085329	0.017644910428450025	0.023034572528081623	0.0	0.0	0.0	0.0	-0.09820839738357356	0.05310478496891023	0.03219805006119538	0.0	0.0	0.05533565710092596	0.02035649537235623	0.0	0.0	0.02961559902309912	0.031022150095911083	0.0	0.0	0.0	0.04045937317078481	0.0
