	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031486	0.06381382048130035	0.030809039250016212	0.06741077452898026	-0.00888954196125269	-0.03287573158740997	0.004943923559039831	0.1682066172361374	0.019023727625608444	0.054175008088350296	-0.0011398096103221178	-0.015903256833553314	-0.05658646672964096	0.028875412419438362	-0.018113143742084503	0.024395152926445007	-0.05199715495109558	0.078834168612957	-0.002638689475134015	0.1985221654176712	-0.004569580312818289	0.05202827975153923	0.030885739251971245
ENSMUSG00000039055	0.058620259165763855	0.021267879754304886	0.03737058490514755	-0.0179494209587574	-0.0342458076775074	0.002946587512269616	0.09736724197864532	0.1588679552078247	0.04617726802825928	-0.004114651121199131	-0.007243090309202671	-0.07702804356813431	0.04821671545505524	-0.0076936399564146996	0.027926452457904816	-0.0076676649041473866	0.05207480490207672	0.016210218891501427	0.5463594794273376	-0.07175424695014954	0.07411239296197891	0.3003060817718506
ENSMUSG00000096794	-0.0013663321733474731	-0.014446237124502659	0.000338994461344555	-0.0012309394078329206	-0.007384008262306452	-0.01712069660425186	-0.10597047954797745	-0.02319526858627796	-0.020337022840976715	-0.019939906895160675	0.0009611777495592833	0.005633181426674128	0.01024231780320406	0.009098299778997898	0.001418262138031423	0.006077727302908897	0.04503029212355614	-0.0049689216539263725	-0.08836767822504044	-0.03271958976984024	0.022136535495519638	-0.03748663514852524
ENSMUSG00000097558	0.016500942409038544	0.011982676573097706	0.06479859352111816	-0.026744026690721512	-0.02060624770820141	0.0039196861907839775	0.08137031644582748	0.04548199102282524	0.016585413366556168	-0.0045069982297718525	-0.010903585702180862	-0.037489622831344604	0.020984720438718796	-0.011649597436189651	0.014403853565454483	-0.007884176447987556	0.0809628963470459	0.005113859195262194	-0.14312715828418732	-0.035261739045381546	0.015557139180600643	-0.021228209137916565
ENSMUSG00000059481	0.036013249307870865	-0.005468450020998716	0.04625653848052025	-0.0062054600566625595	-0.011302346363663673	-0.010990837588906288	-0.018229933455586433	-0.038829926401376724	0.02578008733689785	-0.0011534987716004252	0.0050101857632398605	0.009815368801355362	0.026166576892137527	0.019948337227106094	0.030631279572844505	0.0028914830181747675	0.09209977090358734	0.012754421681165695	-0.21735389530658722	-0.033486608415842056	0.017446231096982956	-0.04921051487326622
ENSMUSG00000037001	0.04520661383867264	0.01053231954574585	0.06299517303705215	-0.026247236877679825	-0.025880401954054832	-0.0039495667442679405	0.009252151474356651	0.12678049504756927	0.03394368663430214	0.00017371505964547396	-0.0064603411592543125	-0.07029539346694946	0.024047568440437317	-0.021457621827721596	0.025834016501903534	0.03631236404180527	0.060831304639577866	0.001571171684190631	0.07858970016241074	-0.027660617604851723	0.02445298433303833	0.17571061849594116
ENSMUSG00000109371	0.056791577488183975	-0.0013134824112057686	0.058875590562820435	-0.003545774845406413	-0.014250705018639565	-0.0168628953397274	0.019153114408254623	-0.017480654641985893	0.04758807644248009	0.011148554272949696	-0.0006924918852746487	0.028122175484895706	0.023107165470719337	0.01727955974638462	0.04140927642583847	-0.007491073105484247	0.07749809324741364	0.012716550379991531	-0.02260262705385685	-0.011598106473684311	0.01526353508234024	-0.046076882630586624
ENSMUSG00000034333	0.06746453046798706	0.024076862260699272	0.05081243813037872	-0.01793706975877285	-0.05542626231908798	-0.0006509245140478015	0.09824313223361969	0.14965495467185974	0.05544684827327728	-0.004790665581822395	-0.00795820727944374	-0.07789762318134308	0.06278879940509796	-0.011530106887221336	0.033306919038295746	-0.0047123790718615055	0.06507270783185959	0.01821998320519924	0.29578009247779846	-0.05289936438202858	0.05282982811331749	0.27153250575065613
ENSMUSG00000097080	0.0688360184431076	0.030509043484926224	0.04039311408996582	-0.007700297981500626	-0.043658576905727386	0.0010815068380907178	0.20372910797595978	0.09699173271656036	0.05133405327796936	-0.02817654423415661	-0.02148505486547947	-0.05503155291080475	0.0711669772863388	-0.008920704945921898	0.006721962243318558	-0.02844761684536934	0.05442889779806137	0.0192380640655756	0.46983611583709717	-0.00847915094345808	0.1036149337887764	0.2097155749797821
ENSMUSG00000107241	0.024670101702213287	0.002162038581445813	0.02123979851603508	-0.0035449396818876266	-0.006426921114325523	-0.004486888647079468	-0.014552384614944458	-0.0031841490417718887	0.01754283718764782	0.0051195817068219185	0.004291552118957043	0.0032489884179085493	0.036666300147771835	0.02291148714721203	0.0246327705681324	-0.01616927608847618	0.051897693425416946	0.016328979283571243	-0.016720378771424294	-0.020288679748773575	0.07413072884082794	-0.03853779658675194
ENSMUSG00000110053	0.06874465197324753	0.0022214222699403763	0.052181221544742584	-0.006612179335206747	-0.007264222949743271	-0.010906679555773735	0.08207978308200836	0.00466891098767519	0.06460438668727875	-0.0029847777914255857	-0.0024136481806635857	-0.006539964582771063	0.03699309751391411	0.01546646747738123	0.03325846791267395	-0.012807495892047882	0.10044599324464798	0.005213500931859016	0.10743831843137741	0.0010546190897002816	0.0709419995546341	-0.045629072934389114
ENSMUSG00000017715	0.07290074229240417	0.03390089422464371	0.05438118055462837	-0.010504372417926788	-0.03493405506014824	0.0012462153099477291	0.1797080785036087	0.06983036547899246	0.05558568611741066	-0.011568889953196049	-0.017802098765969276	-0.06913536787033081	0.05517781898379326	-0.014982661232352257	0.006423062179237604	-0.029540037736296654	0.060103513300418854	0.011366568505764008	0.5026184916496277	-0.000528913049492985	0.08315883576869965	0.22495481371879578
ENSMUSG00000117981	0.02612721361219883	-0.007464227266609669	0.01260472647845745	-0.002873121527954936	-0.010660389438271523	-0.01411796547472477	0.09544383734464645	0.013117145746946335	0.0407760851085186	0.008419767953455448	0.00025651900796219707	0.005756971891969442	0.031721871346235275	0.017573626711964607	0.015037895180284977	0.03534442558884621	0.0560462512075901	-3.663942334242165e-05	0.021048778668045998	-0.01415448822081089	0.057495422661304474	-0.034392088651657104
ENSMUSG00000030815	0.07491312175989151	0.029557008296251297	0.06256605684757233	-0.02481973171234131	-0.0397324301302433	-0.004117736127227545	0.11281613260507584	0.104531429708004	0.059812501072883606	-0.007007494103163481	-0.008880223147571087	-0.03421557694673538	0.03907586261630058	-0.010427918285131454	0.01525038480758667	-0.013524310663342476	0.08037693798542023	0.015123642981052399	0.22136299312114716	-0.03924373909831047	0.03656890243291855	0.15302257239818573
ENSMUSG00000089781	0.07252158224582672	0.0012729077134281397	0.09535744786262512	-0.004272843711078167	-0.00726050091907382	-0.008123859763145447	-0.025813134387135506	-0.015865786001086235	0.051156628876924515	0.00932910107076168	0.004704924300312996	0.013106194324791431	0.030740372836589813	0.018040714785456657	0.015890812501311302	0.005839552730321884	0.08928686380386353	0.01652548462152481	-0.021760420873761177	-0.013742635026574135	0.0196661539375782	-0.05190770700573921
ENSMUSG00000095914	-0.3283637762069702	-0.2531704902648926	-0.24015431106090546	0.13544605672359467	0.12273404002189636	-0.1182815283536911	-0.25366127490997314	0.018435122445225716	-0.3884311616420746	0.03657745197415352	-0.008802126161754131	0.02691488340497017	-0.21491773426532745	-0.1021617203950882	-0.01663481630384922	0.1660357117652893	-0.3321872651576996	-0.11515112221240997	-0.6374456286430359	0.4584956765174866	-0.8822383284568787	-0.06492218375205994
ENSMUSG00000028626	0.07999414205551147	0.05044616386294365	0.060384031385183334	-0.00782022625207901	-0.02423975057899952	0.005334317684173584	0.1755480021238327	0.0017296384321525693	0.06388476490974426	0.004509293474256992	-0.015163162723183632	-0.0274191927164793	0.03213641047477722	-0.008251958526670933	0.02377711795270443	-0.047700077295303345	0.07701035588979721	-0.005367602221667767	0.3189903497695923	-0.010756410658359528	0.07800927013158798	-0.021540554240345955
ENSMUSG00000048721	0.042949751019477844	0.007764122448861599	0.0749044269323349	-0.004007620736956596	-0.0008203370380215347	-0.00851310696452856	-0.061189766973257065	-0.005260123405605555	0.036384522914886475	0.023505188524723053	0.010035387240350246	-0.013202841393649578	0.025119373574852943	0.020636437460780144	0.04736623167991638	-0.007963518612086773	0.08668394386768341	0.031977687031030655	-0.09848149120807648	-0.027086332440376282	0.030821681022644043	-0.048746414482593536
ENSMUSG00000040148	0.11465395987033844	0.04459267482161522	0.11982469260692596	-0.01337500475347042	-0.03204857558012009	0.0005921698175370693	0.15675729513168335	-0.008618283085525036	0.05473572760820389	-0.003135919338092208	-0.011208081617951393	-0.048734426498413086	0.027319524437189102	-0.01922905445098877	0.01854591816663742	-0.07813405245542526	0.12892155349254608	0.008545272052288055	0.3553581237792969	0.01145210862159729	0.0755133107304573	0.02377450466156006
ENSMUSG00000038005	0.07298224419355392	0.03343329578638077	0.06298282742500305	-0.02088250406086445	-0.04410303756594658	0.000747213838621974	0.09073413163423538	0.09271474927663803	0.0593496598303318	-0.0019216290675103664	-0.012421287596225739	-0.07168355584144592	0.052699681371450424	-0.007563123479485512	0.022155921906232834	-0.020189907401800156	0.0457981638610363	0.023799771443009377	0.4481029510498047	-0.026085471734404564	0.06464555114507675	0.17694532871246338
ENSMUSG00000112324	0.11427202820777893	0.016732918098568916	0.04254339262843132	-0.015532271936535835	-0.010600482113659382	-0.008215033449232578	0.10168467462062836	0.017283551394939423	0.08738125115633011	0.0159286055713892	-0.009781461209058762	-0.011486969888210297	0.030865788459777832	0.020030489191412926	0.04644948989152908	-0.015756823122501373	0.12621131539344788	0.008056959137320518	0.5636330246925354	0.02525830827653408	0.03466704487800598	-0.0535539910197258
