	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031486	0.031510046212426986	0.007329020863666047	0.029682579749485797	0.0	0.0	0.0	0.09733368120594148	0.0	0.0262373586965827	0.0	0.0	0.0	0.008811363392251175	0.0	0.0	0.0	0.026933884338008026	0.0	0.10073341277835758	0.009013385810164986	0.02740651630727843	0.0
ENSMUSG00000039055	0.036471140734204	0.0	0.0	0.0	0.0	0.016308755274323183	0.05821713095556458	0.05987095482206901	0.02984568401392213	0.0	0.0	0.0	0.019265083042115792	0.0	0.0	0.0	0.02567779846206298	0.0	0.43776743084005226	0.0	0.060972668982289015	0.2515115851167355
ENSMUSG00000096794	-0.017329374445323942	0.0	-0.020378885358161514	0.0	0.0	0.0	-0.13458534452444773	-0.030898953968507496	-0.030890621814348342	-0.02517261154289996	0.0	0.0	0.0	0.0	-0.016884694478454754	0.0	0.0	0.0	-0.1285713983493298	-0.05774055812081799	0.0	-0.0753635735636412
ENSMUSG00000097558	-0.01017156110303924	0.0	0.024821191368452154	0.0	0.0	0.0	0.0468060215250834	0.0	0.0	0.0	0.0	-0.02545054179335451	0.009857322023007105	0.0	0.0	0.0	0.03310382043676808	0.007468631956055794	-0.2245382472586168	0.0	0.01704431027316186	-0.08489922271439163
ENSMUSG00000059481	0.028678492745547644	0.0	0.02606892552233628	0.0	0.0	0.0	-0.03548447132682825	-0.023446491639622445	0.0	0.0	0.0	0.0	0.020685279138415058	0.01989050639813326	0.0	0.0	0.049022073832465554	0.0	-0.2682882600230916	-0.056599111982948716	0.0	-0.09216399564598278
ENSMUSG00000037001	0.012168478438377655	0.0	0.018170829553274374	0.0	0.0	0.0	0.0	0.034727495967589346	0.021080769168941423	0.0	0.0	0.0	0.00819211186261476	0.0	0.012980592299531224	0.0088333545172553	0.01501187496285099	0.0	0.0	0.0	0.02520986810891452	0.11368814629869665
ENSMUSG00000109371	0.04020867752361673	0.0	0.03609736110842264	0.0	0.0	0.0	0.0	-0.020917421885819323	0.034489526604349736	0.0	0.0	0.043686235084232666	0.0	0.0	0.022543042743674375	0.0	0.03442816378483404	0.0	-0.0754354206714098	-0.023424593826286543	0.0	-0.08885602319837684
ENSMUSG00000034333	0.037902908138434104	0.0	0.026054843961139218	0.0	0.0	0.0	0.05859913725674274	0.056406824204669026	0.037260658050188515	0.0	0.0	0.0	0.04146603609611316	0.0	0.0	0.0	0.03757729947846215	0.0	0.1807087818848816	0.0	0.051501364015652314	0.21972999883173824
ENSMUSG00000097080	0.043828725828220415	0.02647416556351727	0.0	0.0	0.0	0.0	0.143080407798317	0.026482093806892898	0.03211940368703109	0.0	0.0	0.0	0.05440560222169295	0.0	0.0	0.0	0.0	0.027388869396325233	0.36960875426561535	0.0	0.09450512024735477	0.14358553925747308
ENSMUSG00000107241	0.0	0.0	0.0	0.0	0.0	0.0	-0.0402109971430293	0.0	0.0	0.0	0.0	0.015716674943448878	0.02808253610075502	0.017032494229405813	0.010620443079898276	0.0	0.016097507363979247	0.0	-0.07408021064265166	-0.036261917101172346	0.053100779060902124	-0.07338501665261868
ENSMUSG00000110053	0.04094834307899164	0.0	0.022736870223244745	0.0	0.0	0.0	0.028525668024189512	0.0	0.03206475769151665	0.0	0.0	0.0	0.020555789124170165	0.0072321815361160655	0.0059243603298325676	0.0	0.046139166546811716	0.0	0.0396014929449103	0.0	0.042206952930856904	0.0
ENSMUSG00000017715	0.04242227309152777	0.0	0.02692969514117565	0.0	0.0	0.0	0.11624374780393605	0.0	0.0366980066275755	0.0	0.0	0.0	0.04399294742734717	0.0	0.0	0.0	0.027899133056326977	0.02304390957913449	0.4004384925859691	0.0	0.07133921377112999	0.16913340288089568
ENSMUSG00000117981	0.0	0.0	0.0	0.0	0.0	0.0	0.043153309014205554	0.0	0.014598907709755785	0.0	0.0	0.012530430072830471	0.015888635664827108	0.01216181433056257	0.0	0.04035174851221133	0.01560636586545921	0.0	0.0	-0.04359333321239962	0.04243762530786714	-0.06428308856644127
ENSMUSG00000030815	0.054713148966577314	0.0	0.03174385830253637	0.0	0.0	0.0	0.07212189067208973	0.03158771433443809	0.04378389459026822	0.0	0.0	0.0	0.026492112795941325	0.0	0.0	0.0	0.04128879683744497	0.0	0.1255505383949474	0.0	0.028684664908489876	0.10282266493465442
ENSMUSG00000089781	0.06201057632052305	0.0	0.06429751536633095	0.0	0.0	0.0	-0.04685405894194611	0.0	0.038602550975912496	0.0	0.0	0.031116621540538947	0.03168823895770929	0.0	0.0	0.0	0.04567291997608835	0.0	-0.06781235750546927	-0.037106624497787295	0.0	-0.09114270701595606
ENSMUSG00000095914	-0.3445685317977192	-0.19795103366737754	-0.18893724401789155	0.0	0.0	0.0	-0.2344562298685792	0.0	-0.2822239572104645	0.0	0.0	0.0	-0.238877445633851	0.0	0.0	0.0	-0.24623778540993926	0.0	-0.7154620878212353	0.0	-0.6002781103533378	-0.20711099873743538
ENSMUSG00000028626	0.048180215780098776	0.03591526893050757	0.032312448735319424	0.0	0.0	0.0	0.10135051443442546	0.0	0.033059605120452425	0.0	0.0	0.0	0.018986605830386936	0.0	0.0	0.0	0.035122011713898484	0.0	0.23787932153803543	0.0	0.060533467121509886	-0.06406360267845901
ENSMUSG00000048721	0.03335722704609218	0.0	0.05502146297894559	0.0	0.0	0.0	-0.07370577716996875	0.0	0.027108807511275673	0.03297945923855117	0.0	0.0	0.0	0.0	0.036312319398102505	0.0	0.04683290093576307	0.0	-0.14056262453935342	-0.03725979931197158	0.0	-0.08142581799227591
ENSMUSG00000040148	0.07264048365039259	0.01636130325964115	0.06852040825852398	0.0	0.0	0.0	0.07610937496000238	0.0	0.02680292798527713	0.0	0.0	0.0	0.020633128930562163	0.0	0.0	0.0	0.06750164714465455	0.0	0.2527934818417147	0.010200424399233965	0.050321218538494694	0.0
ENSMUSG00000038005	0.041999517701244445	0.023496205523575675	0.033737541349873994	0.0	0.0	0.0	0.05410591447714833	0.0	0.043902539296884126	0.0	0.0	0.0	0.04042550729272676	0.0	0.0	0.0	0.0	0.022287347901005252	0.34584023012319526	0.0	0.05583105185779781	0.11639604802268239
ENSMUSG00000112324	0.09027696978305265	0.0	0.01609541178997911	0.0	0.0	0.0	0.05493649561679906	0.0	0.057620009228873434	0.014474704717076176	0.0	0.0	0.01657892008701955	0.014035154480907419	0.022947539785270643	0.0	0.0749887311365026	0.0	0.4998988599603568	0.0	0.0	0.0
ENSMUSG00000074811	0.05880610252576392	0.0	0.050891730441867414	0.0	0.0	0.0	0.13875592606210224	0.0	0.026274970362389016	0.0	0.0	0.0	0.036602826488129105	0.0	0.0	0.0	0.028629536136292842	0.0	0.16800388917482495	0.024331394807883943	0.10981358851631563	0.037637350445665047
ENSMUSG00000085329	0.0	0.03164482120485862	0.0	0.0	0.0	0.0	-0.09566388384645713	0.06010555865278121	0.04061614850164048	0.0	0.0	0.06446936904652725	0.029101463703885937	0.0	0.0	0.038574789318458785	0.03403096201677475	0.0	-0.08067831991399119	0.0	0.047227113731436794	0.0
ENSMUSG00000113381	-0.3119946075267663	-0.22494063178669063	-0.1578967456517324	0.0	0.0	0.0	-0.27223638453628946	0.0	-0.28324918614943567	0.0	0.0	0.0	-0.22603592519341897	0.0	0.0	0.0	-0.2338819519217992	0.0	-0.7256528967100919	0.0	-0.6344950892866603	-0.18572000575494524
ENSMUSG00000096898	-0.28617921649726513	-0.2269454833301179	-0.19852066997859397	0.0	0.0	0.0	-0.2417514976572817	0.0	-0.29229688727087205	0.0	0.0	0.0	-0.24782395088169393	0.0	0.0	0.0	-0.2884890504969624	0.0	-0.6702670859444207	0.0	-0.6018861488534577	-0.20194343360716482
ENSMUSG00000006288	-0.040118208488501755	0.007816074236292492	0.0	-0.02558195391405043	0.04657768812753731	0.0	0.04649435728937669	0.04527205503612177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21445546022349685	0.010399262135071719	0.03371084713241556	0.10933361134013597
ENSMUSG00000048661	0.0	0.029893677873121235	0.0	0.0	0.0	0.0	0.11595193378660844	0.05328331091871596	0.0	0.0	0.0	0.0	0.04642808385376597	0.0	0.0	0.0	0.0269231505899592	0.029998389891723647	0.05913707717761754	0.03047318116253549	0.050260490804092624	0.185123016900378
ENSMUSG00000121107	0.02857744477304048	0.022238224760992353	0.041504881321148795	0.0	0.0	0.0	0.07169550598052257	0.04686837631443322	0.040818971945603286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04598063369332935	0.0	0.3238470230891799	0.0	0.07844203809564636	0.1379860422654751
ENSMUSG00000068037	-0.3280940767301757	-0.19735884570959236	-0.18343948286099465	0.0	0.0	0.0	-0.2298145900066611	0.0	-0.31256649416194926	0.0	0.0	0.0	-0.25562376933166314	0.0	0.0	0.0	-0.2345915782023976	0.0	-0.7136589142387788	0.0	-0.6098306606981545	-0.19112501257746362
ENSMUSG00000091239	-0.035385544940542066	0.0	-0.03464957892422012	0.0	0.0	0.0	-0.12146487520504146	-0.08403190266808255	0.0	0.0	0.0	0.0	0.0	0.0	-0.033563464549856294	0.0	-0.03403593361406589	-0.027996190504441243	-0.15220716978508042	-0.08148889643593824	0.0	-0.06028348326989605
ENSMUSG00000101700	0.05589348179832033	0.02055488958597489	0.04131552575105605	0.0	0.0	0.0	-0.06136018911428226	0.0	0.0	0.0204406359476359	0.0	0.0	0.0	0.0	0.034971946716764034	0.0	0.05326963251427971	0.0	-0.2590184010520584	0.0	0.021595633729879382	-0.08863801436871281
ENSMUSG00000117539	-0.011842958464112208	0.0	0.0	0.0	0.0	0.0	-0.0958598997408474	-0.03886298666047895	-0.022106733671242045	0.0	0.0	0.0	0.0	0.0	-0.018944768584680843	0.0	-0.02959727522292904	-0.012232591338176635	-0.14889514971201945	-0.07430330825272226	0.0	-0.09382595221907171
ENSMUSG00000090457	0.05218459484525238	0.0	0.0	0.0	0.0	0.0	-0.12196757613229663	0.0	0.038980621956162496	0.0	0.0	0.04003434561475939	0.0	0.022774503304444166	0.04553412505219532	0.0	0.03975066632071839	0.0	-0.18916487755641923	-0.06122765601019208	0.0	-0.10157755056884239
ENSMUSG00000003623	0.02022682546340973	0.013852449461747773	0.017002492155753758	0.0	0.0	0.0	0.03300260520750496	0.032707558420303935	0.013429806796066908	0.0	0.0	0.0	0.022199260288644274	0.0	0.008713667662240354	0.0	0.0	0.0	0.0	0.0	0.020968378196598098	0.05829804723936899
ENSMUSG00000036390	0.0	0.02886516665228682	0.02444699755584176	0.0	0.0	0.015165823255953503	0.23981856130311963	0.0	0.02992815769991599	0.0	0.0	0.0	0.02735130954218431	0.0	0.0	0.0	0.0	0.025668412212706285	0.6286975569007646	0.0	0.25583859946553267	0.12711078478577068
ENSMUSG00000074997	0.07764778226091934	0.0	0.0	0.0	0.0	0.0	0.11508758612670793	-0.06253402607182769	0.0	0.014619711664234702	0.014173089163279943	0.0	0.0	0.0	0.0	0.010800858606700325	0.03900821008473003	0.0	0.13557743302034855	0.0	0.09430904744258722	-0.06655810452264924
ENSMUSG00000043602	0.033257829555967074	0.011219041139299168	0.037019241710153014	0.0	0.0	0.0	0.0	0.04917978051345535	0.04337117786123544	0.0	0.0	0.0	0.0	0.0	0.038331516735650537	0.0	0.042247678475236805	0.0	0.07524102978428608	0.0	0.02267099153566474	0.1688702126764547
ENSMUSG00000028457	0.038173783801456945	0.01206637855971492	0.03187343813480065	0.0	0.0	0.0	0.0	-0.029328667544371904	0.032707168365189186	0.0	0.0	0.0	0.01579971774595073	0.0	0.0	-0.023005554230916575	0.0404576950829055	0.0	-0.056612602130359756	0.0	0.020841222620189483	0.0
ENSMUSG00000026514	0.03339698853760753	0.0	0.036983129615473564	0.0	0.0	0.0	0.0	0.0	0.022101771013583318	0.012502263677836457	0.0	0.0	0.00876710530726825	0.0	0.01498889526728017	0.0	0.040029454053278776	0.0	-0.19404802404748556	0.0	0.012775096662449224	0.028030510390833843
ENSMUSG00000045410	0.051461238626092386	0.0	0.0195321715715075	0.0	0.0	0.0	-0.05416587142156026	0.0	0.02042164896192416	0.0	0.0	0.0	0.015185662612927371	0.0	0.018200430638684883	0.02208828273308534	0.03579238197655291	0.0	-0.14313680524010686	0.0	0.019923312792055118	0.0
ENSMUSG00000041417	0.015253962095517326	0.0	0.0	0.0	0.0	0.0	0.08103654247167763	0.07882888568840922	0.021665808513662437	0.0	0.0	0.0	0.02174082436357445	0.0	0.023904325276154048	0.01822077612246642	0.026791781665285223	0.0	0.0	0.0	0.036676268566948285	0.2044172360761401
ENSMUSG00000020656	0.03353533972489318	0.0	0.018358642554848252	0.0	0.0	0.0	0.029324082233319847	0.0374096282222632	0.019921261841616675	0.0	0.0	0.0	0.0	0.0	0.014354472504663252	0.005704849932044009	0.024989952667725652	0.0	0.0	0.0	0.01205528582553606	0.13850726113950465
