	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031486	0.013708754589901291	0.0	0.0	0.014917890103983422	0.0	0.0	0.0	0.09251739789426754	0.010961907040660468	0.011560965527854386	0.0	0.0	0.0	0.0	0.0	0.14287431628697497	0.0	0.015732044687768006	0.016518612611536792	0.13090123006170237	0.0	0.03290216339160228
ENSMUSG00000039055	0.01706851794818405	0.0	0.0	0.022304878485769133	0.0	0.01713159015208965	0.0	0.15747314382340172	0.0	0.015929949422122742	0.0	0.0	0.0	0.0	0.0	0.22794588544232883	0.0	0.051506031817079884	0.06310975925371258	0.3183201436892446	0.0	0.3339185849726059
ENSMUSG00000096794	0.0	0.0	0.0	-0.01675050885835272	0.0	0.0	-0.022918430958633513	-0.13990266362599593	-0.018057595337473347	-0.06197996648955268	0.0	0.0	0.0	0.0	0.0	-0.17551024788522235	0.0	-0.04415759424563829	-0.059847670874403076	-0.1437845057564488	0.0	-0.11432333714536445
ENSMUSG00000097558	0.0	0.0	0.0	0.0	0.0	0.012637042858022286	0.0	0.09753321205257494	0.0	0.0	0.0	-0.01893580763818342	0.01562685556556469	0.0	0.0	0.18022049014091174	0.013263307440438615	0.0	-0.04663206411290847	-0.03660739758557829	0.03125201450783984	-0.07067116817732018
ENSMUSG00000059481	0.0	0.0	0.0	-0.02251954463996666	0.0	0.0	0.0	-0.16071229956299285	0.0	0.0	0.0	0.014994339266491805	0.009306937388377845	0.013810261604458985	0.0	-0.05949281285169051	0.01895008738506584	0.0	-0.058960900806704034	-0.22946676908912197	0.0	-0.15646571580224763
ENSMUSG00000037001	0.00252160555929426	0.0	0.0	0.004504349609485368	0.0	0.005625642703691742	0.0	0.1588887631044372	0.00599265594248552	0.006527168979291631	0.0	0.0	0.0	0.0	0.0	0.23088468965882208	0.0	0.015148658108856858	0.0	0.1102566146145325	0.0	0.20326940039675392
ENSMUSG00000109371	0.017330459775318056	0.0	0.0	0.016316735460854548	0.0	0.013612981990382245	0.0	-0.12355255199846567	0.0	0.031583190265924495	0.0	0.03136881368226269	0.0	0.0	0.0	-0.05167661429963276	0.0	0.0	-0.036968507230198934	-0.09177574861416467	0.0	-0.1164157997291711
ENSMUSG00000034333	0.016348617273624258	0.0	0.0	0.026391988356337003	0.0	0.0	0.01783884616584803	0.16867876971783707	0.0	0.015382919081895485	0.0	0.0	0.0	0.0	0.0	0.2072829853153342	0.0	0.05026033033796869	0.029990583148725714	0.3847096091857924	0.0	0.3266682024967845
ENSMUSG00000097080	0.015263683477777068	0.01530372633702257	0.0	0.028874894980104603	0.0	0.0	0.0	0.14398658160092603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23203568281179798	0.0	0.0622017621089742	0.059170601856697196	0.2721089696373225	0.015762123486502664	0.22000716780823032
ENSMUSG00000107241	0.0	0.0	0.0	0.02008943183666513	0.0	0.010070662266328523	0.0	-0.09644750412510364	0.0	0.0	0.0	0.011797786320900679	0.0	0.016769754724863053	0.0	-0.05760596376789337	0.0	0.013346433911165547	-0.03941668794404485	-0.09080923330363955	0.0	-0.07930694333723243
