	AFF4 mean gb	AFF4 mean promoter	BRD4 mean gb	BRD4 mean promoter	CDK9 mean gb	CDK9 mean promoter	H3K4me3 mean gb	H3K4me3 mean promoter	HEXIM1 mean gb	HEXIM1 mean promoter	RBBP5 mean gb	RBBP5 mean promoter	DPY30 mean gb	DPY30 mean promoter	INTS11 mean gb	INTS11 mean promoter	NELFA mean gb	NELFA mean promoter	ZC3H4 mean gb	ZC3H4 mean promoter	SET1A mean gb	SET1A mean promoter
ENSMUSG00000031486	0.017103461548686028	0.027070894837379456	0.018515747040510178	0.021509576588869095	-0.007621023803949356	0.009172175079584122	0.02231016382575035	0.13996648788452148	0.018733380362391472	0.01573583297431469	-0.013412709347903728	-0.04626602306962013	0.0006797084352001548	-0.028895733878016472	-0.03368544206023216	0.23206539452075958	0.021850354969501495	0.034381747245788574	0.027078650891780853	0.20978641510009766	0.0009857851546257734	0.09013960510492325
ENSMUSG00000039055	0.016560271382331848	0.014683037996292114	0.005583133082836866	0.012246869504451752	-0.004722791723906994	0.0039891148917376995	0.016122551634907722	0.23371544480323792	0.011147631332278252	0.0018572966801002622	-0.008347013965249062	-0.05934086814522743	0.007213379256427288	-0.03573938459157944	-0.02546752616763115	0.36022594571113586	0.00871775671839714	0.0659201368689537	0.07635166496038437	0.4054451882839203	0.00848826952278614	0.404667466878891
ENSMUSG00000096794	-0.0044667841866612434	-0.009424831718206406	-0.001665728515945375	-0.0009498178260400891	-0.008962257765233517	0.005235114134848118	-0.014800332486629486	-0.09032093733549118	-0.016819138079881668	-0.04400749132037163	0.002982450183480978	0.012893080711364746	0.00020874151960015297	0.0077433232218027115	0.0021457786206156015	-0.12588417530059814	0.015164426527917385	-0.01810646802186966	-0.05385599285364151	-0.0800255835056305	-0.00816439464688301	-0.07154221832752228
ENSMUSG00000097558	0.0016157071804627776	0.014055640436708927	0.018554801121354103	0.011529573239386082	-0.009876836091279984	0.012226679362356663	0.009999538771808147	0.14880536496639252	-0.0004289976495783776	0.009638265706598759	-0.009781078435480595	-0.034100793302059174	0.010431373491883278	-0.029194694012403488	-0.02022961527109146	0.29870089888572693	0.026302598416805267	0.021463684737682343	-0.044195566326379776	0.024629849940538406	0.013263367116451263	-0.0011142035946249962
ENSMUSG00000059481	0.008496162481606007	0.01720747910439968	0.015333183109760284	-0.008003645576536655	-0.010585281066596508	0.008337695151567459	0.004206055775284767	-0.12920820713043213	-0.003978520166128874	0.02470877207815647	-0.000757455884013325	0.014039939269423485	0.009407419711351395	0.022579500451683998	0.004314161371439695	-0.03766141086816788	0.03369796648621559	0.02134641446173191	-0.05693173408508301	-0.16719503700733185	0.0015984093770384789	-0.10689915716648102
ENSMUSG00000037001	0.010673212818801403	0.008814414963126183	0.018100285902619362	0.0031907977536320686	-0.00960485264658928	0.0014568184269592166	0.0060886661522090435	0.24071350693702698	0.007161714602261782	0.005951728206127882	-0.008266080170869827	-0.060942597687244415	-0.0009596467716619372	-0.04061136394739151	-0.027358874678611755	0.3827592432498932	0.01560473907738924	0.0317835658788681	-0.0015764477429911494	0.18553480505943298	-0.010136996395885944	0.2798519730567932
ENSMUSG00000109371	0.01718606986105442	0.02012988179922104	0.01645057275891304	0.025174923241138458	-0.009024707600474358	0.006075482349842787	0.007725337520241737	-0.09236253052949905	0.010541830211877823	0.056375935673713684	-0.0067345560528337955	0.026911992579698563	0.008265670388936996	0.02337324060499668	-0.0020515595097094774	-0.030942432582378387	0.023986907675862312	0.025866109877824783	-0.032165322452783585	-0.028985118493437767	-0.005731177516281605	-0.0756344348192215
ENSMUSG00000034333	0.019158588722348213	0.016893796622753143	0.01133702415972948	0.014308011159300804	-0.005913563538342714	0.002261105692014098	0.01878962107002735	0.25092369318008423	0.012321680784225464	0.0016493696020916104	-0.008625575341284275	-0.061372604221105576	0.007950888015329838	-0.03781690075993538	-0.03239474445581436	0.35180678963661194	0.011660391464829445	0.06755169481039047	0.046909626573324203	0.4592311978340149	0.0001530445588286966	0.39137884974479675
ENSMUSG00000097080	0.019056325778365135	0.02138434164226055	0.008717214688658714	0.021183764562010765	-0.0035427529364824295	0.004712600260972977	0.00647975318133831	0.20984159409999847	0.0164318960160017	-0.005986555013805628	-0.01486547477543354	-0.03996971249580383	0.011253238655626774	-0.032182157039642334	-0.04672130569815636	0.35376060009002686	0.010321167297661304	0.07554011046886444	0.06931483745574951	0.3610490560531616	0.014817647635936737	0.2987281084060669
ENSMUSG00000107241	0.004221693612635136	0.02025253139436245	0.0018461552681401372	0.036659229546785355	-0.00573386438190937	0.009988578036427498	0.0017208419740200043	-0.06336738914251328	-0.0027849418111145496	0.02959018386900425	-0.0014366375980898738	0.0067047374323010445	0.01152025442570448	0.02883739210665226	-0.0035413983277976513	-0.031238563358783722	0.012748140841722488	0.04209303855895996	-0.03246980905532837	-0.026609690859913826	0.0069123911671340466	-0.042816005647182465
