	PolII mean gb	PolII mean promoter
ENSMUSG00000042849	-0.4245324370908562	-0.4677929730559492
ENSMUSG00000105011	-0.4864432564746396	-0.5432384038144847
ENSMUSG00000102999	-0.6682946011099339	-0.698145844465911
ENSMUSG00000015342	-0.628776235514734	0.2155954007251444
ENSMUSG00000000134	0.3919012636923393	0.2307995364716729
ENSMUSG00000094559	-0.2980985435401303	-0.4203638742520784
ENSMUSG00000074766	-0.4787579335304176	0.3784278825866554
ENSMUSG00000027007	-0.072146458055949	0.8500888444393476
ENSMUSG00000038641	-0.349735228317171	-0.368494985070405
ENSMUSG00000085486	0.1250968181690794	-0.1455400842526287
ENSMUSG00000121042	-0.05326024517137	-0.3623523170920051
ENSMUSG00000105602	-2.2219629478868623	-2.0
ENSMUSG00000005907	-0.0207529248470286	0.7428829564952798
ENSMUSG00000049719	-0.3037921881110852	-0.2981915143508842
ENSMUSG00000023050	0.745957031916541	0.7040175689078515
ENSMUSG00000015133	-0.4322523215872224	0.0517796250011747
ENSMUSG00000027649	-0.288405543038673	-2.0
ENSMUSG00000108315	-0.7190450856998104	-0.1868093680479633
ENSMUSG00000085895	-0.2627692786563855	-0.3448787523484934
ENSMUSG00000013089	0.4816290090513459	0.9707653920485856
ENSMUSG00000029752	0.3239561745194484	0.7254837598966714
ENSMUSG00000053395	0.0374488595463847	-0.0495419186428002
ENSMUSG00000022376	-0.4665541343632773	-0.1570876868089488
ENSMUSG00000013822	-0.1113098221964127	0.5130983525443156
ENSMUSG00000106717	0.2459525999072761	0.2831770298677317
ENSMUSG00000020950	-0.0848520811435507	0.0580151200415624
ENSMUSG00000024050	0.2786032290307808	0.3622109558414844
ENSMUSG00000097893	-0.3734626790554298	0.5281624548334697
ENSMUSG00000051147	-0.3484031680433543	-0.1391202121861346
ENSMUSG00000046750	-0.1535346909362621	0.225080311994326
ENSMUSG00000022131	-0.1241804693444006	0.5699838053846199
ENSMUSG00000103474	-2.0	-2.0
ENSMUSG00000047248	-0.0608646686163585	0.6730566358315281
ENSMUSG00000060477	-0.114983722987713	0.2092205595949992
ENSMUSG00000038806	0.3312364029015617	0.9838928476837464
ENSMUSG00000087404	-0.0861086303215755	0.031866100732647
ENSMUSG00000018417	-0.1539292997298458	0.4483913035461508
ENSMUSG00000018599	-2.0	-2.0
ENSMUSG00000041670	-0.5243110190387003	-0.2604014523245411
ENSMUSG00000120900	-2.0	-2.0
ENSMUSG00000120309	-0.2746058291574889	-0.2090126668682407
ENSMUSG00000029713	0.3449054351842073	0.3096341590847782
ENSMUSG00000097391	0.2826244916363158	0.2161209161561216
ENSMUSG00000092620	-2.0	-2.0
ENSMUSG00000097311	-0.4906107913405036	-0.4588760522536575
ENSMUSG00000103459	-0.6820231671557359	-0.4924419311598894
ENSMUSG00000086446	-0.1625495100434759	0.0420816302551702
ENSMUSG00000106721	-1.0227490041633296	-0.5806221401457764
ENSMUSG00000072884	-0.211971081701343	0.8492123527884783
ENSMUSG00000027111	0.0997748344762663	0.5739157300283372
ENSMUSG00000091304	-0.3873718286797373	-0.4802136171715969
ENSMUSG00000038267	-0.3194138649171005	0.2387905433534259
ENSMUSG00000110774	-0.0657000565949785	-0.0013804795478454
ENSMUSG00000090157	0.1605781413766628	-0.1650641554507709
ENSMUSG00000101981	-2.0	-2.0
ENSMUSG00000022419	-0.0609638566051019	0.6223341110708457
ENSMUSG00000056131	0.0026949414639435	0.7547741063604434
ENSMUSG00000100286	-2.0	-2.0
ENSMUSG00000087084	-0.1799453286009151	-0.0581405010946998
ENSMUSG00000115292	-0.4975856836972824	-0.7342499172278067
ENSMUSG00000057982	-2.0	-2.0
ENSMUSG00000085871	-0.4696307486686745	-0.3055004374014717
ENSMUSG00000057098	-0.3558632318757114	0.2236366160898841
ENSMUSG00000041134	-0.4318329034951117	-0.128112037967245
ENSMUSG00000024841	0.1805626391894385	0.9675069666814315
ENSMUSG00000007867	-0.1827912354054222	0.2547321057452141
ENSMUSG00000060568	-0.3200666671450977	0.3050781294797187
ENSMUSG00000086111	-0.341279040246314	-0.3629762612029199
ENSMUSG00000112030	0.1562254677220743	-0.3547921059135568
ENSMUSG00000094887	-0.7948347960713358	-1.1752817290817308
ENSMUSG00000106767	0.2696232550151618	0.2519858210181499
ENSMUSG00000029161	-0.2071589257097903	0.2170824969484621
ENSMUSG00000075590	-0.0590304690388455	0.2740953283039802
ENSMUSG00000100440	-2.0	-2.0
ENSMUSG00000085077	-0.5720443083456016	-0.4575833941994161
ENSMUSG00000018547	0.0043307798112698	0.8417222739147243
ENSMUSG00000113694	-0.447796283270844	-0.5211176556234987
ENSMUSG00000030160	-0.5076267733926508	-0.6926008066472898
ENSMUSG00000064264	0.1391205332528692	1.0412524544955588
ENSMUSG00000032423	0.5826227960918782	1.0990632402006768
ENSMUSG00000011884	-0.0878748333069257	0.537084894791499
ENSMUSG00000039842	0.0627087289587623	0.949203256469248
ENSMUSG00000026641	0.2397321812533607	0.8230556278023192
ENSMUSG00000052554	-0.2684604885341363	-0.4686382984094177
ENSMUSG00000108244	-0.0448560593001202	0.6578744052553477
ENSMUSG00000075167	-0.6645235193263631	-0.716790333391284
ENSMUSG00000113885	-0.1711916052975581	-0.2449876366417912
ENSMUSG00000051557	0.5281404122010788	0.6169557554616178
ENSMUSG00000117324	-0.4348729644715184	-0.6132819582736139
ENSMUSG00000030218	-0.4711319678441555	-0.4961771544750429
ENSMUSG00000084335	-0.1539118897833219	-0.3449776007298736
ENSMUSG00000112216	-2.0	-1.2938464629557844
ENSMUSG00000120017	-0.4236866004810707	0.4799648776299619
ENSMUSG00000109408	0.02467132174134	0.8405122710432609
ENSMUSG00000053720	-2.0	-2.0
ENSMUSG00000113665	-0.2019603424553508	0.0616128594545776
ENSMUSG00000074272	-0.0666735143934816	0.0623107475041512
ENSMUSG00000058014	-0.4838725884468327	-0.6194116287491753
ENSMUSG00000081849	-0.2631105147234937	-0.1051995039335946
ENSMUSG00000031967	0.100477425279289	0.8646934078985277
ENSMUSG00000103010	-0.7708007369767701	-0.5886937345955111
ENSMUSG00000045569	-0.3816602913650947	-0.5596493688437733
ENSMUSG00000020212	-0.1502644249732721	0.6448806603374232
ENSMUSG00000009076	-0.0793390321778173	0.5567873429980723
ENSMUSG00000006005	0.2058482207894461	0.9293614417581068
ENSMUSG00000097324	-0.2621499506776584	-0.0748838236211143
ENSMUSG00000056050	0.0291387583755299	0.69738737800825
ENSMUSG00000020368	0.2165881770135632	1.1680241865088643
ENSMUSG00000113031	-0.3085471724125418	0.4212803474442369
ENSMUSG00000067722	0.3375064320949776	0.8986854928276417
ENSMUSG00000062980	-0.454744544141173	0.0628266994319733
ENSMUSG00000039523	0.0468946933621129	0.5764218369829893
ENSMUSG00000001751	-0.1849921388825301	0.36639657186724
ENSMUSG00000121341	-0.533051975909511	-0.56772657819846
ENSMUSG00000056004	-0.4382262193158934	0.3734486965845281
ENSMUSG00000094920	-0.2939353234129041	-0.3187104726676268
ENSMUSG00000029299	-0.4661993538322691	-0.2148653743871743
ENSMUSG00000019900	-0.5726279162878862	-0.2716797045919468
ENSMUSG00000084764	-0.3977602208322576	-0.4410217137883926
ENSMUSG00000121875	-0.0613355132777958	0.9323865545615606
ENSMUSG00000026574	-0.4374041275213168	-0.3581520787448848
ENSMUSG00000035161	0.2398599766923986	1.239897692443385
ENSMUSG00000026174	0.1133844650899758	1.1116374853600743
ENSMUSG00000103211	-2.0	-2.0
ENSMUSG00000030887	0.0266660247624114	-0.1401357075546177
ENSMUSG00000022359	-0.0197481739129654	0.5461526103704677
ENSMUSG00000038022	-0.2791722943057599	0.4520585516124606
ENSMUSG00000112367	-0.6885905332810623	-0.5797836291888976
ENSMUSG00000102187	-0.6530938237418457	-0.2386166858105459
ENSMUSG00000090081	-0.4716647986351915	-0.4719965346163081
ENSMUSG00000043485	-0.4266002210422591	-0.4097426498888623
ENSMUSG00000032017	-0.2660117312196824	0.2183283519667342
ENSMUSG00000074059	-0.4003739797386864	-0.3514676473472731
ENSMUSG00000115041	-0.0049884545844552	0.3654310736093469
ENSMUSG00000020326	0.3716618617906247	0.966837689253664
ENSMUSG00000040502	-0.0076182126506805	0.058275855606311
ENSMUSG00000042997	0.0690812736040918	0.8564062963778423
ENSMUSG00000010290	-0.1636919490546203	0.8022390773333982
ENSMUSG00000023286	0.248827550204347	0.7092024152974058
ENSMUSG00000021481	0.1764967007899493	0.6906018228286733
ENSMUSG00000074457	-0.3080424003525269	-0.2069104104506754
ENSMUSG00000111171	-0.3677623148815018	-0.2906655782210936
ENSMUSG00000109028	-0.4999032109216019	-0.4535798229862213
ENSMUSG00000114118	-0.1187127993442917	-0.3255988765115858
ENSMUSG00000054237	-0.1035573564152269	0.6348284179856661
ENSMUSG00000085734	-0.4506144909351175	-0.4367884150436157
ENSMUSG00000025646	0.1432450871064651	0.6779920244273395
ENSMUSG00000032656	-0.2860593302370562	0.7193310797821114
ENSMUSG00000094632	-0.5013622975467182	-0.4371580853612861
ENSMUSG00000106957	-0.5579800503369272	-0.4272706699617628
ENSMUSG00000113200	0.0234878616476969	-0.0354772086228292
ENSMUSG00000083749	-0.3665310394271234	-0.4146572651532884
ENSMUSG00000103313	0.2919018994248334	0.3045246441856967
ENSMUSG00000020562	-0.3830336222453831	0.0062223518031769
ENSMUSG00000040511	0.1152299629323971	0.5195144604025685
ENSMUSG00000005410	0.4215278364174404	0.9305463074851488
ENSMUSG00000090087	-0.4900106120060983	-2.0
ENSMUSG00000000378	-0.0081849242417674	0.9683931617311377
ENSMUSG00000027805	0.1419762517954838	0.6207957177933238
ENSMUSG00000029484	-0.3927204725713002	0.0229477291312661
ENSMUSG00000102975	-0.4433791333325514	-0.3560321142816581
ENSMUSG00000085926	0.0145741397375279	-0.1926061236616366
ENSMUSG00000016757	0.0428869961755745	0.738102037969782
ENSMUSG00000090322	0.0036889828623504	0.398883573415086
ENSMUSG00000055095	-0.6301899462927415	-0.4857289491786007
ENSMUSG00000024350	-0.0692216908069247	0.5166037847614123
ENSMUSG00000014846	0.1983948849866625	0.6464584997534827
ENSMUSG00000000058	-0.5977404020263126	-0.2515255203726061
ENSMUSG00000101435	-2.0	-2.0
ENSMUSG00000070366	-0.4360919496537133	-0.1346348902681336
ENSMUSG00000024457	0.0042168187763152	0.6004251924795853
ENSMUSG00000078575	-0.4632741527617443	-0.5408965914458272
ENSMUSG00000047495	-0.4301728638192523	-0.0843902581509749
ENSMUSG00000097807	-2.0	-2.0
ENSMUSG00000111276	-0.8588390422114006	-0.7008943860421217
ENSMUSG00000113680	-0.600268513408525	-0.6119145694340298
ENSMUSG00000059460	-0.2683891782092819	-0.25285411378596
ENSMUSG00000115161	-0.1131417606124262	-0.1749230323657035
ENSMUSG00000086070	-0.6781373350401447	-0.5836041225866502
ENSMUSG00000109206	-0.0204975495854322	-0.1250770090279005
ENSMUSG00000121366	-0.6665364271704588	-0.7616087323022044
ENSMUSG00000025153	0.4291821770020297	1.0467688533395834
ENSMUSG00000040105	-0.2243950125621078	0.2984431403404609
ENSMUSG00000027489	0.3241382239705756	0.6189112489521341
ENSMUSG00000072761	0.0034734573481765	0.5895135529097292
ENSMUSG00000004233	-0.1785627909811638	0.6766616077998026
ENSMUSG00000120834	-0.175242310764283	-0.0401157136870437
ENSMUSG00000021081	-0.4718735701653643	-0.390276895417718
ENSMUSG00000092188	-0.4854937530005572	-0.4698824764212649
ENSMUSG00000031453	-0.2061459071663184	0.5428440925100049
ENSMUSG00000044966	-0.280172852052366	0.7413826750374057
ENSMUSG00000023572	-0.1116722083209608	0.5021678999407555
ENSMUSG00000067010	-0.5102694444281491	-0.7252552392858033
ENSMUSG00000049960	0.1252227266139165	0.5500062555747288
ENSMUSG00000037656	0.0996556978044782	1.0404229291561689
ENSMUSG00000094325	-2.0	-2.0
ENSMUSG00000020520	-0.1214486924340776	0.6376408056903385
ENSMUSG00000029650	0.1517893838138745	0.1552653829391316
ENSMUSG00000032584	-0.351001582012738	-0.016387969739077
ENSMUSG00000046005	-0.1303362548380321	-0.4136957540347154
ENSMUSG00000024687	-0.0040936753427755	0.6195520467272816
ENSMUSG00000022420	0.033254830339746	-0.2700462366148898
ENSMUSG00000099480	-2.0	-2.0
ENSMUSG00000036615	-0.1268164812952175	0.6201442565007397
ENSMUSG00000058833	0.1586590456213812	1.0071475955423157
ENSMUSG00000090379	-0.5848771802305243	-0.6608330799753941
ENSMUSG00000046658	0.053997319886496	0.3250230571156174
ENSMUSG00000115654	-0.4417119808931893	-0.4392838208078838
ENSMUSG00000020528	0.0306561300391689	0.7985243606263408
ENSMUSG00000037887	-0.487441285261783	0.1449467782692838
ENSMUSG00000103345	-0.4582705573215397	-0.2730647583425268
ENSMUSG00000061068	-0.6247299436764044	-0.5974132336043714
ENSMUSG00000028295	-0.1523338141383158	0.5658836641911575
ENSMUSG00000116892	-0.242754804637011	-0.3699432645733346
ENSMUSG00000105702	-0.5809476312381866	-0.7869310465695024
ENSMUSG00000111894	-0.5085512808703877	-0.6104974234872644
ENSMUSG00000030007	0.4290044562763959	1.0990320813142531
ENSMUSG00000117000	-0.3806411888528953	-0.4426909525558132
ENSMUSG00000061578	-0.2259640353337109	0.8037822879620953
ENSMUSG00000018347	-0.2141189253849942	0.415020950718539
ENSMUSG00000113100	-0.0896818166299803	0.0456213559071
ENSMUSG00000026697	-0.4924340356867425	-0.3706645737181065
ENSMUSG00000020945	-0.5044398276439097	-0.2645251593889982
ENSMUSG00000031749	0.0659882373264715	0.5614457595253013
ENSMUSG00000067698	-0.2244491669160995	-0.1871490359114057
ENSMUSG00000032496	-0.398026740511313	-0.3752902676564881
ENSMUSG00000074884	0.326388966570617	0.8092384198971107
ENSMUSG00000093628	-0.3623455025019304	-0.4117267661249191
ENSMUSG00000100130	-0.054365508647111	0.0954409185782166
ENSMUSG00000094584	-0.443518992636217	-0.4554264674844604
ENSMUSG00000027366	-0.2164849952074877	0.5709825572128482
ENSMUSG00000111006	-0.2403853124315317	-0.4108653253748177
ENSMUSG00000021242	0.1158713843888232	0.7298972461864893
ENSMUSG00000022711	0.207428176656573	0.714551880612411
ENSMUSG00000100010	-0.5856204543863947	-0.571867636730711
ENSMUSG00000033429	-0.1177935441029086	0.7605134231580527
ENSMUSG00000024650	-0.5279569934747795	-0.4156334340950852
ENSMUSG00000057265	0.0319972409803889	0.6929309290746407
ENSMUSG00000038152	-0.4486976842080262	0.2001574124687597
ENSMUSG00000079324	-0.465344496253517	-0.5266318567518187
ENSMUSG00000095887	-2.0	-2.0
ENSMUSG00000046997	-0.2781550834707124	0.5197230156553374
ENSMUSG00000040331	0.2711420208578353	0.9149513252489968
ENSMUSG00000096188	0.0165014205383323	0.4962534759320958
ENSMUSG00000115015	-0.6147320672229284	-0.63543209750637
ENSMUSG00000107388	-0.1804665929368262	-0.2450441344911456
ENSMUSG00000097228	-0.4016044760176544	0.1158828171180397
ENSMUSG00000022209	-0.4852180637341023	-0.6298590281050269
ENSMUSG00000100240	-2.0	-2.0
ENSMUSG00000085002	0.1200715700279262	0.451370549116549
ENSMUSG00000028813	-0.4597813032027374	-0.2483903920324507
ENSMUSG00000079378	-0.2282555658274875	-0.3572656258504182
ENSMUSG00000113768	-0.2570799511314687	-0.3950381874851333
ENSMUSG00000029787	0.0010867639486769	0.8996369550833755
ENSMUSG00000112641	-0.2740243915338719	0.4551679843939256
ENSMUSG00000005873	-0.062981884241647	0.5927317663939622
ENSMUSG00000046056	-0.1073128227594722	-0.0224125330802525
ENSMUSG00000057723	-0.4682929786017359	-0.3598088646496463
ENSMUSG00000114502	-0.5050879307569041	-0.4491332951321659
ENSMUSG00000018189	0.0151391461203767	0.8331281390154863
ENSMUSG00000121731	-2.0	-2.0
ENSMUSG00000044164	-0.3790918583445004	0.1577092020907745
ENSMUSG00000108329	-0.4068275069726956	-0.5229804725802757
ENSMUSG00000036699	-2.0	-2.0
ENSMUSG00000093553	0.6962403829721817	1.3324257338908465
ENSMUSG00000032607	0.0027062170735547	0.4872191792699942
ENSMUSG00000021262	-0.1060880218832176	0.7234406890275951
ENSMUSG00000034998	0.1570336009200509	0.9762150148967024
ENSMUSG00000042737	-0.0888318004654439	-0.3334698518822399
ENSMUSG00000110216	-0.4672477065175364	-0.3919598777953039
ENSMUSG00000038791	-1.982500253465518	-2.0
ENSMUSG00000079104	0.2103305610959536	0.8150162557876869
ENSMUSG00000021234	-0.029673234766958	0.5923053050862753
ENSMUSG00000042812	-0.2187539636980404	-0.1543587337921114
ENSMUSG00000005982	-0.0962601434898542	0.5010349437859475
ENSMUSG00000021798	-0.0656521260693917	-0.3127205845551187
ENSMUSG00000025407	0.3393704383287539	0.2411340910902121
ENSMUSG00000066880	0.0301862269973033	0.7462625936894848
ENSMUSG00000111447	0.0390574645932105	-0.0025431140095541
ENSMUSG00000020170	0.000962144310105	0.547824990824817
ENSMUSG00000016619	0.1582951561510455	0.7905907167778222
ENSMUSG00000117818	0.1817537911350699	0.1106015354046748
ENSMUSG00000074355	0.4445233496368341	0.3033221681652743
ENSMUSG00000078905	-0.1064316474311337	0.3974307170360178
ENSMUSG00000112252	-0.6311545644016862	-0.9663788462417447
ENSMUSG00000029234	0.1819802120680881	0.8370325107268954
ENSMUSG00000070383	-0.6397873052218125	-0.6321845850818364
ENSMUSG00000108317	-0.016533051058809	-0.3307299806626634
ENSMUSG00000085436	0.1915879675039254	0.8406886591713066
ENSMUSG00000034158	0.1864015003795604	0.9737477821210628
ENSMUSG00000039218	0.6800204336476825	1.071292595629842
ENSMUSG00000029127	-0.0910748778418732	0.7809830079777813
ENSMUSG00000021737	0.0795150720758947	0.492726174769806
ENSMUSG00000047636	-0.194331895912058	-0.19736043086807
ENSMUSG00000111550	-0.9013889772696204	-2.0
ENSMUSG00000059246	-0.3176497882533185	-0.2598991505513917
ENSMUSG00000044465	0.0166217129066853	0.7220185446885681
ENSMUSG00000120165	0.2808255496890582	0.8562728381189857
ENSMUSG00000036218	-0.414919021129205	-0.0274695387393438
ENSMUSG00000115727	-0.4361380357269688	-0.5554236359547395
ENSMUSG00000055026	-0.5350330507409644	-0.3598211590012062
ENSMUSG00000094819	-0.4874013107050959	-0.5324584864097016
ENSMUSG00000043460	-0.2875766576026999	0.0120990349531481
ENSMUSG00000102780	-0.0410014426811076	-0.4293352383402741
ENSMUSG00000114218	-0.525009473189467	-0.2775135405400648
ENSMUSG00000022315	-0.3973523445773633	-0.4508153597629313
ENSMUSG00000048170	0.0994322661995126	0.6369749506945828
ENSMUSG00000097892	-0.2346784420919264	0.2352490324666823
ENSMUSG00000041084	-0.0524341962103096	0.631540409076464
ENSMUSG00000078532	0.0182085709418962	0.6033583534300169
ENSMUSG00000001053	0.1158392464142564	0.6197560112498796
ENSMUSG00000021396	-0.2646906932230555	0.0893242073247589
ENSMUSG00000110110	-0.399300937647485	-0.3660355453193393
ENSMUSG00000047014	-0.5026041506054829	-0.4185404645074108
ENSMUSG00000020308	0.6640486456676377	0.8135768190543031
ENSMUSG00000054135	-0.1374454196574893	-0.1537839287503704
ENSMUSG00000099496	-2.0	-2.0
ENSMUSG00000040435	0.4747757499321306	0.9952504652472676
ENSMUSG00000023927	-0.1144739716062806	0.3509966760694705
ENSMUSG00000038143	-0.1291030378367524	-0.0343745628244655
ENSMUSG00000039270	-0.5206502086705573	0.6813176845712571
ENSMUSG00000091378	-0.5062067723656742	0.593959836142137
ENSMUSG00000034445	-0.0234702868769288	0.6780274718437579
ENSMUSG00000049214	-0.6525099595734338	-0.6712419301303458
ENSMUSG00000114076	-0.3745194596936868	-0.4121483749663134
ENSMUSG00000028536	-0.2759629555910952	-0.1825251922643809
ENSMUSG00000030806	-0.0097350881440556	-0.0145019540660902
ENSMUSG00000094970	-0.6267087990328651	-0.5705859232652073
ENSMUSG00000106064	-0.3831532364042367	-0.5719777846675431
ENSMUSG00000115149	-0.4216576784811297	-0.1907894604282914
ENSMUSG00000030708	0.3012885139264513	-0.1611575968198431
