	PolII mean gb	PolII mean promoter
ENSMUSG00000000001	0.005494854527938916	0.734854113006442
ENSMUSG00000000003	-0.6498193607014942	-0.7261425646288822
ENSMUSG00000000028	0.07698441207973754	0.7333006084745539
ENSMUSG00000000031	-0.3256470193059975	-0.39005280314447544
ENSMUSG00000000037	-0.6292847986304284	-0.6766035544298982
ENSMUSG00000000049	-0.34304304649117984	-0.5821900957191873
ENSMUSG00000000056	-0.06662307138989754	0.7983550312849165
ENSMUSG00000000058	-0.5977404020263126	-0.2515255203726061
ENSMUSG00000000078	0.3206623534320465	1.0031758639277262
ENSMUSG00000000085	-0.21166879895681745	0.4621352826095309
ENSMUSG00000000088	-0.16997404933524607	-2.0
ENSMUSG00000000093	-0.2248074838837189	0.09193861436527873
ENSMUSG00000000094	-0.3575220010096043	-0.233771804474304
ENSMUSG00000000103	-2.0	-2.0
ENSMUSG00000000120	0.004030277444667306	0.3356574497616395
ENSMUSG00000000125	-0.3313054804326776	-0.22800358572816606
ENSMUSG00000000126	-0.24761673646040674	0.5319440973861643
ENSMUSG00000000127	-0.17445672291852835	0.6286297689628897
ENSMUSG00000000131	0.14681340843764823	0.9246321362042781
ENSMUSG00000000134	0.39190126369233935	0.2307995364716729
ENSMUSG00000000142	-0.13040427106910105	0.39070730758094335
ENSMUSG00000000148	-0.10716862678108044	0.7226175847754748
ENSMUSG00000000149	-0.017449901474608974	0.6334608806097715
ENSMUSG00000000154	-0.1690077757530764	0.08763614081479411
ENSMUSG00000000157	-0.4560971740810172	-0.3319297837980885
ENSMUSG00000000159	-0.41550877211779275	-0.20038767070466806
ENSMUSG00000000167	-0.04827857479008946	0.6461472893394581
ENSMUSG00000000168	0.010227479821447094	0.6380543704138966
ENSMUSG00000000171	-0.03182899155548721	0.7702664236138994
ENSMUSG00000000182	0.012914695087376036	-0.3238244239494313
ENSMUSG00000000183	-0.44380035475763513	-0.5159754375071992
ENSMUSG00000000184	-0.14163441874525268	0.18666217642879598
ENSMUSG00000000194	0.11788190362172962	0.46147564093175686
ENSMUSG00000000197	-0.4289735638274086	0.40327906121788565
ENSMUSG00000000202	0.09691835138206083	0.10226468044051652
ENSMUSG00000000204	-2.0	-2.0
ENSMUSG00000000214	-0.36215867434531246	-0.4439839566085159
ENSMUSG00000000215	-0.4216264325930116	-0.3454788315198821
ENSMUSG00000000216	-0.45514705765136654	-0.24483984173118623
ENSMUSG00000000223	-0.6196433392247253	-0.5470821141717593
ENSMUSG00000000244	0.18142802365889768	-0.15723393414593753
ENSMUSG00000000247	-0.3194292696722545	-0.38094595078882065
ENSMUSG00000000248	-0.3710390722162164	-0.46569429577955157
ENSMUSG00000000253	-0.23085437791059477	0.3564051252522793
ENSMUSG00000000263	-0.38110676757872897	-0.42370948365510347
ENSMUSG00000000266	-0.7817338789647652	-0.5046909111877776
ENSMUSG00000000275	0.2549735231629481	0.4870253664047513
ENSMUSG00000000276	0.3404323401440335	0.3518491898490759
ENSMUSG00000000278	0.2683188915468054	0.6051421551664288
ENSMUSG00000000282	0.5486436240616941	1.097012407575044
ENSMUSG00000000290	-0.372550416634452	-0.33245624002421614
ENSMUSG00000000295	-0.02624056878661787	0.8142183697939682
ENSMUSG00000000296	-0.24539282775900284	0.5642653107913836
ENSMUSG00000000301	-0.25698899991058716	0.6735140491952979
ENSMUSG00000000303	0.25642784905724875	0.7360532142303771
ENSMUSG00000000305	-0.3046666525223039	0.35849164402585704
ENSMUSG00000000308	-0.2163909908346531	0.04537242098582941
ENSMUSG00000000317	0.04461016095525584	0.5870392251455724
ENSMUSG00000000318	-0.4428553627247282	-0.363332981579452
ENSMUSG00000000320	-0.19641631892844158	0.03882568797418103
ENSMUSG00000000326	0.03323778334938296	0.4318372086881729
ENSMUSG00000000339	-0.0008124014749471946	0.4964634649829172
ENSMUSG00000000340	-0.002618203244683831	0.5415748760203437
ENSMUSG00000000346	0.3558348786917147	0.7923324953293325
ENSMUSG00000000355	-0.14465895976098275	0.47067137154365396
ENSMUSG00000000359	-0.2714916041979981	-0.1622110309291107
ENSMUSG00000000365	-0.022809189287448673	0.6508346595672823
